date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,33.685,34,34.31,33.575,735643746,
2025-02-11,34.365,33.73,34.5,33.395,870428974,
2025-02-12,36.195,34.39,36.4,34.2,1740812158,
2025-02-13,36.86,36.295,37.37,35.345,2036902234,
2025-02-14,36.45,38.935,39.32,35.9,2273107771,
2025-02-17,38.305,36.8,38.325,36.44,1773460040,
2025-02-18,37.755,38.31,38.71,37.255,1675666661,
2025-02-19,37.69,37.795,38,37.08,1054217779,
2025-02-20,37.77,37.755,38.25,37.55,874404207,
2025-02-21,39.41,37.77,39.56,37.625,2973611477,
2025-02-24,41.29,39.5,41.31,39.21,4758426178,
2025-02-25,41.125,41.59,42.795,40.59,4803409940,
2025-02-26,39.85,41.45,41.955,39.39,2526262572,
2025-02-27,38.965,39.85,40.81,38.7,1975153027,
2025-02-28,39.315,38.92,39.76,38.015,2448716206,
2025-03-01,39.65,39.45,39.835,39.415,47838624,
2025-03-02,39.18,39.63,39.63,39.03,119335313,
2025-03-03,38.835,38.88,39.22,37.51,1745193242,
2025-03-04,40.52,38.9,41.2,38.9,2060675236,
2025-03-05,40.515,40.52,41.545,39.82,2591904397,
2025-03-06,40.9,40.68,41.265,40.415,1063107042,
2025-03-07,40.065,40.805,41.645,39.27,2244571701,
2025-03-10,39.925,40.305,40.425,39.505,927989161,
2025-03-11,39.76,39.925,40.405,39.71,789527932,
2025-03-12,39.63,39.8,39.965,38.5,1086416496,
2025-03-13,39.435,39.595,40.1,38.34,1527791724,
2025-03-14,39.33,39.35,39.82,38.91,969602810,
2025-03-15,39.47,39.03,39.505,39.03,39525388,
2025-03-16,39.845,39.48,39.95,39.395,63337469,
2025-03-17,40.415,39.95,40.45,39.74,1205681718,
2025-03-18,39.85,40.4,41.34,39.65,1724044516,
2025-03-19,39.33,39.85,40.085,39.25,1401068279,
2025-03-20,40.185,39.29,40.64,39.005,3424760157,
2025-03-21,39.67,40.185,40.245,39.415,994659117,
2025-03-24,38.535,39.63,39.705,38.38,976436883,
2025-03-25,38.79,38.535,38.985,37.795,1037884694,
2025-03-26,38.515,38.8,39.21,38.495,1105840046,
2025-03-27,36.855,38.465,38.465,36.815,1096046222,
2025-03-28,35.57,36.8,36.855,35.35,1710047017,
2025-03-29,35,35.535,35.64,34.685,110683185,
2025-03-30,34.605,35,35.31,34.605,87144979,
2025-03-31,35.34,34.6,35.8,34.32,1300688641,
2025-04-01,34.465,35.395,36.335,34.45,1367654161,
2025-04-02,35.745,34.46,35.995,34.08,1281478295,
2025-04-03,34.625,35.745,36.575,33.965,1335113601,
2025-04-04,33.075,34.845,35.025,32.89,1549427336,
2025-04-05,32.92,32.9,33.06,32.105,237717130,
2025-04-06,33.535,32.985,33.64,32.685,131742573,
2025-04-07,32.21,33.195,33.465,30.55,1590765437,
2025-04-08,30.87,32.2,32.99,30.85,1146149599,
