;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";;;;;;22.10.2020;22.10.2020;22.10.2020;30.06.2018;22.10.2020;22.10.2020;22.10.2020;30.06.2018;03.02.2021;03.02.2021;;30.06.2018;28.02.2022;22.07.2021;22.07.2021;30.06.2018;28.02.2022;28.02.2022;07.02.2019;30.06.2018;08.05.2018;02.08.2018;02.11.2018;07.02.2019;30.04.2019;01.08.2019;31.10.2019;05.02.2020;29.04.2020;29.07.2020;22.10.2020;02.02.2021;21.04.2021;22.07.2021;25.10.2021;28.02.2022;;29.08.2023;;06.02.2024;25.04.2024;29.08.2023;;06.02.2024;25.04.2024;28.07.2024;17.10.2024;20.03.2025;24.04.2025;24.07.2025;23.10.2025;26.02.2026;26.02.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство стали, млн т";;;;;;;;;;;;;;;;;;3.03;3.18;3.18;3.16;3.07;3.18;3.32;3.29;3.15;3.03;3.38;3.11;3.11;3.09;3.19;3.07;3.02;2.36;2.88;3.31;3.30;3.40;3.39;3.50;3.17;2.89;2.80;6.00;3.06;3.46;3.35;6.17;2.97;3.38;2.48;2.37;2.57;2.62;2.42;2.54;10.2
"Пр-во продукции, млн т";;;;;;;;;;;;;;;;;;2.40;2.46;2.42;2.37;2.37;2.58;2.56;2.65;2.40;2.28;2.62;2.56;2.40;2.45;2.56;2.60;2.36;2.09;2.38;2.52;2.57;2.64;2.62;2.58;2.25;2.07;2.34;4.68;2.35;2.57;2.61;4.76;2.35;2.65;2.36;2.58;2.18;2.38;2.02;2.52;9.10
"Продажи стали, млн т";;;;;;;;;;;;;;;;;;2.79;2.94;2.84;2.92;2.72;2.88;3.23;2.83;2.83;2.85;3.05;2.94;2.78;2.86;2.90;2.78;2.75;2.22;2.74;3.05;2.90;3.32;2.76;3.50;2.88;2.36;2.77;5.57;2.76;3.07;3.07;5.65;2.73;3.05;2.48;2.36;2.43;2.49;2.48;2.46;9.85
"Доля продаж на экспорт, %";;;;;;;;;;;;;;;;;;33.0%;25.0%;30.0%;25.0%;28.5%;25.2%;19.6%;26.0%;28.0%;20.0%;23.0%;23.0%;15.0%;14.0%;12.0%;18.0%;11.0%;19.0%;14.0%;17.0%;23.0%;19.0%;29.0%;26.0%;;;;;;;;;;;;;;;;;
"Загрузка мощности, %";;;;;;;;;;;;;;;;;;;;;;94.0%;90.0%;95.0%;;;;;;;;;;84.0%;88.0%;95.0%;95.0%;;93.0%;;;;;;;;;;;;;;;;;;;
"Объем продаж труб, млн т";;;;;;;;;;;;;;;;;;;0.022;0.021;0.021;0.018;0.020;0.018;0.017;0.011;0.018;0.023;0.015;0.014;0.011;0.018;0.016;0.013;0.018;0.028;0.024;0.012;0.024;0.014;0.021;0.018;0.021;0.031;0.025;0.024;0.030;0.032;;0.026;0.035;0.028;0.022;0.015;0.033;;;0.048
"Себестоимость сляба, $/т";;;;;;;;;;;;;;;;;191;166;200;208;235;;290;393;416;461;438;404;298;304;320;313;283;267;255;263;285;340;391;437;431;410;528;438;;;;;;;;;;;;;;
"Цена мет/прод, $/т";;;;;;;;;;;;;;;;;;;448;470;500;573;556;555;616;647;655;610;579;619;625;616;534;591;522;535;575;713;944;"1 057";919;884;"1 026";855;;;;;;;;;;;;;;
