;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;;;;30.06.2018;30.06.2018;30.06.2018;30.06.2018;30.06.2018;07.02.2019;05.02.2020;02.02.2021;28.02.2022;06.02.2024;06.02.2024;20.03.2025;26.02.2026;26.02.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство стали, млн т";;;;;;11.9;13.0;12.2;12.5;12.9;12.7;12.5;11.6;13.6;11.7;13.0;11.2;10.2;10.2
"Пр-во продукции, млн т";;;;;;11.1;12.2;11.2;11.6;11.3;11.4;10.0;9.34;10.4;9.08;9.94;9.94;9.10;9.10
"Продажи стали, млн т";;;;;;;;11.2;11.6;11.6;11.7;11.3;10.8;12.5;10.7;11.8;10.6;9.85;9.85
"Доля продаж на экспорт, %";;;;;;16.0%;22.0%;23.0%;23.0%;23.0%;21.0%;13.0%;17.0%;27.4%;;;;;
"Загрузка мощности, %";;;;;;;88.0%;88.0%;89.0%;92.0%;94.0%;;;;;;;;
"Объем продаж труб, млн т";;;;;;0.086;0.088;0.075;0.082;0.065;0.073;0.057;0.083;0.072;0.095;0.109;0.111;;0.048
"Себестоимость сляба, $/т";;;;;;356;;;;;;305;269;400;;;;;
"Цена мет/прод, $/т";;;;;;;;452;432;575;623;628;558;909;;;;;
"Выручка, млрд руб";;;;;289.9;260.5;302.8;354.1;380.0;440.1;511.5;489.2;460.2;873.2;699.8;763.4;768.5;609.9;609.9
"Операционная прибыль, млрд руб";;;;;;;31.3;66.8;96.4;85.0;115.0;82.6;67.9;276.2;109.9;146.2;99.7;21.4;21.4
"EBITDA, млрд руб";;;;;42.2;9.94;62.1;101.5;131.1;118.6;146.2;116.2;107.5;315.8;155.1;195.6;153.0;80.8;80.8
"Чистая прибыль, млрд руб";;;;;-2.65;-78.4;-4.83;25.6;74.3;69.3;75.6;55.0;43.7;229.3;70.2;118.2;79.9;-14.1;-14.1
"Операционный денежный поток, млрд руб";;;;;;;49.0;75.9;98.4;97.7;147.9;112.0;89.4;198.8;142.7;114.9;113.5;80.5;80.5
"CAPEX, млрд руб";;;;;21.0;19.8;19.2;21.2;31.3;42.1;53.6;53.9;50.4;83.1;79.5;94.9;101.2;89.9;89.9
"FCF, млрд руб";;;;;15.9;0.890;29.0;61.3;48.6;40.5;56.8;57.0;40.8;118.0;72.5;30.8;30.0;5.11;5.11
"Див.выплата, млрд руб";4.27;4.14;3.69;0.000;3.13;0.000;6.48;9.95;21.9;31.1;66.0;59.5;44.0;89.3;;30.8;27.9;;
"Дивиденд, руб/акцию";0,382;0,37;0,33;0;0,28;0;0,58;0,89;1,962;2,786;5,902;5,335;3,943;7,988;;2,752;2,494;;
"Див доход, ао, %";6.7%;1.5%;1.0%;0.0%;2.7%;0.0%;5.4%;4.7%;5.9%;6.7%;13.7%;12.7%;7.1%;11.5%;0.0%;5.3%;6.5%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;0%;0%;0%;39%;29%;45%;87%;108%;101%;39%;0%;26%;35%;0%;0
"Опер. расходы, млрд руб";;;;;;;35.5;40.8;23.2;71.7;54.3;50.4;55.0;80.0;60.7;74.3;76.4;80.4;80.4
"Себестоимость, млрд руб";;;;;244.9;221.6;236.0;246.6;258.3;307.4;346.4;356.4;337.3;517.0;527.2;543.4;592.4;509.6;509.6
"Амортизация, млрд руб";;;;;;;;;;;;;34.8;37.5;43.6;48.4;54.3;60.1;60.1
"Расх на персонал, млрд руб";;;;;;;11.4;11.6;12.0;45.1;51.2;50.2;51.6;56.9;62.1;69.7;93.0;104.0;104.0
"Процентные расходы, млрд руб";;;;;6.37;5.63;6.51;8.96;7.87;2.57;1.000;1.80;1.80;1.80;2.66;2.88;3.68;4.77;4.77
"Активы, млрд руб";;;;;;;442.0;448.8;394.3;456.4;500.7;512.8;553.6;721.8;737.8;902.0;913.2;877.9;877.9
"Чистые активы, млрд руб";;;;;293.3;223.4;220.6;240.8;284.7;320.8;346.5;340.3;338.5;468.3;535.4;662.0;688.6;664.5;664.5
"Долг, млрд руб";;;;;;103.8;100.0;112.4;30.3;31.2;37.2;53.9;71.7;71.4;73.3;70.3;47.3;38.3;38.3
"Наличность, млрд руб";;;;;;5.04;18.4;26.9;18.7;32.0;51.3;68.4;78.2;101.4;144.2;161.8;122.8;120.5;120.5
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;98.8;81.6;85.5;11.7;-0.80;-14.1;-14.6;-6.51;-29.9;-70.9;-91.5;-75.5;-82.2;-82.2
"Цена акции ао, руб";5.71;25.1;32.9;12.4;10.4;7.40;10.8;18.9;33.3;41.9;43.0;42.0;55.9;69.5;33.0;52.2;38.5;28.6;31.5
"Число акций ао, млн";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174";"11 174"
"Free Float, %";;;;;;;;12.7%;;;;;;;;;20.0%;20.0%;20.0%
"Инсайдерское владение, %";;;;;;;;87.3%;;;;;;;;;;;
"Капитализация, млрд руб";63.8;279.9;367.6;138.1;116.4;82.6;120.9;210.9;371.7;467.8;480.9;468.8;624.8;776.3;368.3;582.7;430.5;319.9;351.7
"EV, млрд руб";63.8;279.9;367.6;138.1;116.4;181.5;202.6;296.4;383.4;467.0;466.8;454.2;618.3;746.3;297.4;491.3;355.0;237.7;269.5
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;283.2;222.1;219.3;239.5;283.3;319.2;344.9;337.4;335.6;465.5;532.8;658.2;683.2;658.5;658.5
"EPS, руб";0.00;0.00;0.00;0.00;-0.24;-7.02;-0.43;2.29;6.65;6.20;6.76;4.92;3.91;20.5;6.28;10.6;7.15;-1.26;-1.26
"FCF/акцию, руб";0.00;0.00;0.00;0.00;1.42;0.08;2.59;5.49;4.35;3.62;5.09;5.10;3.65;10.6;6.49;2.75;2.69;0.46;0.46
"BV/акцию, руб";0.00;0.00;0.00;0.00;25.3;19.9;19.6;21.4;25.4;28.6;30.9;30.2;30.0;41.7;47.7;58.9;61.1;58.9;58.9
"Рентаб EBITDA, %";;;;;14.5%;3.8%;20.5%;28.7%;34.5%;26.9%;28.6%;23.8%;23.4%;36.2%;22.2%;25.6%;19.9%;13.2%;13.2%
"Чистая рентаб, %";;;;;-0.9%;-30.1%;-1.6%;7.2%;19.5%;15.8%;14.8%;11.2%;9.5%;26.3%;10.0%;15.5%;10.4%;-2.3%;-2.3%
"Доходность FCF, %";0.0%;0.0%;0.0%;0.0%;13.6%;1.1%;24.0%;29.1%;13.1%;8.7%;11.8%;12.2%;6.5%;15.2%;19.7%;5.3%;7.0%;1.6%;1.5%
"ROE, %";;;;;-0.9%;-35.1%;-2.2%;10.6%;26.1%;21.6%;21.8%;16.2%;12.9%;49.0%;13.1%;17.9%;11.6%;-2.1%;-2.1%
"ROA, %";;;;;;;-1.1%;5.7%;18.8%;15.2%;15.1%;10.7%;7.9%;31.8%;9.5%;13.1%;8.7%;-1.6%;-1.6%
P/E;;;;;-44.0;-1.05;-25.0;8.23;5.00;6.75;6.36;8.53;14.3;3.39;5.25;4.93;5.39;-22.8;-25.0
P/FCF;;;;;7.33;92.9;4.18;3.44;7.65;11.5;8.46;8.22;15.3;6.58;5.08;19.0;14.3;62.6;68.8
