date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1011.8,1000.7,1020,995.5,135231363,
2025-02-11,1005.1,1011.8,1015,1002.1,128362573,
2025-02-12,1018.4,1011,1023.9,1009.4,185240746,
2025-02-13,1033,1026.7,1073,1025,285014521,
2025-02-14,1031,1038.2,1058.5,1026,138924785,
2025-02-17,1045.7,1036,1050.6,1035.9,94005987,
2025-02-18,1014,1045.7,1051.9,1014,103628037,
2025-02-19,1020.1,1019.9,1029.2,1007,81886133,
2025-02-20,1028.3,1024.7,1045,1023.4,110133813,
2025-02-21,1038,1031.4,1046.2,1031.4,68444227,
2025-02-24,1027.6,1045.8,1045.8,1016.8,132144637,
2025-02-25,1030,1032,1044.9,1025.8,71958169,
2025-02-26,1024,1031.6,1045,1019,225408821,
2025-02-27,1022.7,1024,1027.8,1000,82947906,
2025-02-28,1019,1028,1030.9,1013.1,59888599,
2025-03-03,1043.2,1019,1047.5,1006,159080928,
2025-03-04,1047.8,1047.5,1062.8,1035.1,131205347,
2025-03-05,1051,1047.8,1056,1041,67813165,
2025-03-06,1064,1058,1080,1052.4,163516086,
2025-03-07,1062,1060.2,1073.9,1023,63123315,
2025-03-10,1066.9,1062,1076.8,1060.1,52312991,
2025-03-11,1046,1066.9,1076,1046,91243024,
2025-03-12,1032,1046,1051,1028,82928929,
2025-03-13,1012.7,1032,1032,1009,106706394,
2025-03-14,1037,1031.8,1038,1019,65326381,
2025-03-17,1043.9,1040,1056.5,1031.1,76100940,
2025-03-18,1025,1046.8,1051.5,1005.3,238432245,
2025-03-19,1020.8,1025,1032.8,1018,78733155,
2025-03-20,1094.9,1031.2,1100,1026,360626599,
2025-03-21,1126.8,1089,1181.2,1065.1,1054673086,
2025-03-24,1091,1127.3,1153.4,1075.4,254280343,
2025-03-25,1081.6,1091,1111.4,1061,132439883,
2025-03-26,1066.4,1081.6,1098.2,1064.2,108996970,
2025-03-27,1052.6,1066.4,1080.5,1051,67541863,
2025-03-28,1060.3,1053,1073.9,1036,134810838,
2025-03-29,1035.6,1059.7,1064.9,1033.3,11498205,
2025-03-30,1028.8,1036.1,1047.6,1028.5,12355131,
2025-03-31,1025,1040.6,1120.9,1008,396188796,
2025-04-01,996,1027.7,1044.5,993.6,389598564,
2025-04-02,1001.3,1002.9,1014,990.3,121869706,
2025-04-03,1000.3,1001,1013.9,994,135072398,
2025-04-04,996.2,1000.2,1007,994,152679982,
2025-04-05,993,997,1000,968.1,37439304,
2025-04-06,1004.9,996.5,1005,985,13579196,
2025-04-07,988.4,1004.7,1005,966,331803159,
2025-04-08,978.1,991.6,1002.3,975.1,126981964,
2025-04-09,999,977,1002,965,186257392,
2025-04-10,999,1002,1008,992,81173775,
2025-04-11,1008.6,997.4,1017,997.4,88441017,
2025-04-12,1016,1012.9,1019.7,1011.1,10974499,
2025-04-13,1021,1016,1021,1016,6237997,
2025-04-14,998.1,1013.7,1020.9,991,100063734,
2025-04-15,1002.5,998.4,1007,994,47785752,
2025-04-16,1004.2,1006,1009.7,999,51115365,
2025-04-17,1007,1006.8,1011.1,999.9,52255209,
2025-04-18,997,1007,1008.5,997,63663260,
2025-04-21,1002,1000.1,1008.8,999.1,66851632,
2025-04-22,1002,1002,1005,993.5,119037157,
2025-04-23,997.9,1002,1004,990,47403158,
2025-04-24,985.9,999.2,1002.5,980,106555583,
2025-04-25,987.8,986.1,997.1,985.9,68844073,
2025-04-26,993.1,990.1,996,985,23269819,
2025-04-27,996.8,995.8,996.8,993.9,6589689,
2025-04-28,992.8,996.8,1006,985.2,125916582,
2025-04-29,992.8,992.9,999,987,59890378,
2025-04-30,974.9,992.8,993.2,970.5,110980344,
2025-05-02,965.5,972.6,981.6,960,53601960,
2025-05-03,972.5,965,974.6,961.1,5894290,
2025-05-04,979.9,972,986.2,971,7431717,
2025-05-05,983.2,982,987.2,974.1,57617254,
2025-05-06,988.3,984,994.4,980.6,55312084,
2025-05-07,990.6,988.3,1003.2,988.3,88118440,
2025-05-08,1000,991.8,1001,991.6,20759853,
2025-05-10,1004.2,996,1005.9,996,11787828,
2025-05-11,1009.5,1008,1020.3,1000.1,19397471,
2025-05-12,1001.4,1006,1020,990.3,120299258,
2025-05-13,998.1,1005,1006,993,51790354,
2025-05-14,992,1000,1002,988.1,42891040,
2025-05-15,990,992,997.4,975.3,94773216,
2025-05-16,1000,985.1,1001.4,980.1,166802891,
2025-05-17,983.2,980.1,984.5,978.1,40236711,
2025-05-18,987.6,986.5,990.4,980,18468516,
2025-05-19,974.8,987.6,989,970,103740577,
2025-05-20,968.2,974.8,976.8,961.3,54231516,
2025-05-21,962.8,971.7,985,960.1,65685424,
2025-05-22,965.7,962.8,969,940.5,127411294,
2025-05-23,976.2,969.4,984.3,962.2,83850768,
2025-05-26,976.9,976.3,985.7,958,92107816,
2025-05-27,978,977,985.5,962.7,107895653,
2025-05-28,978.7,977.1,991.4,976,74630046,
2025-05-29,971.9,979.9,983.8,966,63489773,
2025-05-30,968.6,974,974.7,965,122627444,
2025-05-31,972.9,974.2,974.2,968.8,7515762,
2025-06-01,966.5,972.7,972.8,960,19745633,
2025-06-02,969,966.5,971.9,961.5,55661794,
2025-06-03,976.2,967,981.5,967,107188436,
2025-06-04,974,980,985,971,95361033,
2025-06-05,980.1,975.9,981.8,974.1,64843067,
2025-06-06,977.4,980.5,990,975.8,81985063,
2025-06-07,977.5,977.4,980,973.2,4143496,
2025-06-08,981.1,977.6,985,973.5,7824846,
2025-06-09,975.8,981.1,987.6,967.4,55160600,
2025-06-10,975.5,977.8,979.2,971.8,33563761,
2025-06-11,992.1,978,992.1,975.5,56147248,
2025-06-13,978.9,994,997.9,977.2,34402443,
2025-06-14,983,981.8,983.5,980,13643372,
2025-06-15,980,979.9,981.7,976.2,6505145,
2025-06-16,988,980,990.5,978.8,120340150,
2025-06-17,990.4,986.9,991.7,984,52292977,
2025-06-18,992.2,990,994.5,984,59905091,
2025-06-19,994.7,993.9,996,984,72638135,
2025-06-20,997.1,993,997.6,990.3,42416883,
2025-06-23,996.3,995.9,997.1,984,38107749,
2025-06-24,999.7,996.3,1005,989.7,69344521,
2025-06-25,992.4,997.5,1007,991.3,39541992,
2025-06-26,1006.3,995.2,1016.4,995.1,63123738,
2025-06-27,1014.4,1010,1019.8,1001.7,45244894,
2025-06-28,1016.9,1014.2,1019.9,1012,7155440,
2025-06-29,1017.4,1016.6,1019.7,1013.4,4253528,
2025-06-30,1029.2,1013.1,1035,1013.1,60491217,
2025-07-01,1030.9,1029.2,1032,1015.7,54944243,
2025-07-02,1037.2,1030.9,1039,1026.5,74782898,
2025-07-03,1056.9,1035,1080.1,1034.1,183947955,
2025-07-04,1048.5,1056.9,1078.5,1028.4,155631101,
2025-07-05,1049.4,1049.7,1053.9,1045,7083705,
2025-07-06,1053.7,1050.2,1057.6,1047.8,5217870,
2025-07-07,1047.9,1053.5,1067.8,1031.5,79030387,
2025-07-08,1050.9,1047.9,1064.1,1044.7,73361137,
2025-07-09,1039.7,1050.3,1057.5,1032.5,81019403,
2025-07-10,1065.5,1040,1068.5,1040,60943663,
2025-07-11,1030.4,1065.5,1071.7,1030.2,79624036,
2025-07-12,1041.8,1030.3,1046.6,1030.3,7222484,
2025-07-13,1032.8,1045,1047.2,1022.1,9655979,
2025-07-14,1059.3,1030,1064.5,1003.1,99849771,
2025-07-15,1096.5,1059,1099.9,1059,149518363,
2025-07-16,1099.9,1096,1105,1086.8,88240216,
2025-07-17,1100.7,1098,1118.8,1098,79517739,
2025-07-18,1130.9,1104.2,1131.9,1100.4,104109061,
2025-07-19,1140.8,1134.1,1143.2,1133,11711284,
2025-07-20,1148.5,1143.1,1152,1143.1,11509698,
2025-07-21,1118.6,1142.7,1150.1,1110,127453516,
2025-07-22,1135.9,1118.6,1139.9,1099.7,85369137,
2025-07-23,1132.9,1135.9,1147,1115.3,89548780,
2025-07-24,1130,1132.9,1136.6,1120,42691377,
2025-07-25,1130.5,1132.9,1145.2,1116.1,75517048,
2025-07-26,1134.9,1130,1137.7,1127,5361371,
2025-07-27,1146,1135.8,1151,1130.9,11928611,
2025-07-28,1146.1,1146,1173.5,1139.4,249090084,
2025-07-29,1112.5,1146.5,1157.8,1103.2,170887347,
2025-07-30,1084.3,1113.8,1118.5,1077.6,117422283,
2025-07-31,1129.5,1093.4,1131.2,1085.3,170348866,
2025-08-01,1127.6,1131,1143.3,1117.3,128697540,
2025-08-04,1165,1127.6,1165,1124.1,116451673,
2025-08-05,1176.7,1164.8,1194.3,1138.7,302254249,
2025-08-06,1177.7,1177,1188.8,1154.3,155890204,
2025-08-07,1192.7,1171.6,1197.5,1171.6,183776420,
2025-08-08,1203,1192,1203,1185.2,106535052,
2025-08-11,1228.8,1203.3,1250,1203.3,179424001,
2025-08-12,1234.4,1229,1248,1207,180184366,
2025-08-13,1261.5,1237,1278.8,1234.5,260491474,
2025-08-14,1242.1,1261,1278.7,1235.4,234797921,
2025-08-15,1261.4,1242.5,1267.7,1242.3,182742786,
2025-08-16,1262,1259,1263.5,1245.7,25376472,
2025-08-17,1264.5,1263,1270.2,1262.1,16335917,
2025-08-18,1284.2,1264.5,1297.8,1258.5,186728566,
2025-08-19,1293.6,1284.2,1300,1284.2,146596673,
2025-08-20,1261.5,1298,1307.8,1247.3,249226098,
2025-08-21,1233.9,1261.5,1280.3,1226.2,210496827,
2025-08-22,1269.4,1234,1270,1234,148613493,
2025-08-23,1272.4,1270,1288,1269.9,15436962,
2025-08-24,1268.6,1272.3,1275,1264.1,7153001,
2025-08-25,1252.5,1272.5,1275,1246.1,72288705,
2025-08-26,1265.9,1257,1279.9,1252.2,128256443,
2025-08-27,1264.7,1266.2,1275,1252.9,104921146,
2025-08-28,1233,1265.9,1288.7,1224.3,273761289,
2025-08-29,1248.9,1239.9,1265,1231,192679582,
2025-08-30,1247,1250,1251.3,1240.5,9394440,
2025-08-31,1250.1,1248.9,1254.3,1248.9,6745070,
2025-09-01,1258.5,1252.8,1259.3,1250.1,67251784,
2025-09-02,1242.2,1258.1,1259.9,1235.7,66186633,
2025-09-03,1247,1238.6,1253.7,1236.1,57939221,
2025-09-04,1245,1247,1253,1240.2,40341714,
2025-09-05,1244,1247,1253.9,1238.3,50304630,
2025-09-06,1247.1,1244,1247.3,1240,6655297,
2025-09-07,1254.1,1247.1,1254.1,1241.9,10046621,
2025-09-08,1270.3,1254.9,1275,1248.7,174110019,
2025-09-09,1270.7,1272,1287.2,1265,170091802,
2025-09-10,1273,1270.7,1290,1256.4,115705395,
2025-09-11,1258.5,1273,1281.2,1250.4,83351121,
2025-09-12,1240.1,1258.5,1267.8,1238.8,124668250,
2025-09-13,1249,1245.1,1253.5,1242,10138853,
2025-09-14,1257.1,1250,1259,1247.4,7766482,
2025-09-15,1240,1259.9,1263.6,1228.4,98895435,
2025-09-16,1236.5,1238.7,1253.6,1228,64341859,
2025-09-17,1213.1,1236.5,1243.8,1205.4,101546483,
2025-09-18,1218.2,1212.3,1227,1192.1,175699256,
2025-09-19,1215,1224.3,1235,1207.8,95690955,
2025-09-22,1216.5,1214,1235.1,1194.3,122959126,
2025-09-23,1227.9,1216.5,1240,1213.4,84527103,
2025-09-24,1241.5,1227.9,1251,1214.8,128463658,
2025-09-25,1234.3,1242.2,1253.5,1230.6,44764381,
2025-09-26,1236.6,1234.3,1249,1231,67385857,
2025-09-27,1237.1,1236,1240.5,1230.4,5440312,
2025-09-28,1236.8,1235.5,1237.3,1225.4,6641950,
2025-09-29,1214.6,1238.4,1247.4,1207.7,100579588,
2025-09-30,1237.6,1217.4,1243.6,1208.8,121870668,
2025-10-01,1254.3,1237.6,1268,1231.1,212581066,
2025-10-02,1236,1254.7,1263,1233.1,105345375,
2025-10-03,1248.4,1242,1251.9,1224.1,108219228,
2025-10-04,1227,1247.5,1247.5,1217.6,27994873,
2025-10-05,1237,1239,1240,1226.2,6916705,
2025-10-06,1257.8,1237,1262,1231.4,115917522,
2025-10-07,1256.6,1257.8,1260.9,1243.8,63654370,
2025-10-08,1230,1259,1270,1218.2,140689176,
2025-10-09,1252.4,1240,1264.9,1213.1,211035500,
