;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q4;2016Q4;2017Q2;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";;;;;;05.02.2026;25.04.2021;10.09.2018;21.03.2019;;10.09.2018;;25.03.2019;;09.09.2019;;23.03.2020;;07.09.2020;;22.03.2021;04.05.2022;06.09.2021;;28.03.2022;;05.09.2022;;04.04.2023;;12.09.2023;30.10.2023;01.04.2024;26.04.2024;29.08.2024;;31.03.2025;28.04.2025;29.08.2025;;05.02.2026;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;;;;;6.62;7.14;3.45;3.68;3.64;4.16;3.83;3.99;4.03;4.31;4.11;3.86;4.74;6.39;5.77;6.24;6.24;6.98;6.21;5.95;6.44;6.62;6.22;6.63;6.79;7.99;7.66;8.10;8.30;9.06;8.96;10.3;11.6;12.6;36.6
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;1.55;;2.96;0.000;2.98;;3.65;;1.44;;3.53;;3.27;;4.24;;4.10;;5.02;;4.65;;;9.67
"EBITDA, млрд руб";;;;;;;;1.89;2.28;;2.52;;1.79;;2.15;;2.49;;2.27;;3.73;0.000;3.80;;4.48;;3.56;;4.37;;4.10;;5.12;;5.06;;5.62;;5.82;;;11.4
"Чистая прибыль, млрд руб";;;;;;;;1.13;1.58;;1.14;;1.69;;1.24;;1.40;;1.41;;2.73;0.000;2.62;;3.38;;2.39;;3.61;;3.37;;4.45;;4.89;;5.04;;4.94;;;9.98
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;1.11;;3.61;;3.37;;;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;2.47;;4.04;0.000;3.72;;4.78;;3.05;;4.60;;4.37;;5.01;;5.22;;5.84;;6.05;;;11.9
"CAPEX, млрд руб";;;;;;;;0.854;2.61;;1.68;;2.02;;2.21;;1.75;;1.29;;2.61;0.389;0.323;;3.08;0.551;0.211;;0.344;;1.95;;1.63;0.512;0.430;0.650;0.678;;1.35;;2.91;2.68
"FCF, млрд руб";;;;;;;;;;;;;;;;;;;1.00;;1.19;0.000;2.79;;1.50;;2.34;;4.14;;2.51;;3.49;;5.20;;4.44;;5.20;;;9.64
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;1.39;;0.740;;1.40;;1.35;;;;0.642;;;;;;;10.6;1.65;1.50;1.66;;3.15;;;3.15
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;18,5;;9,8;;19;;18;;;;8,55;;;;;;;141;22;20;22;;42;;;42
"Див доход, ао, %";;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0.0%;;0.0%;;0.0%;;6.0%;;3.1%;;4.2%;0.0%;2.4%;0.0%;0.0%;0.0%;2.2%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;14.2%;2.6%;2.2%;2.4%;0.0%;4.1%;0.0%;0.0%;2.8%
"Дивиденды/прибыль, %";;;;;;;;0%;0%;;0%;;0%;;0%;;99%;;52%;;51%;;52%;;0%;;27%;;0%;;0%;;0%;;34%;;33%;;64%;;;32%
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;;;;1.11;;1.51;0.000;1.57;;1.79;;3.07;;1.75;;1.69;;2.08;;2.18;;2.46;;2.98;;;5.44
"Себестоимость, млрд руб";;;;;;;;4.14;4.22;;4.61;;4.78;;5.16;;5.22;;5.31;;7.43;0.000;7.46;;7.77;;7.64;;7.79;;7.89;;8.45;;9.46;;10.2;;11.6;;;21.8
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9;;1.0;;1.2;;;2.1
"Расх на персонал, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.59;;7.16;;8.45;;;15.6
"Процентные расходы, млрд руб";;;;;;;;;;;;;;;;;;;0.180;;0.195;;0.190;;0.173;;;;;;;;;;;;;;;;;
"Активы, млрд руб";;;;;;;18.7;;22.3;;;;25.1;;26.5;;28.7;;30.4;;32.0;;32.3;;34.3;;33.9;;33.2;;36.4;;41.3;;46.4;;39.0;;47.2;;;47.2
"Чистые активы, млрд руб";;;;;;11.1;12.3;;14.1;;14.2;;15.7;;16.1;;17.5;;19.0;;19.6;;20.8;;22.8;;23.9;;26.8;;30.2;;34.6;;28.6;;30.6;;33.9;;;33.9
"Долг, млрд руб";;;;;;;3.28;;4.54;;4.95;;5.67;;6.35;;7.10;;7.01;;6.80;;6.13;;5.51;;4.62;;0.600;;0.640;;0.876;0.000;1.28;;0.000;;0.000;;;0.000
"Наличность, млрд руб";;;;;;;1.64;;2.51;;1.97;;2.72;;2.24;;3.06;;3.40;;3.90;;3.44;;3.59;;4.70;;4.46;;6.65;;9.89;10.9;14.6;;6.05;8.26;3.46;3.79;;3.46
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;1.64;0.00;2.04;0.00;2.99;0.00;2.95;0.00;4.11;0.00;4.04;0.00;3.61;0.00;2.90;0.00;2.69;0.00;1.92;0.00;-0.08;0.00;-3.86;0.00;-6.01;0.00;-9.02;-10.9;-13.3;0.00;-6.05;-8.26;-3.46;-3.79;0.00;-3.46
"Цена акции ао, руб";;;;371.0;308.0;386.0;579.0;620.4;604.8;;542.8;;314.0;;316.0;;308.0;;313.0;;457.4;558.9;752.0;827.4;798.9;657.2;392.7;357.0;419.7;534.6;632.6;842.8;775.3;990.0;831.7;901.5;899.1;"1 023";"1 028";"1 222";"1 498";"1 505"
"Число акций ао, млн";75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1
"Free Float, %";;;;;;;22.3%;;22.3%;;;;22.3%;;;;22.3%;;;;22.3%;;;;32.1%;;;;;;;;;;;;27.0%;;27.0%;;;27.0%
"Инсайдерское владение, %";;;;;;;67.9%;;67.9%;;;;67.9%;;;;67.9%;;;;67.9%;;;;;;;;;;;;;;;;;;;;;
"Капитализация, млрд руб";0.00;0.00;0.00;27.9;23.1;29.0;43.5;46.6;45.4;0.00;40.8;0.00;23.6;0.00;23.7;0.00;23.1;0.00;23.5;0.00;34.4;42.0;56.5;62.2;60.0;49.4;29.5;26.8;31.5;40.2;47.5;63.3;58.2;74.4;62.5;67.7;67.5;76.8;77.2;91.8;112.5;113.1
"EV, млрд руб";0.00;0.00;0.00;27.9;23.1;29.0;45.1;46.6;47.5;0.00;43.8;0.00;26.5;0.00;27.8;0.00;27.2;0.00;27.1;0.00;37.3;42.0;59.2;62.2;61.9;49.4;29.4;26.8;27.7;40.2;41.5;63.3;49.2;63.4;49.2;67.7;61.5;68.6;73.8;88.0;112.5;109.6
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;11.1;9.91;0.00;11.8;0.00;14.2;0.00;13.4;0.00;16.1;0.00;15.3;0.00;16.7;0.00;17.4;0.00;18.6;0.00;20.7;0.00;21.9;0.00;24.8;0.00;28.2;0.00;32.4;0.00;26.4;0.00;28.4;0.00;26.6;0.00;0.00;26.6
