;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;;;;05.02.2026;25.04.2021;21.03.2019;25.03.2019;23.03.2020;22.03.2021;28.03.2022;04.04.2023;01.04.2024;31.03.2025;05.02.2026;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";2.04;2.91;4.06;5.67;7.20;9.51;12.2;13.8;14.9;16.2;19.1;25.2;25.2;27.6;33.1;43.5;36.6
"Операционная прибыль, млрд руб";;;;;;;2.72;3.23;3.01;3.13;4.50;6.62;4.97;7.51;9.12;;9.67
"EBITDA, млрд руб";1.09;1.29;1.69;1.59;2.08;2.68;3.67;4.17;4.31;4.64;6.00;8.28;7.92;9.22;10.7;;11.4
"Чистая прибыль, млрд руб";;;;;;1.77;2.28;2.70;2.83;2.64;4.20;6.10;6.01;7.82;9.93;;9.98
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;6.14;4.72;0.000;;;
"Операционный денежный поток, млрд руб";;;;;;;3.86;4.19;4.05;4.96;6.52;8.50;7.73;9.38;11.1;;11.9
"CAPEX, млрд руб";;;;;;1.07;2.22;3.46;3.69;3.96;3.90;3.79;1.11;3.58;2.27;4.27;2.68
"FCF, млрд руб";;;;;;2.82;1.73;0.432;0.500;0.110;2.19;4.29;6.47;6.00;9.64;;9.64
"Див.выплата, млрд руб";;;0.293;0.173;0.305;0.537;0.623;0.802;0.800;1.39;2.16;1.35;0.640;0.000;15.4;;3.15
"Дивиденд, руб/акцию";;;3,9;2,3;3,92;7,36;8,3;10,5;10,65;18,5;28,8;18;8,55;;205;;42
"Див доход, ао, %";;;;0.6%;1.3%;1.9%;1.4%;1.7%;3.4%;6.0%;6.3%;2.3%;2.0%;0.0%;22.8%;0.0%;2.8%
"Дивиденды/прибыль, %";;;;;;30%;27%;30%;28%;53%;52%;22%;11%;0%;155%;;32%
"Опер. расходы, млрд руб";;;;;;;2.06;2.17;2.54;2.65;2.62;3.37;4.82;3.77;4.64;;5.44
"Себестоимость, млрд руб";;;;;;5.92;7.40;8.36;9.39;10.4;12.0;15.2;15.4;16.3;19.7;;21.8
"Амортизация, млрд руб";;;;;;0.8;0.9;1.0;1.2;1.5;1.5;1.7;1.7;1.7;1.9;;2.1
"Расх на персонал, млрд руб";;;;;;4.27;5.15;5.79;6.49;7.13;7.67;9.54;10.1;11.1;13.8;;15.6
"Процентные расходы, млрд руб";;;;;;0.367;0.265;0.261;0.362;0.405;0.380;0.363;0.262;;;;
"Активы, млрд руб";;;;;;;18.7;22.3;25.1;28.7;32.0;34.3;33.2;41.3;39.0;;47.2
"Чистые активы, млрд руб";;;;;;11.1;12.3;14.1;15.7;17.5;19.6;22.8;26.8;34.6;30.6;;33.9
"Долг, млрд руб";;;;;;;3.28;4.54;5.67;7.10;6.80;5.51;0.600;0.876;0.000;;0.000
"Наличность, млрд руб";;;;;;;1.64;2.51;2.72;3.06;3.90;3.59;4.46;9.89;6.05;;3.46
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;1.64;2.04;2.95;4.04;2.90;1.92;-3.86;-9.02;-6.05;0.00;-3.46
"Цена акции ао, руб";;;;371.0;308.0;386.0;579.0;604.8;314.0;308.0;457.4;798.9;419.7;775.3;899.1;"1 498";"1 505"
"Число акций ао, млн";75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1;75.1
"Free Float, %";;;;;;;22.3%;22.3%;22.3%;22.3%;22.3%;32.1%;;;27.0%;;27.0%
"Инсайдерское владение, %";;;;;;;67.9%;67.9%;67.9%;67.9%;67.9%;;;;;;
"Капитализация, млрд руб";0.00;0.00;0.00;27.9;23.1;29.0;43.5;45.4;23.6;23.1;34.4;60.0;31.5;58.2;67.5;112.5;113.1
"EV, млрд руб";0.00;0.00;0.00;27.9;23.1;29.0;45.1;47.5;26.5;27.2;37.3;61.9;27.7;49.2;61.5;112.5;109.6
