date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,4705.5,4689,4795,4680,2810593699,
2025-02-11,4902,4705.5,4925,4705,5329326615,
2025-02-12,5029,4888,5075,4833,6464290903,
2025-02-13,5055.5,5060,5249.5,4960,6804400847,
2025-02-14,4938,5055.5,5156,4900,5287904725,
2025-02-17,5199,4995,5208,4992,5341753120,
2025-02-18,5125,5200,5216,5054.5,3495912136,
2025-02-19,5195,5146,5215,5061.5,2641165446,
2025-02-20,5324.5,5184.5,5430,5180,5333692704,
2025-02-21,5340,5324.5,5404,5255,2467812344,
2025-02-24,5365,5346,5416.5,5311.5,2666247029,
2025-02-25,5384.5,5366,5470,5320,3605771130,
2025-02-26,5167,5386.5,5433,5139,3161926791,
2025-02-27,5005,5165,5218,4960,3115712257,
2025-02-28,4950,5006,5034,4810,7731838716,
2025-03-01,4970.5,4987,4993,4960,58706389,
2025-03-02,4970,4968,4998,4951,104033724,
2025-03-03,4909,4974,4983,4832.5,2895346010,
2025-03-04,5037,4925,5074.5,4900,2785788181,
2025-03-05,5015.5,5050,5140,4990,2702813377,
2025-03-06,5000,5015,5073.5,4950,1920054471,
2025-03-07,4936.5,5005,5060,4865,2489962126,
2025-03-10,4841.5,4955,4988,4841,1729829607,
2025-03-11,4900,4841.5,4924,4800,2253671698,
2025-03-12,4852,4915,4924,4821,1217780475,
2025-03-13,4830,4868.5,4895.5,4718,2552313871,
2025-03-14,4923,4830,4937.5,4758.5,1944574342,
2025-03-15,4934,4927,4953.5,4924,101699780,
2025-03-16,4970,4934,4970,4920.5,124436942,
2025-03-17,4977.5,4972.5,5043.5,4952,2059397296,
2025-03-18,4892,4978,5030,4860.5,2350827461,
2025-03-19,4873.5,4913,4978.5,4871,2080295546,
2025-03-20,4855,4890,4930.5,4834,4264813977,
2025-03-21,4814,4850,4921.5,4808,2302336637,
2025-03-24,4689,4816.5,4849,4662,3170061407,
2025-03-25,4677.5,4689,4736.5,4585,3041957654,
2025-03-26,4618,4672,4734,4591.5,1693172151,
2025-03-27,4520,4618,4649.5,4514,2521008399,
2025-03-28,4421.5,4522.5,4575,4405,4046509463,
2025-03-29,4368,4411,4427,4348,368198884,
2025-03-30,4347,4368.5,4399.5,4347,188861875,
2025-03-31,4417.5,4347,4500,4322,2632492443,
2025-04-01,4649.5,4429,4700,4420.5,6994551560,
2025-04-02,4736.5,4630,4814.5,4610,6482341628,
2025-04-03,4658,4738,4773,4559,3588203324,
2025-04-04,4415.5,4688,4768.5,4400.5,5006019917,
2025-04-05,4470,4416.5,4482.5,4356,466493581,
2025-04-06,4513.5,4486.5,4539,4460.5,406910701,
2025-04-07,4395,4475,4475,4212.5,4480454320,
2025-04-08,4345,4398,4563.5,4335,3268830069,
2025-04-09,4518,4345,4532,4183,4976088120,
2025-04-10,4600,4529.5,4642.5,4413,2028857833,
2025-04-11,4567.5,4583,4682.5,4530,2010567804,
2025-04-12,4599.5,4584.5,4615.5,4584.5,148295994,
2025-04-13,4628.5,4595.5,4641,4582.5,213712270,
2025-04-14,4473,4629,4629,4430,1316698782,
2025-04-15,4481.5,4461.5,4518,4438,1432681996,
2025-04-16,4541,4473,4581.5,4414,1428996611,
2025-04-17,4550,4570,4590.5,4485,1594326665,
2025-04-18,4473,4510.5,4541,4460,1246861737,
2025-04-21,4512.5,4501,4543.5,4476,1137365491,
2025-04-22,4592.5,4514.5,4630,4510.5,2835126102,
2025-04-23,4536,4600,4622,4504,1589646900,
2025-04-24,4585,4550,4624,4538,1103372653,
2025-04-25,4630,4590,4676,4585,1689325524,
2025-04-26,4631.5,4640,4690,4614,319043636,
2025-04-27,4644,4645,4652,4612,157397733,
2025-04-28,4763.5,4646,4799,4550,3677171362,
2025-04-29,4467,4770,4795,4430.5,7102897718,
2025-04-30,4434.5,4502.5,4549.5,4405,3838621403,
2025-05-02,4309.5,4421.5,4441,4305,949506557,
2025-05-03,4323,4310.5,4350,4306,162612119,
2025-05-04,4324,4320.5,4341.5,4315.5,90854669,
2025-05-05,4226,4324,4341.5,4180,1823885059,
2025-05-06,4288.5,4233,4335.5,4150,1556182625,
2025-05-07,4325,4289,4358.5,4257,1022780762,
2025-05-08,4327,4330,4382,4307.5,501609472,
2025-05-10,4325,4350,4350,4313.5,48138420,
2025-05-11,4350,4352,4370,4325,138953260,
2025-05-12,4416,4358.5,4436,4358,1043954052,
2025-05-13,4353,4420,4434,4336.5,1043089160,
2025-05-14,4288,4353,4380,4248.5,1016936550,
2025-05-15,4315,4269.5,4336.5,4263.5,750869735,
2025-05-16,4264.5,4324,4330.5,4214,1397603541,
2025-05-17,4292.5,4263,4295.5,4258,77213408,
2025-05-18,4324.5,4301,4326.5,4295.5,95753853,
2025-05-19,4255,4324.5,4326.5,4240.5,688291597,
2025-05-20,4238.5,4260,4278,4202,1276738379,
2025-05-21,4176,4239.5,4259,4162.5,860050228,
2025-05-22,3922,4172,4189,3865.5,5469181563,
2025-05-23,3877.5,3921.5,3946,3860,2742647958,
2025-05-26,3750.5,3877,3880,3718,2368105021,
2025-05-27,3744,3750.5,3782,3670,1402679360,
2025-05-28,3780,3744,3793,3728,1674657111,
2025-05-29,3755,3782,3859,3681.5,1931878772,
2025-05-30,3788,3755,3821.5,3751,892469816,
2025-05-31,3822,3804,3826.5,3800,98756013,
2025-06-01,3756,3819.5,3824,3715,323114048,
2025-06-02,3832.5,3774,3866,3703,903762214,
2025-06-03,3925.5,3849.5,3926.5,3834,1142331646,
2025-06-04,3925,3930,3997,3923,1543998700,
2025-06-05,3948,3925,3973.5,3910,541733751,
2025-06-06,3897.5,3951.5,4055,3893,2817838946,
2025-06-07,3894,3899,3918,3873.5,76445546,
2025-06-08,3878.5,3895,3902,3877,44347798,
2025-06-09,3759,3879,3897,3727,1767224343,
2025-06-10,3706.5,3763,3780,3700,968468287,
2025-06-11,3694,3707,3735,3680,668970760,
2025-06-13,3697.5,3714,3728,3691.5,317487831,
2025-06-14,3710.5,3703,3718,3698,64185601,
2025-06-15,3728,3711,3736,3702,92505088,
2025-06-16,3669.5,3730.5,3748,3661,852885927,
2025-06-17,3694.5,3665,3719.5,3627,1013479354,
2025-06-18,3670,3691.5,3727.5,3667,759956589,
2025-06-19,3676,3669.5,3695,3655.5,631776182,
2025-06-20,3614.5,3683.5,3685.5,3606,941393907,
2025-06-23,3566,3627,3627,3558,1206759548,
2025-06-24,3576,3558.5,3589,3539,865204908,
2025-06-25,3620.5,3578,3640,3576,1232883800,
2025-06-26,3608.5,3622,3676.5,3606.5,1099458426,
2025-06-27,3600,3610,3618,3580.5,778774479,
2025-06-28,3620,3614,3629,3600,99142008,
2025-06-29,3614,3622.5,3628.5,3603.5,69808422,
2025-06-30,3632.5,3595,3660,3595,1590844851,
2025-07-01,3719.5,3642,3744.5,3628.5,2341301885,
2025-07-02,3664,3721,3769,3642,1673320099,
2025-07-03,3637,3671,3715,3632.5,1131458273,
2025-07-04,3603,3631,3641,3600,735580006,
2025-07-05,3611.5,3604,3623,3585,42922485,
2025-07-06,3621.5,3611.5,3624.5,3606.5,29952645,
2025-07-07,3615.5,3621.5,3674,3606.5,874564570,
2025-07-08,3551.5,3610,3642.5,3549,1117006825,
2025-07-09,3502.5,3550,3588,3466.5,1446435850,
2025-07-10,3491,3515,3531.5,3478,648194688,
2025-07-11,3395,3494,3500,3388,1070987525,
2025-07-12,3408,3407,3423.5,3401,59372506,
2025-07-13,3408,3417.5,3420,3398,37467546,
2025-07-14,3501,3405,3550,3336,1550233322,
2025-07-15,3521.5,3503,3574.5,3496,923688996,
2025-07-16,3580,3527.5,3599.5,3520.5,1061513881,
2025-07-17,3569,3587,3637,3544,1074162752,
2025-07-18,3621.5,3595.5,3633,3565,889104248,
2025-07-19,3654,3622.5,3663,3622,186241585,
2025-07-20,3662,3665,3670,3648,98877359,
2025-07-21,3673,3669.5,3710,3632.5,1073361087,
2025-07-22,3709.5,3673,3721.5,3655,600497588,
2025-07-23,3693.5,3718.5,3738,3688,735780660,
2025-07-24,3671,3690,3714.5,3655,540457282,
2025-07-25,3680,3687.5,3766.5,3633,1501580253,
2025-07-26,3686,3684,3692.5,3675.5,28886278,
2025-07-27,3659.5,3686,3694,3656,35807566,
2025-07-28,3585.5,3657.5,3705,3553,1149239680,
2025-07-29,3592,3604,3636,3568,683156559,
2025-07-30,3563.5,3593.5,3623.5,3554,320588970,
2025-07-31,3525.5,3554.5,3598.5,3514,771106693,
2025-08-01,3527.5,3534.5,3557.5,3502,631352319,
2025-08-04,3599,3546,3616,3527,841314628,
2025-08-05,3601,3599,3630,3552,642745169,
2025-08-06,3616.5,3592.5,3666.5,3572,1342671777,
2025-08-07,3675,3619,3697,3613.5,1599681410,
2025-08-08,3745.5,3675,3758,3665.5,1356943778,
2025-08-11,3785.5,3780,3836.5,3742,2243137597,
2025-08-12,3765.5,3786.5,3807.5,3752,802439212,
2025-08-13,3740,3765.5,3799,3728,978899467,
2025-08-14,3801.5,3757.5,3823.5,3721,1178938355,
2025-08-15,3788,3802,3838,3770,992697428,
2025-08-16,3734.5,3748.5,3748.5,3676,460932649,
2025-08-17,3705.5,3744,3744,3696,145338814,
2025-08-18,3777.5,3720,3804,3702,787600154,
2025-08-19,3800,3793.5,3869,3762.5,1752732921,
2025-08-20,3764.5,3794,3836.5,3740,1002460473,
2025-08-21,3689,3764.5,3770,3683.5,1105995204,
2025-08-22,3706.5,3689.5,3725,3683.5,438671572,
2025-08-23,3713,3713,3720.5,3708,20900942,
2025-08-24,3701.5,3713,3722,3695.5,20121465,
2025-08-25,3651,3701.5,3718.5,3627,846922026,
2025-08-26,3660.5,3651,3683,3651,391954707,
2025-08-27,3692,3658,3709.5,3653.5,445882612,
2025-08-28,3677,3696,3743,3660.5,880544039,
2025-08-29,3670,3677,3759.5,3649,1480617006,
2025-08-30,3635,3687,3687,3621.5,300400091,
2025-08-31,3633,3634.5,3639.5,3626,81960783,
2025-09-01,3520,3634.5,3637,3514.5,2497675022,
2025-09-02,3475,3525,3537.5,3420,1641827471,
2025-09-03,3489,3485,3505.5,3450,578568068,
2025-09-04,3485.5,3489,3505,3461,503525134,
2025-09-05,3531.5,3486,3565,3471,843900329,
2025-09-06,3514,3526.5,3538.5,3514,47668657,
2025-09-07,3532,3514,3537.5,3512,41203898,
2025-09-08,3504.5,3530.5,3534,3470,623434462,
2025-09-09,3509,3504.5,3547.5,3493,850809836,
2025-09-10,3482,3516.5,3519,3460,782515024,
2025-09-11,3481,3482.5,3495,3454,633997279,
2025-09-12,3404,3481,3500,3400,1105668621,
2025-09-13,3399,3404.5,3414,3390.5,57811648,
2025-09-14,3400,3403,3404,3390,75027333,
2025-09-15,3329.5,3400,3409.5,3308,1228815189,
2025-09-16,3305,3330,3360,3287,761027648,
2025-09-17,3299.5,3304,3380,3238.5,1711056054,
2025-09-18,3231.5,3302,3309,3230,754421581,
2025-09-19,3196.5,3232,3239.5,3186,1115048824,
2025-09-22,3164,3196,3196,3122,1278977415,
2025-09-23,3163.5,3173,3241.5,3149,1246974951,
2025-09-24,3422,3170,3427,3136,5844050704,
2025-09-25,3251.5,3423,3473.5,3228.5,8158455616,
