;2008Q4;2009Q4;2010Q4;2011Q4;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q2;2024Q4;2025Q1;2025Q2;LTM
"Дата отчета";;24.11.2023;24.11.2023;23.11.2023;07.02.2019;23.11.2023;07.02.2019;07.02.2019;07.02.2019;20.05.2018;07.02.2019;07.02.2019;15.11.2018;20.05.2018;15.11.2018;07.02.2019;15.11.2018;20.05.2018;;;15.11.2018;20.05.2018;;02.07.2018;;18.05.2018;20.04.2018;26.07.2018;22.10.2018;07.02.2019;30.04.2019;25.07.2019;29.10.2019;06.02.2020;29.04.2020;30.07.2020;29.10.2020;04.02.2021;29.04.2021;29.07.2021;28.10.2021;04.02.2022;29.04.2022;19.08.2022;30.08.2023;16.06.2023;19.06.2023;30.08.2023;14.11.2023;15.05.2024;30.08.2024;29.04.2025;;29.08.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Число магазинов, шт";;;"4 055";"5 309";;"6 884";;;;"8 093";;;;"9 711";;;;"12 089";;"12 888";;"14 059";"14 309";"14 844";"15 697";"16 350";"16 625";"16 960";"17 442";"18 348";"19 223";"19 884";"20 497";"20 725";"20 860";"20 894";"21 154";"21 564";"21 900";"22 344";"25 315";"26 077";"26 605";"26 731";"27 059";"27 405";"27 909";"28 309";"28 707";"29 165";"30 109";"31 483";;"32 589";"32 589"
"Открыто новых магазинов, шт";;;;;;;;;;;;;;;;;;"2 378";;;;"1 970";250;535;853;653;275;335;482;957;875;661;613;228;135;177;260;267;336;414;494;"3 269";657;126;328;217;459;400;440;461;944;"1 374";;"1 391";"2 765"
"Общ. площадь магазинов, тыс. м2";;;;;;;;;;"3 011";"3 069";"3 189";"3 327";"3 591";"3 733";"3 928";"4 155";"4 414";"4 520";"4 677";"4 825";"5 068";"5 150";"5 320";"5 560";"5 755";"5 830";"5 945";"6 092";"6 425";"6 718";"6 936";"7 143";"7 238";"7 277";"7 290";"7 371";"7 497";"7 606";"7 748";"8 723";"8 997";"9 235";"9 258";"9 353";"9 472";"9 623";"9 753";"9 894";"10 053";"10 376";"10 934";;"11 275";"11 275"
"Сопоставимые продажи, LFL, %";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.8%;7.2%;6.9%;7.5%;4.1%;5.2%;8.6%;9.9%;12.0%;13.1%;13.8%;10.0%;6.1%;4.7%;3.1%;;10.7%;;9.8%;9.8%;9.8%
"Трафик, %";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.0%;-14.0%;-4.9%;-7.6%;-9.4%;10.0%;0.3%;10.7%;0.8%;-1.6%;2.5%;4.3%;1.6%;2.6%;-0.6%;;0.7%;;0.4%;0.4%;0.4%
"Средний чек, %";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.7%;24.7%;12.4%;16.3%;14.9%;5.2%;8.3%;-0.7%;11.1%;15.0%;11.0%;5.4%;4.4%;2.0%;3.8%;;9.9%;;9.3%;9.3%;9.3%
"Средний чек, руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;294;;274;;305;347;309;342;352;333;337;382;394;386;373;399;409;392;385;;;;;;
"Торговый оборот GMV, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.3;0.9;1.5;2.9;5.9;9.2;7.4;7.1;8.9;8.7;8.3;11.1;18.0;42.9;57.7;;77.6;135.3
