;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;24.11.2023;24.11.2023;23.11.2023;23.11.2023;20.05.2018;20.05.2018;20.05.2018;20.05.2018;18.05.2018;07.02.2019;06.02.2020;04.02.2021;04.02.2022;16.06.2023;15.05.2024;29.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Число магазинов, шт";;;"4 055";"5 309";"6 884";"8 093";"9 711";"12 089";"14 059";"16 350";"18 348";"20 725";"21 564";"26 077";"27 405";"29 165";"31 483";"32 589"
"Открыто новых магазинов, шт";;;;;;;"1 618";"2 378";"1 970";"2 291";"1 998";"2 377";839;"4 513";"1 328";"1 760";"2 318";"2 765"
"Общ. площадь магазинов, тыс. м2";;;;;;"3 011";"3 591";"4 414";"5 068";"5 755";"6 425";"7 238";"7 497";"8 997";"9 472";"10 053";"10 934";"11 275"
"Сопоставимые продажи, LFL, %";;;;;;;14.5%;6.2%;-0.3%;-3.4%;-2.5%;0.4%;7.4%;7.0%;12.1%;5.5%;11.1%;9.8%
"Трафик, %";;;;;;;4.5%;-1.0%;0.7%;-3.2%;-2.6%;-2.3%;-5.9%;-0.1%;1.6%;0.6%;0.8%;0.4%
"Средний чек, %";;;;;;;9.6%;7.2%;-0.9%;0.2%;0.1%;2.8%;14.1%;7.1%;10.3%;4.8%;10.2%;9.3%
"Средний чек, руб";;;;;;;;;;;278;284;325;351;388;407;449;
"Торговый оборот GMV, млрд руб";;;;;;;;;;;;;;11.2;32.6;46.1;100.6;135.3
"Количество заказов, млн";;;;;;;;;;;;;;10.8;26.2;;;
"Выручка, млрд руб";;;236.0;336.0;449.0;580.0;764.0;951.0;"1 070";"1 143";"1 237";"1 369";"1 554";"1 856";"2 352";"2 545";"3 043";"3 256"
"Операционная прибыль, млрд руб";;;;;;;;270.8;80.8;57.9;72.2;59.2;88.4;108.9;98.0;135.5;144.0;150.7
"EBITDA, млрд руб";;16.2;19.2;27.6;47.4;79.7;85.9;104.0;107.8;91.6;89.6;85.1;109.4;133.1;160.5;166.0;171.9;180.2
"Чистая прибыль, млрд руб";;8.73;10.2;13.4;24.7;36.6;47.7;59.1;54.4;35.5;33.9;17.1;33.0;51.7;34.1;58.7;44.3;24.4
"Операционный денежный поток, млрд руб";;;;;;;;72.8;63.0;61.0;64.7;87.6;149.6;169.5;236.5;143.0;194.7;90.9
"CAPEX, млрд руб";;;36.1;50.9;47.9;52.5;55.9;54.3;49.8;73.5;51.6;53.9;32.1;66.9;48.8;67.1;157.4;171.0
"FCF, млрд руб";;;;;;14.0;33.0;52.2;57.0;17.3;11.5;-1.34;84.9;-4.22;124.8;16.9;-11.0;-129.7
"Див.выплата, млрд руб";121.5;1.29;0.585;2.14;7.70;12.8;34.3;29.4;26.3;24.7;31.0;31.0;50.0;;42.0;42.0;;
"Дивиденд, руб/акцию";1,46;14,82;6,57;22,93;81,35;135,21;362,94;310,47;278,13;251,01;304,16;304,19;490,62;;412,13;412,13;;
"Див доход, ао, %";0.3%;0.7%;0.2%;0.8%;1.7%;1.5%;3.7%;2.8%;2.5%;4.0%;8.7%;8.9%;8.7%;0.0%;9.5%;5.9%;0.0%;0.0%
"Дивиденды/прибыль, %";;15%;6%;16%;31%;35%;72%;50%;48%;69%;92%;181%;152%;0%;123%;72%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;214.9;246.7;224.3;252.8;318.2;378.7;464.1;477.3;585.9;629.1
"Себестоимость, млрд руб";;;;;;414.4;543.7;658.0;779.1;838.7;940.6;"1 057";"1 188";"1 421";"1 817";"1 966";"2 357";"2 526"
"Амортизация, млрд руб";;;;;;;;21.1;25.8;33.7;36.5;46.8;45.9;52.7;59.7;134.0;147.0;159.2
"Расх на персонал, млрд руб";;;;;;;;76.7;92.7;103.0;105.6;117.6;168.6;199.1;242.7;278.3;355.9;388.2
