date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,206.1,204,210,204,1984885379,
2025-02-11,213.87,206.1,214.61,206.1,2745752404,
2025-02-12,226.61,214,227.3,214,6096742000,
2025-02-13,234.7,227.3,237.38,224.16,5936925552,
2025-02-14,229.95,236.99,244.46,222.23,6015122275,
2025-02-17,237.54,232.14,237.54,232.14,2624388969,
2025-02-18,237.98,238,241.5,233,4132366208,
2025-02-19,239.79,238,241.3,233.55,2308294967,
2025-02-20,238.79,240.5,241.24,237.66,1792838836,
2025-02-21,234.09,238.79,239.85,229.87,2167642370,
2025-02-24,234.3,234.28,235.42,231.05,1941919063,
2025-02-25,232.01,235,236,231,1991160742,
2025-02-26,224,232.01,233.18,221.66,2617282529,
2025-02-27,217.2,224.39,224.8,216.34,2928509503,
2025-02-28,219.2,216,219.65,214.79,2856075565,
2025-03-01,221.13,221.4,222,220.13,123690390,
2025-03-02,221.24,221.13,221.57,220.55,117874898,
2025-03-03,223.3,221,225.28,215.02,3037427779,
2025-03-04,224.46,223.35,227.18,220.22,5570960212,
2025-03-05,219.7,224.46,224.98,218,4272034650,
2025-03-06,216.27,220.38,221.73,215.48,3497061044,
2025-03-07,212.21,216.77,217.66,207.25,4585741985,
2025-03-10,209.86,212.21,214.42,208.31,2346094907,
2025-03-11,211.86,210.36,214.78,208.17,3147853829,
2025-03-12,211.6,212.1,213.83,209.52,1708741621,
2025-03-13,208.55,211.01,213.97,205.51,3220436138,
2025-03-14,212.48,208,214,207.21,1795623306,
2025-03-15,213.3,212.85,213.5,212.49,102177933,
2025-03-16,215.69,213.3,215.96,212.81,206376054,
2025-03-17,216.99,215.69,218.5,210.06,3020033366,
2025-03-18,214,217.6,219.2,213.5,3528566641,
2025-03-19,216.46,215.01,218.34,213,2794399140,
2025-03-20,215.24,217.17,217.5,213.2,1999934059,
2025-03-21,213.09,215.95,216.79,212.01,1749219397,
2025-03-24,209.5,213.2,213.31,208.53,2507010542,
2025-03-25,210.56,209.1,212.37,207.61,1905907615,
2025-03-26,207.53,211,212.34,206.65,1482139948,
2025-03-27,202.4,206.96,207.8,202.2,1257910391,
2025-03-28,198.74,202,203.03,197.1,2190628307,
2025-03-29,195.75,198.38,198.74,195.75,138011985,
2025-03-30,195.75,195.75,195.75,195.75,39533670,
2025-03-31,199.55,194.78,202.56,193,1783271289,
2025-04-01,193.69,200.77,203.29,193.42,2350840371,
2025-04-02,202.34,193.69,203.88,193.26,3212210405,
2025-04-03,200.49,202.99,206.89,194.99,2919435731,
2025-04-04,194.9,202.55,202.87,192.05,4988872285,
2025-04-05,193.77,195,195.44,192.06,366138526,
2025-04-06,196.35,194,196.48,193.02,375642422,
2025-04-07,192.95,194.89,194.9,186.41,5151468666,
2025-04-08,191.01,195.7,197.99,189.81,2770499456,
2025-04-09,195.3,191.01,195.48,185.5,3686107269,
2025-04-10,191.16,196.65,196.65,189.29,1998346813,
2025-04-11,193.72,191.26,194.7,190.76,1571658020,
2025-04-12,195.57,194,195.6,194,180740821,
2025-04-13,197.4,194.82,199,194.12,198591128,
2025-04-14,193.18,196.14,197.29,191.71,1243788903,
2025-04-15,191.81,193.18,194,190.31,1063976713,
2025-04-16,194.47,191.81,195.82,190.17,1352289658,
2025-04-17,195.25,194.47,195.99,192.01,1508700727,
2025-04-18,191.61,194.57,195.14,190.05,1432176669,
2025-04-21,197.45,192.76,197.5,192.38,1598292188,
2025-04-22,206.39,197.67,208.86,197.04,3651670405,
2025-04-23,205.01,207.79,207.79,201.25,2779150611,
2025-04-24,209.57,205.1,210.95,204.71,2443095866,
