;2011Q4;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;;15.05.2020;08.07.2018;;;;08.07.2018;02.11.2020;02.11.2020;02.11.2020;;02.11.2020;02.11.2020;;06.03.2021;18.05.2018;02.11.2020;17.05.2018;30.04.2018;18.05.2018;24.08.2018;07.11.2018;06.03.2019;17.05.2019;23.08.2019;08.11.2019;06.03.2020;15.05.2020;21.08.2020;30.10.2020;05.03.2021;30.04.2021;20.08.2021;29.10.2021;04.03.2022;19.08.2022;19.08.2022;07.11.2022;10.03.2023;22.05.2023;23.08.2023;13.11.2023;26.02.2024;13.06.2024;27.08.2024;25.12.2024;06.03.2025;21.05.2025;26.08.2025;26.11.2025;26.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чист. проц. доходы, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.8;9.30;11.8;9.21;18.9;13.2;8.96;11.2;18.9;19.4;21.2;25.1;16.2;10.1;14.3;14.0;54.5
"Чист. комисс. доход, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.86;1.54;8.06;8.93;16.0;9.96;11.9;14.4;16.0;14.5;15.5;14.9;18.1;18.5;17.9;19.4;73.8
"Выручка, млрд руб";;;5.52;6.30;6.30;6.50;6.51;6.75;7.31;9.82;11.9;10.2;11.2;12.8;11.7;10.8;10.8;10.2;9.47;9.82;9.66;9.59;9.87;10.2;9.82;10.0;10.3;11.1;10.7;11.2;12.0;12.0;11.3;13.3;12.9;13.2;13.4;15.5;21.7;8.10;8.90;44.8;23.2;20.9;25.6;35.0;34.0;36.8;40.0;34.3;28.6;32.2;33.5;128.6
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.31;7.89;7.08;8.56;8.33;8.25;8.41;9.36;15.1;14.1;;26.3;17.8;15.0;18.2;25.0;24.2;24.3;28.5;21.7;15.7;20.0;22.2;79.7
"EBITDA, млрд руб";;;3.86;4.54;3.99;4.01;4.43;5.08;5.48;7.01;9.41;7.95;9.14;10.0;9.17;8.47;8.40;7.57;6.90;7.32;7.10;6.74;6.33;6.64;7.14;7.61;7.20;8.11;7.63;5.79;9.10;8.71;7.94;9.44;9.22;9.00;9.33;10.5;11.1;11.4;11.9;15.3;19.1;16.2;20.6;26.3;25.5;25.6;30.0;22.1;17.5;21.9;24.3;85.7
"Чистая прибыль, млрд руб";;;2.56;3.30;2.90;2.90;3.17;3.47;4.06;5.29;7.20;6.00;6.98;7.67;6.98;6.41;6.29;5.51;5.00;5.30;5.14;4.81;5.19;5.37;5.17;5.02;5.04;5.84;5.54;5.70;6.60;6.34;5.64;6.59;6.70;6.40;6.74;7.76;8.10;11.3;8.71;11.2;14.3;12.0;14.3;20.2;19.4;19.5;23.4;17.0;13.0;15.0;17.2;62.2
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;;;;4.29;4.87;5.11;5.46;3.10;5.90;5.45;5.75;5.90;6.82;5.56;6.89;6.84;7.00;6.74;7.52;;;;;;;;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;117.8;-175.8;-17.0;30.8;31.7;95.3;71.0;-99.9;;;;;;;;;;;;;-13.6;66.0;799.7;852.1
"CAPEX, млрд руб";;;;;;;0.069;0.126;0.209;0.380;0.753;0.293;0.551;0.903;0.278;1.33;1.01;0.928;0.324;0.488;0.558;0.732;0.214;0.469;0.605;0.722;0.241;0.504;0.528;0.807;0.580;0.850;0.800;1.17;0.520;0.580;1.08;1.97;1.10;0.880;1.04;1.16;0.468;0.920;0.680;2.03;1.06;2.06;1.87;7.21;1.48;2.61;3.15;14.4
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;;5.67;;12.4;;;;17.5;;;;18.1;;;;21.5;;;;;;;;11.0;;;;39.5;;;;;;;;
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;;;;2,49;;5,47;;;;7,7;;;;7,93;;;;9,45;;;;;;;;4,84;;;;17,35;;;;;;;;
"Див доход, ао, %";;;;;;0.0%;;;;0.0%;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;2.4%;0.0%;5.0%;0.0%;0.0%;0.0%;9.5%;0.0%;0.0%;0.0%;7.4%;0.0%;0.0%;0.0%;5.9%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;5.1%;0.0%;0.0%;0.0%;9.2%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;107%;0%;258%;0%;0%;0%;349%;0%;0%;0%;317%;0%;0%;0%;326%;0%;0%;0%;0%;0%;0%;0%;98%;0%;0%;0%;195%;0%;0%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;2.07;2.17;2.70;2.90;2.56;2.36;2.23;3.22;2.87;2.66;2.49;3.25;3.08;2.85;2.98;3.35;3.28;3.21;3.31;3.63;3.53;3.50;3.51;4.21;3.74;3.87;3.78;4.05;3.68;4.14;4.22;4.71;4.52;4.94;4.95;6.11;6.60;5.81;5.39;6.10;5.40;5.91;7.42;9.97;9.78;12.5;11.5;12.6;12.9;12.2;11.3;49.0
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;;;;1.6;1.5;;;2.5;2.1;3.3;1.7;1.9;2.1;9.0
"Расх на персонал, млрд руб";;;;;;;;;;;1.46;1.39;1.32;1.63;1.64;1.33;1.43;1.54;1.60;1.48;1.48;1.59;1.71;1.53;1.56;1.72;1.76;1.80;1.78;1.78;1.79;2.10;2.17;2.40;2.39;2.42;2.36;2.71;3.07;2.87;2.90;3.14;2.71;2.90;4.22;5.41;5.65;4.84;6.16;8.48;6.84;5.50;3.74;24.6
"Активы, млрд руб";;;;;;;;;;;;;;;;;;"2 442";;;;"3 028";;;;"4 083";;;;"4 029";"4 676";"4 547";"5 147";"4 933";"5 792";"5 915";"5 896";"6 143";"7 556";"6 245";"5 926";"6 619";"7 010";"7 528";"9 019";"9 464";"9 912";"9 585";"9 203";"12 093";"11 365";"10 734";"12 427";"12 427"
"Чистые активы, млрд руб";;;;;;81.5;;;;91.4;;;;113.4;;;;123.2;;115.9;115.9;121.1;124.7;115.8;120.1;125.4;129.7;119.6;125.3;131.7;135.4;127.0;132.1;139.2;143.3;128.0;134.3;140.1;126.4;156.6;164.5;176.7;190.8;191.5;199.9;223.1;241.9;221.5;243.2;261.5;278.2;235.7;253.8;253.8
"Долг, млрд руб";;;;;;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;;;;;;;;;;;;;
"Наличность, млрд руб";;;;;;29.0;48.1;45.9;49.9;57.7;67.5;63.7;68.8;79.0;87.7;74.4;78.7;85.3;89.7;75.8;84.6;82.7;89.6;79.0;83.7;89.7;95.1;84.1;90.1;93.0;97.8;88.4;97.2;103.9;102.5;86.3;88.0;90.7;;;;107.3;;;117.7;139.1;145.5;122.8;127.0;;;;;
