;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;08.07.2018;08.07.2018;;06.03.2021;30.04.2018;06.03.2019;06.03.2020;05.03.2021;04.03.2022;10.03.2023;26.02.2024;06.03.2025;26.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чист. проц. доходы, млрд руб";;;;;;;;;;14.2;12.9;45.6;52.2;81.9;54.5
"Чист. комисс. доход, млрд руб";;;;;;;;;;34.3;41.6;37.5;52.2;63.0;73.8
"Выручка, млрд руб";;21.5;24.6;30.4;46.0;43.6;38.5;39.9;43.2;48.6;54.9;83.5;104.7;145.1;128.6
"Операционная прибыль, млрд руб";;;;;;;;;;31.8;34.4;59.7;76.0;98.8;79.7
"EBITDA, млрд руб";;13.7;16.4;21.6;36.5;33.6;28.1;27.7;28.7;35.2;38.0;49.7;82.2;103.2;85.7
"Чистая прибыль, млрд руб";;8.20;11.6;16.0;27.9;25.2;20.3;20.8;22.1;25.2;27.6;36.3;60.8;79.3;62.2
"Чистая прибыль н/с, млрд руб";;;;;;;;19.7;20.2;25.2;28.1;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;-44.3;98.2;"1 213";-74.8;546.9;852.1
"CAPEX, млрд руб";;;;0.784;2.50;3.55;2.10;2.01;2.08;3.40;4.15;4.18;4.10;12.2;14.4
"Див.выплата, млрд руб";;2.90;5.42;8.82;16.2;17.5;18.1;17.5;18.1;21.5;;11.0;39.5;59.4;
"Дивиденд, руб/акцию";;1,22;2,38;3,87;7,11;7,68;7,96;7,7;7,93;9,45;;4,84;17,35;26,11;
"Див доход, ао, %";;;3.7%;6.6%;7.8%;6.1%;7.3%;9.5%;7.4%;5.9%;0.0%;5.1%;9.2%;13.2%;0.0%
"Дивиденды/прибыль, %";;35%;47%;55%;58%;69%;89%;84%;82%;85%;0%;30%;65%;75%;0
"Опер. расходы, млрд руб";;9.42;9.86;10.4;11.3;12.3;13.4;14.8;15.4;16.8;20.5;23.9;28.7;46.3;49.0
"Амортизация, млрд руб";;;;;;;;;;4.9;5.6;6.1;6.5;7.9;9.0
"Расх на персонал, млрд руб";;;;5.41;5.80;5.95;6.15;6.51;7.11;8.46;9.88;12.0;15.3;25.1;24.6
"Процентные расходы, млрд руб";;;;0.000;0.000;0.000;0.830;0.442;2.90;0.000;0.000;;;;
"Активы, млрд руб";;;;;;"2 442";"3 028";"4 083";"4 029";"4 933";"6 143";"6 619";"9 464";"12 093";"12 427"
"Чистые активы, млрд руб";;;81.5;91.4;113.4;123.2;121.1;125.4;131.7;139.2;140.1;176.7;223.1;261.5;253.8
"Долг, млрд руб";;;0.050;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;;;;
"Наличность, млрд руб";;;29.0;57.7;79.0;85.3;82.7;89.7;93.0;103.9;90.7;107.3;139.1;;
"Чистый долг, млрд руб";0.00;0.00;-28.9;-57.7;-79.0;-85.3;-82.7;-89.7;-93.0;-103.9;-90.7;-107.3;-139.1;0.00;0
"Цена акции ао, руб";;;65.0;59.0;91.4;125.6;109.0;81.0;107.8;159.2;153.1;94.9;189.1;198.5;179.5
"Число акций ао, млн";;;"2 279";"2 279";"2 279";"2 279";"2 276";"2 276";"2 276";"2 276";"2 276";"2 276";"2 276";"2 276";"2 276"
"Free Float, %";;;;;;;57.5%;;;;;;;64.0%;65.0%
"Инсайдерское владение, %";;;;;;;0.140%;;;;;;;;
"Капитализация, млрд руб";0.00;0.00;148.1;134.4;208.3;286.2;248.1;184.4;245.3;362.5;348.5;216.1;430.5;451.9;408.7
"EV, млрд руб";0.00;0.00;119.2;76.8;129.3;200.9;165.4;94.7;152.3;258.6;257.9;108.7;291.5;451.9;408.7
"Баланс стоимость, млрд руб";0.00;0.00;46.6;57.3;79.4;88.9;86.8;91.8;98.7;106.3;105.8;143.2;190.4;218.7;208.8
"EPS, руб";;;5.08;7.02;12.2;11.1;8.90;9.12;9.72;11.1;12.1;15.9;26.7;34.8;27.3
