date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,2.426,2.4235,2.455,2.405,39207671,
2025-02-11,2.431,2.426,2.4435,2.392,41863351,
2025-02-12,2.5,2.4345,2.514,2.417,111760677,
2025-02-13,2.548,2.5035,2.639,2.485,131622845,
2025-02-14,2.5485,2.5005,2.625,2.361,128877978,
2025-02-17,2.745,2.568,2.7575,2.5635,108975433,
2025-02-18,2.81,2.746,2.9425,2.725,485830792,
2025-02-19,2.766,2.807,2.88,2.728,137134211,
2025-02-20,2.7685,2.766,2.81,2.7585,70133224,
2025-02-21,2.7425,2.774,2.7995,2.7065,86614148,
2025-02-24,2.804,2.7425,2.8345,2.7305,66663971,
2025-02-25,2.8105,2.8045,2.85,2.788,74909936,
2025-02-26,2.702,2.8105,2.844,2.681,97208972,
2025-02-27,2.5995,2.6975,2.702,2.594,87931955,
2025-02-28,2.644,2.5995,2.644,2.55,64059673,
2025-03-01,2.653,2.6445,2.653,2.6445,755595,
2025-03-02,2.652,2.653,2.653,2.6175,1310180,
2025-03-03,2.5675,2.6465,2.7195,2.5455,108792635,
2025-03-04,2.6775,2.58,2.711,2.58,82166163,
2025-03-05,2.6745,2.6825,2.75,2.6205,96480212,
2025-03-06,2.591,2.6745,2.723,2.5685,95041356,
2025-03-07,2.5465,2.5985,2.6245,2.482,86638831,
2025-03-10,2.5695,2.56,2.5885,2.532,45367270,
2025-03-11,2.564,2.5715,2.613,2.534,62774425,
2025-03-12,2.5995,2.552,2.6325,2.5515,88101082,
2025-03-13,2.552,2.6065,2.6065,2.5,134187086,
2025-03-14,2.5905,2.5505,2.604,2.535,61941754,
2025-03-15,2.5965,2.592,2.6075,2.592,1522914,
2025-03-16,2.6125,2.591,2.6125,2.591,1934442,
2025-03-17,2.625,2.602,2.6555,2.602,58144537,
2025-03-18,2.603,2.633,2.652,2.5825,74912230,
2025-03-19,2.596,2.6125,2.6175,2.553,48695575,
2025-03-20,2.495,2.603,2.6105,2.452,199528596,
2025-03-21,2.47,2.495,2.519,2.465,51082647,
2025-03-24,2.477,2.47,2.499,2.469,36811727,
2025-03-25,2.4905,2.4735,2.5045,2.4225,89466744,
2025-03-26,2.4635,2.493,2.504,2.451,29097219,
2025-03-27,2.4155,2.4725,2.4725,2.415,29711663,
2025-03-28,2.3725,2.4145,2.4185,2.36,46715013,
2025-03-29,2.3205,2.3725,2.38,2.3175,7159513,
2025-03-30,2.3195,2.318,2.332,2.3175,2726630,
2025-03-31,2.366,2.32,2.4175,2.3025,53627758,
2025-04-01,2.2935,2.3785,2.405,2.293,50441403,
2025-04-02,2.331,2.3045,2.3595,2.2835,54908043,
2025-04-03,2.2335,2.3395,2.385,2.207,69984863,
2025-04-04,2.1235,2.2415,2.266,2.12,77805451,
2025-04-05,2.128,2.1095,2.1345,2.0775,8540611,
2025-04-06,2.1995,2.1295,2.203,2.1285,8310253,
2025-04-07,2.1575,2.178,2.2085,2.0105,171069270,
2025-04-08,2.073,2.1645,2.2075,2.0675,64352212,
2025-04-09,2.2,2.073,2.2025,2.05,120352817,
2025-04-10,2.184,2.2185,2.23,2.15,45302590,
2025-04-11,2.2305,2.1705,2.248,2.168,48465189,
2025-04-12,2.2525,2.2345,2.262,2.225,9811156,
2025-04-13,2.256,2.253,2.2615,2.233,3954397,
2025-04-14,2.196,2.256,2.2615,2.157,41636297,
2025-04-15,2.18,2.196,2.213,2.1245,35508929,
2025-04-16,2.203,2.183,2.2185,2.16,30752702,
2025-04-17,2.316,2.204,2.319,2.201,106832070,
2025-04-18,2.3315,2.293,2.3485,2.25,77317679,
2025-04-21,2.3,2.334,2.3885,2.275,100511301,
2025-04-22,2.32,2.2975,2.327,2.2825,40261536,
2025-04-23,2.266,2.319,2.3265,2.231,53343044,
2025-04-24,2.233,2.274,2.2835,2.212,38071212,
2025-04-25,2.2995,2.231,2.31,2.231,66180242,
2025-04-26,2.308,2.3,2.3195,2.3,4666149,
2025-04-27,2.3165,2.3165,2.319,2.3045,934097,
2025-04-28,2.2465,2.2915,2.325,2.1895,102387959,
2025-04-29,2.2115,2.242,2.261,2.19,21710155,
2025-04-30,2.1875,2.212,2.212,2.16,24983456,
2025-05-02,2.1205,2.188,2.207,2.1055,23883348,
2025-05-03,2.11,2.111,2.1265,2.105,2225140,
2025-05-04,2.14,2.1205,2.155,2.109,3657649,
2025-05-05,2.133,2.143,2.1615,2.0705,45854112,
2025-05-06,2.1945,2.1355,2.195,2.1265,47153324,
2025-05-07,2.2495,2.187,2.271,2.1455,65814575,
2025-05-08,2.217,2.2555,2.267,2.205,27959672,
2025-05-10,2.2015,2.224,2.228,2.192,5380044,
2025-05-11,2.2295,2.212,2.25,2.212,8620897,
2025-05-12,2.2945,2.2405,2.315,2.2295,63005877,
2025-05-13,2.3195,2.2875,2.321,2.279,26497757,
2025-05-14,2.2575,2.325,2.338,2.25,49489450,
2025-05-15,2.203,2.2555,2.265,2.1735,55622750,
2025-05-16,2.1805,2.203,2.2345,2.144,37985005,
