;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;2026Q1;LTM
"Дата отчета";;;;03.07.2018;03.07.2018;;;;03.07.2018;;;;26.06.2018;;;;04.05.2018;14.05.2018;13.08.2018;12.11.2018;07.03.2019;08.05.2019;12.08.2019;08.11.2019;06.03.2020;06.05.2020;07.08.2020;06.11.2020;09.03.2021;18.05.2021;09.08.2021;03.11.2021;05.03.2022;13.05.2022;11.08.2023;09.11.2023;27.05.2023;11.08.2023;11.08.2023;09.11.2023;;;;;26.06.2025;;;;;;09.11.2023
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;;;12.3;12.7;;;;12.9;;13.0;13.0;13.0;13.0;12.9;12.9;12.9;;;;12.8;;;;12.8;12.8;12.8;;12.8;;;;12.8;;;;12.6;;;;12.5;;;;12.5;;;;;;
"Установл. тепл. мощность, Гкал/ч";;;;;;;;;;;"42 900";"42 957";"43 000";"42 957";"42 800";"42 800";"42 760";;;;43.0;;;;43.0;;;;43.0;;;;44.0;;;;44.0;;;;44.0;;;;44.0;;;;;;
"Выработка электроэнергии, ТВт*ч";;;;;;;;;;17.1;13.2;12.2;16.5;18.4;10.7;10.7;18.1;19.1;11.2;10.4;17.6;19.2;13.2;11.3;16.5;17.3;10.6;10.8;15.7;19.4;12.2;12.5;17.9;19.3;12.7;12.2;18.3;19.7;12.5;12.7;18.2;20.4;13.9;13.5;18.3;19.6;14.0;12.9;18.2;;45.1
"Ср. цена реализации э/э, руб/кВт*ч";;;;;;;;;;;;;;;;;;;;;;;;;;"1 201";;;"1 230";"1 331";"1 342";"1 405";"1 392";;;;;;;;;;;;;;;;;;
"Отпуск э/э потребителям из сети, млрд кВт*ч";;;;;;;;;;;;;;;;;;;;;;;;;;17.8;11.0;11.3;16.3;20.7;13.6;13.7;;;;;;;;;;;;;;;;;;;
"Отпуск тепл.энергии, млн Гкал";;;;;;;;;;34.0;10.7;6.20;30.9;33.3;13.0;5.60;27.6;37.5;10.5;5.20;29.1;33.0;10.6;6.30;25.6;28.5;12.2;5.65;28.0;38.5;12.4;7.46;30.9;34.4;13.9;6.82;30.3;35.0;10.1;5.40;31.0;38.3;11.7;5.27;28.3;32.3;12.2;6.40;27.9;;46.5
"Реализация мощности, ГВт";;;;;;;;;;;;;;;;;;;;;;;;;;;;10.8;10.8;11.0;10.9;10.5;;;;;;;;;;;;;;;;;;;
"Выручка, млрд руб";;;;;;55.6;32.7;26.1;58.3;62.6;33.3;33.2;63.0;62.6;41.6;31.2;60.7;72.2;35.5;28.3;62.9;67.1;36.8;29.5;56.4;59.8;33.2;29.2;58.8;78.0;40.0;37.7;69.5;75.2;42.6;36.3;;85.5;43.2;39.2;;;;;;;;;;;167.9
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;7.31;-0.529;-2.72;3.54;11.5;-0.404;-3.08;-5.43;15.3;-1.90;-2.88;;8.90;-2.56;-7.52;;;;;;;;;;;-1.18
"EBITDA, млрд руб";;;;;;12.3;5.24;1.12;9.91;13.4;4.62;1.98;13.3;16.8;8.48;5.47;16.8;19.7;7.12;2.65;14.3;16.6;5.52;7.36;11.3;14.0;5.50;3.10;11.6;18.6;5.95;3.14;-1.01;20.4;4.36;2.76;;17.7;4.47;0.700;;;;;;;;;;;22.9
"Чистая прибыль, млрд руб";;;;;;7.43;0.791;-5.88;9.62;8.21;1.81;-2.69;13.7;11.4;3.17;2.29;7.98;12.7;2.49;-1.20;7.38;10.7;2.07;-0.106;-3.03;5.70;0.900;-1.25;2.71;9.44;-0.370;-1.73;-4.45;13.1;-0.770;-1.29;;7.82;-0.930;-4.83;;;;;;;;;;;2.06
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;6.12;17.2;4.50;2.10;2.56;16.2;7.73;1.43;4.69;13.3;6.28;9.93;4.00;5.82;17.0;;;18.8;10.3;;;;;;;;;;;29.1
"CAPEX, млрд руб";;;;;;7.78;3.14;2.97;9.26;1.61;2.81;4.48;3.86;3.04;1.12;1.86;9.23;2.30;3.14;3.31;7.94;2.98;2.31;4.58;6.02;3.76;3.44;2.03;6.67;8.84;3.90;2.90;7.02;10.5;4.42;5.87;;;8.00;3.97;;;;;;;;;;;12.0
"FCF, млрд руб";;;;;;;;;;;;;;;;41.4;;;;;;3.74;13.1;1.50;-36.1;-0.609;4.53;9.89;-1.27;-1.65;10.4;1.90;-2.99;0.188;-2.60;12.9;;;12.9;7.83;;;;;;;;;;;20.7
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;6.57;;;;8.32;;;;4.80;;;;7.13;;;;8.87;;;;7.41;;;;6.33;;;;;;;;;8.98;8.98
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;0,16595;;;;0,21;;;;0,12075;;;;0,1794;;;;0,22308;;;;0,18652;;;;0,16038;;;;;;;;;0,226064;0,226064
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;6.3%;0.0%;0.0%;0.0%;10.1%;0.0%;0.0%;0.0%;5.3%;0.0%;0.0%;0.0%;8.6%;0.0%;0.0%;0.0%;10.6%;0.0%;0.0%;0.0%;10.7%;0.0%;0.0%;0.0%;5.2%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;9.1%
"Дивиденды/прибыль, %";;;;;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;82%;0%;0%;0%;113%;0%;0%;0%;0%;0%;0%;0%;263%;0%;0%;0%;0%;0%;0%;0%;;0%;0%;0%;;;;;;;;;;;436%
