;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;;03.07.2018;03.07.2018;03.07.2018;26.06.2018;04.05.2018;07.03.2019;06.03.2020;09.03.2021;05.03.2022;27.05.2023;;26.06.2025;;09.11.2023
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Установленная мощность, ГВт";;;;12.3;12.7;12.9;13.0;12.9;12.8;12.8;12.8;12.8;12.6;12.5;12.5;;
"Установл. тепл. мощность, Гкал/ч";;;;;;;"43 000";"42 760";43.0;43.0;43.0;44.0;44.0;44.0;44.0;;
"Выработка электроэнергии, ТВт*ч";;;;58.6;56.7;54.7;59.1;57.9;58.3;60.1;54.4;62.0;62.5;63.0;66.1;64.8;45.1
"Ср. цена реализации э/э, руб/кВт*ч";;;;;;"1 126";"1 183";"1 193";1.25;1.29;1.23;1.39;1.41;1.57;1.70;;
"Отпуск тепл.энергии, млн Гкал";;;;67.6;67.5;71.7;81.8;79.5;82.3;75.4;74.3;89.2;85.4;81.5;83.4;78.8;46.5
"КИУМ, %";;;;;;;;;;;48.3%;55.2%;57.3%;57.5%;60.5%;;
"Выручка, млрд руб";;;;154.1;161.4;171.2;190.7;196.1;198.9;189.8;180.9;225.2;;;;;167.9
"Операционная прибыль, млрд руб";;;;;;;15.6;29.2;25.9;6.60;7.60;2.59;;;;;-1.18
"EBITDA, млрд руб";;;;23.1;26.1;30.2;38.3;47.6;43.8;22.0;30.5;26.7;;;;;22.9
"Чистая прибыль, млрд руб";;;;7.46;-2.97;-1.80;13.4;24.8;21.4;9.60;8.05;2.89;20.7;;;;2.06
"Чистая прибыль н/с, млрд руб";;;;;;;21.0;;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;31.7;42.1;35.6;30.0;27.9;34.2;;;;;29.1
"CAPEX, млрд руб";;;;27.8;17.7;23.1;8.19;15.2;16.7;15.9;15.9;22.7;;;;;12.0
"FCF, млрд руб";;;;;;;8.02;35.5;21.5;-17.5;12.5;7.65;;;;;20.7
"Див.выплата, млрд руб";0.792;1.19;1.19;1.58;0.396;2.24;2.77;6.57;8.32;4.80;7.13;8.87;7.41;6.33;8.98;;8.98
"Дивиденд, руб/акцию";0,02;0,03;0,03;0,04;0,01;0,05665;0,06982;0,16595;0,21;0,12;0,1794;0,22308;0,18652;0,16038;0,22606373615;;0,226064
"Див доход, ао, %";0.6%;1.8%;2.2%;4.6%;1.6%;6.9%;2.8%;6.3%;10.1%;5.3%;8.6%;10.6%;10.7%;5.2%;9.7%;0.0%;9.1%
"Дивиденды/прибыль, %";;;;21%;0%;0%;21%;27%;39%;50%;89%;306%;36%;;;;436%
"Опер. расходы, млрд руб";;;;;;159.4;167.5;163.6;172.4;179.3;172.2;220.6;;;;;167.8
"Себестоимость, млрд руб";;;;100.6;106.2;107.5;;;;;;;;;;;
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;24.0
