date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,229.5,225.9,231,225.15,1164136455,
2025-02-11,236.5,228,236.5,227.5,934690287,
2025-02-12,250.8,237,256.7,233.1,2721955036,
2025-02-13,250.05,252,257.95,244.5,1895578807,
2025-02-14,251.45,232.75,258.2,232.75,2419182432,
2025-02-17,253.85,252.95,256.35,251.1,1942094489,
2025-02-18,246,253.75,256.2,242.8,1538162035,
2025-02-19,251.3,247,252,243.5,884290459,
2025-02-20,251.9,251.3,254.2,248,753728934,
2025-02-21,253.8,251.35,254.35,250.5,636770218,
2025-02-24,254.3,253.65,255.45,249.85,1005011670,
2025-02-25,253.05,254.75,255.2,251.9,931424536,
2025-02-26,248.8,253.1,253.9,247.05,894796361,
2025-02-27,241.45,248.8,249.6,240.3,1077386779,
2025-02-28,249.05,240.75,251.5,237.85,1431166811,
2025-03-01,248.45,248.95,249.95,248.15,12375812,
2025-03-02,247.05,248.45,248.85,247,17420558,
2025-03-03,239.3,246.5,247,236.1,1211392882,
2025-03-04,248.7,239.6,249.95,239.6,1130183040,
2025-03-05,245.55,249.2,251.1,244.05,1346102006,
2025-03-06,243.15,246.5,247.55,242.35,421118890,
2025-03-07,242,243.2,246.6,238.8,612220682,
2025-03-10,239.75,242,243.95,239.05,387984016,
2025-03-11,240.8,239.8,242.8,236.9,624383479,
2025-03-12,240.35,241,242.9,238.75,264565375,
2025-03-13,244.7,240.35,248,237.5,1165062465,
2025-03-14,246.45,242.45,248,239.1,770087592,
2025-03-15,247.2,245.55,247.5,245.55,27040349,
2025-03-16,249.5,246.45,250,246.1,58151370,
2025-03-17,247.6,249.45,250.9,244.5,747842304,
2025-03-18,243.2,247.9,248.95,242,650611305,
2025-03-19,242.75,243.2,244.9,241.25,735711038,
2025-03-20,240.4,242.3,243.7,237.75,991893576,
2025-03-21,239.1,240.55,242.55,237.05,778937233,
2025-03-24,237.5,239.1,241.15,236.8,665157526,
2025-03-25,238.65,237.5,239.95,234.2,721097518,
2025-03-26,235,239.15,240,234.4,239608036,
2025-03-27,231,235,235.05,230.65,645278594,
2025-03-28,224.3,231.2,232,221.55,1001971629,
2025-03-29,221.3,224,224.3,220,75411971,
2025-03-30,218,220.05,221.15,217.9,74774530,
2025-03-31,227.2,217.5,228.85,216.4,728886694,
2025-04-01,221.15,227.2,232.7,218,1886345356,
2025-04-02,222.15,221.1,223.9,218.55,936728486,
2025-04-03,219.75,222,224.25,215.9,828791475,
2025-04-04,209.05,220.55,221.35,205.05,1402981005,
2025-04-05,207.5,209.05,209.9,202.65,170864606,
2025-04-06,213.3,207.5,214.05,207.5,111311996,
2025-04-07,204.6,211.25,211.25,198,1382996773,
2025-04-08,202.1,204.8,210.45,202,816882197,
2025-04-09,216.05,201.5,219,200.5,2532348339,
2025-04-10,218.75,217,220.5,214.25,998336776,
2025-04-11,219.8,217.35,224,216.85,1001397598,
2025-04-12,221.35,220.35,221.4,220.2,56287466,
2025-04-13,221.05,220.25,221.65,220.15,62302836,
2025-04-14,215.5,221.4,223.35,213.1,1344360067,
2025-04-15,215.5,215.9,217.2,210.65,842934649,
2025-04-16,215.75,214.75,219.7,211.5,806645857,
2025-04-17,217.15,215.9,217.5,214.65,399640175,
2025-04-18,214.35,215.35,217.3,212,478864995,
2025-04-21,216.8,216.15,217.9,215,452646128,
2025-04-22,216.4,216.55,218.35,213.7,968499042,
2025-04-23,215.95,216.5,217.5,213.1,750840491,
2025-04-24,216.35,216.3,218,215.1,612213159,
2025-04-25,218.9,216.35,220,216,955258508,
