;2008Q4;2009Q4;2010Q4;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;23.11.2023;23.11.2023;;;;01.02.2023;;;;08.07.2018;;;;30.06.2018;;;19.09.2024;30.06.2018;19.09.2024;19.09.2024;19.09.2024;30.06.2018;19.09.2024;19.09.2024;19.09.2024;30.06.2018;23.05.2018;21.08.2018;20.11.2018;19.03.2019;23.05.2019;20.08.2019;19.11.2019;12.03.2020;26.05.2020;19.08.2020;17.11.2020;04.03.2021;18.05.2021;19.08.2021;17.11.2021;03.03.2022;18.05.2022;18.08.2022;16.11.2022;13.03.2023;19.05.2023;22.08.2023;16.11.2023;05.03.2024;11.07.2024;28.08.2024;19.11.2024;05.03.2025;21.05.2025;19.08.2025;13.11.2025;13.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Акт. абоненты, млн чел";;;78.2;83.6;83.0;82.6;82.1;81.5;80.0;78.4;76.9;75.6;70.0;70.6;73.3;74.6;74.5;75.4;76.9;77.3;77.3;77.8;79.0;80.0;79.0;78.0;78.5;78.3;78.1;78.1;78.0;78.0;77.6;78.1;78.8;79.1;78.5;77.2;78.2;78.5;78.4;78.6;79.7;80.4;80.0;80.0;80.2;80.0;79.8;80.3;80.8;81.1;81.3;81.6;81.9;82.4;82.7;82.9;83.2;83.2
"ARPU, $/чел";;;;;291.9;292.3;286.2;293.9;303.6;305.7;308.8;321.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Выручка, млрд руб";;;;;;;;;;;;;;;;;;;113.7;111.3;105.9;106.1;112.2;111.6;104.7;106.8;114.6;116.8;107.9;114.3;128.0;101.3;118.0;125.1;133.9;99.0;119.6;117.7;129.0;128.6;123.9;128.6;138.2;143.7;132.0;127.8;137.7;144.4;137.4;144.2;156.4;168.0;161.3;170.9;180.4;191.1;175.5;195.4;213.8;775.8
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.9;26.3;33.5;26.2;28.6;30.4;33.5;25.8;26.7;22.3;32.6;27.8;28.6;33.6;30.0;30.7;33.2;37.7;33.4;31.6;31.9;39.4;38.3;141.1
"EBITDA, млрд руб";;;;;;;;;;;;;;;;;;;48.1;43.4;41.1;40.7;45.7;41.8;41.8;44.0;48.8;45.2;52.1;53.9;59.3;39.3;55.3;56.1;62.8;36.1;51.5;51.6;58.5;53.6;55.4;57.2;61.3;55.5;56.5;51.8;60.5;55.6;56.5;62.3;58.8;56.7;59.2;65.4;61.5;60.4;63.3;72.7;71.8;268.2
"Чистая прибыль, млрд руб";;;;;;;;;;;;;;;;;;;14.4;7.10;14.5;9.10;12.6;12.4;12.5;14.7;18.0;10.8;15.4;14.3;18.7;17.5;17.6;12.7;18.4;5.50;17.7;11.8;18.8;13.1;16.2;17.2;16.5;13.6;3.90;11.0;12.3;6.25;12.7;16.8;9.00;16.1;20.1;7.19;1.000;1.40;4.90;2.79;5.98;15.1
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14.3;18.7;-26.2;17.6;;;;;;;;;;;;;;;;;;;;39.5;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;39.5;25.1;44.5;46.4;14.3;33.9;39.6;55.1;9.00;45.0;71.5;65.1;28.3;7.70;57.3;45.4;11.8;31.5;49.2;66.5;3.20;36.6;55.7;162.0
