;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;23.11.2023;23.11.2023;01.02.2023;08.07.2018;30.06.2018;30.06.2018;30.06.2018;30.06.2018;19.03.2019;12.03.2020;04.03.2021;03.03.2022;13.03.2023;05.03.2024;05.03.2025;13.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Акт. абоненты, млн чел";;;78.2;83.6;81.5;75.6;74.6;77.3;80.0;78.3;78.0;79.1;78.5;80.4;80.0;81.1;82.4;83.2
"ARPU, $/чел";;;305.5;298.1;291.4;309.7;326.0;338.0;342.0;343.0;346.0;355.0;375.0;;;;;
"Выручка, млрд руб";;;343.1;348.6;378.2;398.4;410.8;431.2;435.7;442.9;451.5;476.1;494.9;534.4;534.1;606.0;703.7;775.8
"Операционная прибыль, млрд руб";;;;;;;;;;96.1;116.2;114.2;112.9;118.0;107.2;122.8;135.9;141.1
"EBITDA, млрд руб";;;148.0;144.2;161.7;175.0;179.1;175.5;169.3;179.8;220.9;210.3;215.2;229.4;224.4;234.2;246.4;268.2
"Чистая прибыль, млрд руб";;;41.9;42.3;29.6;79.8;51.3;49.5;48.5;56.0;65.9;54.2;61.4;63.5;32.6;54.6;31.5;15.1
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;6.80;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;144.6;154.4;106.7;155.5;142.8;190.6;138.7;159.0;162.0
"CAPEX, млрд руб";;;;;;;91.9;96.1;83.6;76.4;86.5;91.5;96.9;111.0;111.2;101.5;132.4;132.4
"FCF, млрд руб";;;;;;;57.1;51.0;47.0;71.5;54.8;55.4;62.1;53.9;37.2;44.8;-1.40;-53.7
"Див.выплата, млрд руб";29.6;39.4;30.7;30.0;30.4;41.0;51.2;52.0;32.2;67.5;45.1;85.0;70.8;88.6;68.5;68.6;68.6;68.6
"Дивиденд, руб/акцию";14,8;20,2;15,4;14,5;14,7;19,8;24,8;25,2;15,6;33,8;22,58;42,5;35,44;44,4;34,29;35;35;35
"Див доход, ао, %";13.3%;9.1%;5.9%;7.9%;6.0%;6.0%;14.7%;12.0%;6.0%;12.2%;9.5%;13.3%;10.7%;14.9%;14.6%;14.1%;16.7%;15.8%
"Дивиденды/прибыль, %";;;73%;71%;103%;51%;100%;105%;66%;121%;68%;157%;115%;140%;210%;126%;218%;455%
"Опер. расходы, млрд руб";;;;;;;;;;;;;196.3;209.9;235.6;131.5;152.9;146.7
"Себестоимость, млрд руб";;;;;;106.4;114.7;163.3;175.7;169.4;176.3;178.9;180.9;200.0;191.3;215.6;275.5;329.4
"Амортизация, млрд руб";;;;;;;;;;;;;;111.1;114.4;111.4;110.5;127.2
"Расх на персонал, млрд руб";;;;;;;;;;;;50.5;48.9;54.3;63.2;78.8;;
"Процентные расходы, млрд руб";;;;;;;;25.0;26.8;23.4;37.1;46.2;41.8;40.6;45.8;46.3;98.6;140.8
"Активы, млрд руб";;;;;455.0;485.5;599.0;653.4;544.5;551.1;916.0;823.9;919.0;"1 016";"1 083";"1 292";"1 517";"1 775"
"Чистые активы, млрд руб";;;;;110.7;151.9;165.9;168.4;139.2;120.1;65.3;33.1;28.7;9.77;-9.37;-5.10;-37.7;-4.35
"Долг, млрд руб";;;217.0;280.0;232.0;219.1;283.5;348.0;279.3;292.8;368.7;343.3;429.5;462.1;486.1;554.1;672.0;741.1
"Наличность, млрд руб";;;28.2;59.6;22.0;45.3;61.4;33.5;18.5;30.6;136.0;63.1;111.9;72.8;102.8;113.5;195.5;256.6
"Чистый долг, млрд руб";0.00;0.00;188.9;220.4;210.0;173.9;222.1;314.5;260.9;262.2;232.8;280.2;317.6;389.3;383.3;440.6;476.5;484.5
"Цена акции ао, руб";111.7;221.0;259.9;183.2;246.0;328.3;169.1;210.0;259.0;276.0;238.0;320.0;330.0;298.3;235.6;248.5;209.1;221.2
"Число акций ао, млн";"2 066";"2 066";"2 066";"2 066";"2 066";"2 066";"2 066";"2 066";"2 066";"1 998";"1 998";"1 998";"1 998";"1 998";"1 998";"1 998";"1 998";"1 998"
"Free Float, %";;;;;;;;;48.0%;;;;;;;;41.0%;41.0%
"Капитализация, млрд руб";230.7;456.6;537.0;378.5;508.3;678.4;349.3;433.9;535.2;551.6;475.6;639.4;659.4;596.0;470.8;496.5;417.9;441.9
"EV, млрд руб";230.7;456.6;725.9;598.9;718.3;852.3;571.4;748.5;796.1;813.8;708.4;919.6;977.0;985.4;854.1;937.1;894.4;926.4
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;110.7;151.9;165.9;59.3;30.4;6.45;-69.8;-85.3;-99.4;-133.2;-174.6;-224.3;-256.8;-226.8
"EPS, руб";0.00;0.00;20.3;20.5;14.3;38.6;24.8;24.0;23.5;28.0;33.0;27.1;30.7;31.8;16.3;27.3;15.8;7.54
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;27.7;24.7;22.7;35.8;27.4;27.7;31.1;27.0;18.6;22.4;-0.70;-26.9
"BV/акцию, руб";0.00;0.00;0.00;0.00;53.6;73.5;80.3;28.7;14.7;3.23;-34.9;-42.7;-49.7;-66.6;-87.4;-112.3;-128.5;-113.5
"Рентаб EBITDA, %";;;43.1%;41.4%;42.8%;43.9%;43.6%;40.7%;38.9%;40.6%;48.9%;44.2%;43.5%;42.9%;42.0%;38.7%;35.0%;34.6%
"Чистая рентаб, %";;;12.2%;12.1%;7.8%;20.0%;12.5%;11.5%;11.1%;12.6%;14.6%;11.4%;12.4%;11.9%;6.1%;9.0%;4.5%;1.9%
