date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,140.42,141.56,143.04,139.48,1346462364,
2025-02-11,144.12,140.44,144.2,138.24,1889120347,
2025-02-12,150.32,144.14,151.74,142.64,3259963262,
2025-02-13,151.6,151.02,158,148.12,3151388987,
2025-02-14,148.58,164,164,138.76,3906323013,
2025-02-17,156.92,150.2,157.1,150,2915541193,
2025-02-18,153.94,156.92,159.12,152.2,2470385476,
2025-02-19,155.9,154,156.62,152.5,1311251966,
2025-02-20,157.84,156.34,159.8,155.3,1808730764,
2025-02-21,160.4,157.6,162.78,156.64,2584868507,
2025-02-24,165.16,160.54,165.6,160.1,3250972524,
2025-02-25,164.02,165.48,168.2,162.74,2579848765,
2025-02-26,158,164.82,165.8,156.4,2388722846,
2025-02-27,156.72,158.3,159.5,153.74,1899531791,
2025-02-28,158.3,156.1,159.32,152.88,2075298177,
2025-03-01,160.26,158.82,161.18,158.42,60474520,
2025-03-02,158,159.76,160.18,157.6,46539056,
2025-03-03,156.58,157.78,158.14,152.54,1526601637,
2025-03-04,163.18,157,164.4,156.66,2267750684,
2025-03-05,158.72,163.16,164.34,158.24,1867653352,
2025-03-06,160.64,159.22,162.08,158.52,898389476,
2025-03-07,159.4,160.98,162.6,156.22,1253237032,
2025-03-10,159.06,159.86,160.9,157.72,704033640,
2025-03-11,158.22,159.06,160.5,157.02,1001304377,
2025-03-12,156.96,158.22,158.7,156,624284021,
2025-03-13,156.16,156.96,159.78,151.52,1621509653,
2025-03-14,155.56,156.02,156.74,153.12,1091914868,
2025-03-15,156.08,155.58,156.38,155.22,18270528,
2025-03-16,158.8,156.08,159.18,155.36,78321269,
2025-03-17,161.4,158.6,161.44,158.16,1167942023,
2025-03-18,158.08,161.7,163.4,157.28,1583494937,
2025-03-19,159.14,158.08,159.92,156.04,1008649123,
2025-03-20,159.36,159.14,160.66,156.9,1081235216,
2025-03-21,157.02,159.38,160.12,156.02,851368495,
2025-03-24,154.44,157.02,157.44,154,733705701,
2025-03-25,154.46,154.4,155.7,150.52,1079408042,
2025-03-26,149.1,154.58,155.5,148.76,1011077607,
2025-03-27,143.1,149,149.1,142.64,1834014783,
2025-03-28,142.26,142.88,144.78,140.06,1740771098,
2025-03-29,139.6,142.44,142.46,139.08,195934060,
2025-03-30,139.14,139.6,141,139.06,218108520,
2025-03-31,144.58,139.1,145.04,137.52,1856338017,
2025-04-01,140.24,144.46,145.84,139.74,1420702433,
2025-04-02,143.58,140.24,144.26,139.3,856805924,
2025-04-03,138.2,143.6,144.76,135.28,1578077882,
2025-04-04,129.28,139,139.2,129,2349661644,
2025-04-05,128.6,129,129,126.3,204011089,
2025-04-06,130.56,128.98,131.14,128.2,212453803,
2025-04-07,124.64,128.16,129.1,119.12,3644869067,
2025-04-08,121,125.26,126.46,120.8,1780050717,
2025-04-09,128.08,120.7,128.68,118.84,2717316101,
2025-04-10,127.44,128.6,129.88,126,1203555509,
2025-04-11,135.06,128,135.3,127.66,2289505312,
2025-04-12,137.3,136,137.38,136,146996492,
2025-04-13,136.92,137.1,137.48,136.58,63493160,
2025-04-14,131.34,136.8,137.08,130.42,1130316672,
2025-04-15,130.56,131.54,132.5,129.28,710098281,
2025-04-16,131.8,130.1,133.38,128.22,1054267563,
2025-04-17,134.28,131.62,134.5,131.6,934311064,
2025-04-18,130.84,133,133.42,129,1326612575,
2025-04-21,131.86,131.02,132.3,129.72,1229765823,
2025-04-22,136.02,132.1,137,131.56,1655893712,
2025-04-23,133.06,136.02,136.9,131.62,1106755049,
2025-04-24,133.36,133,135.5,132.56,960716977,
2025-04-25,135.76,133.56,136.32,133.42,847596639,
2025-04-26,136,136.48,137.84,135.78,194117144,
2025-04-27,136.94,136.46,137.16,136.04,47039131,
2025-04-28,134.04,137.1,137.44,133.62,1103776488,
2025-04-29,130.24,134.04,134.72,129.96,877766592,
2025-04-30,130.28,130.82,131.9,127.4,896389577,
2025-05-02,125.86,130.28,130.68,125.32,435110206,
2025-05-03,126.8,125.78,127.44,125.4,62781309,
2025-05-04,127.38,126.96,127.66,126.52,34020233,
