;2000Q4;2001Q4;2002Q4;2003Q4;2004Q4;2005Q4;2006Q4;2007Q4;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q4;2025Q1;2025Q2;LTM
"Дата отчета";;;;;;;;;;;;;;08.07.2018;30.06.2018;22.10.2020;22.10.2020;21.10.2020;30.06.2018;;;06.06.2022;30.06.2018;06.09.2021;06.09.2021;06.09.2021;30.06.2018;24.04.2018;05.08.2018;25.10.2018;07.02.2019;23.04.2019;26.07.2019;24.10.2019;12.02.2020;30.04.2020;23.07.2020;21.10.2020;11.02.2021;22.04.2021;22.07.2021;21.10.2021;03.02.2022;;;;15.04.2024;27.11.2023;27.11.2023;27.11.2023;15.04.2024;20.08.2025;29.08.2024;17.04.2025;20.08.2025;20.08.2025;20.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство стали, млн т";;;;;;;;;;;;;;;;;4.05;4.08;3.86;4.00;4.23;4.04;4.17;4.15;4.14;4.41;4.32;4.33;4.38;4.42;4.36;4.18;3.99;3.73;3.78;4.21;3.86;3.86;3.90;4.37;4.58;3.91;4.54;4.48;4.41;3.94;;;;;;;;;;;
"Продажи стали, млн т";;;;;;;;;;;;;;;;;4.01;4.12;3.74;4.13;3.94;4.22;3.64;3.68;4.15;4.24;4.36;4.15;4.38;4.42;4.64;4.61;4.27;4.02;4.17;4.50;4.35;4.44;4.22;3.91;4.33;4.15;4.22;4.56;4.01;4.34;;;;;;;;;;;
"Доля продаж на экспорт, %";;;;;;;;;;;;;;;;;;;;;;58.0%;58.0%;67.0%;60.0%;65.0%;60.0%;65.0%;67.0%;64.0%;69.0%;67.0%;59.0%;55.0%;54.0%;59.0%;63.0%;54.0%;58.0%;54.0%;57.0%;63.0%;60.0%;;;;;;;;;;;;;;
"Загрузка мощности, %";;;;;;;;;;;;;;;;;;;;;;96.0%;95.0%;;98.0%;100.0%;99.0%;98.0%;99.0%;99.0%;98.0%;96.0%;98.0%;94.0%;89.0%;93.0%;90.0%;97.0%;96.0%;95.0%;96.0%;87.0%;94.0%;96.0%;96.0%;93.0%;;;;;;;;;;;
"Себестоимость сляба, $/т";;;;;;;;;;;;;;;;;238;197;190;159;193;201;230;264;261;238;265;273;275;254;264;259;265;252;243;215;200;210;205;220;238;252;353;;;;;;;;;;;;;;
"Выручка, млрд руб";;;;;;;;;;;;;;;;140.4;112.8;126.9;107.4;117.6;123.2;143.8;123.9;126.8;145.4;150.6;164.1;158.9;192.7;204.9;200.4;189.7;180.6;166.3;145.8;163.4;156.9;164.1;182.6;213.1;307.0;335.0;174.2;;;;;216.3;289.4;;427.7;267.6;250.2;461.8;219.7;219.0;900.5
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;37.3;47.1;57.6;47.3;36.8;38.3;33.1;21.6;29.2;31.8;32.2;57.7;75.6;140.5;156.9;82.4;;;;;42.4;84.2;;101.3;57.6;75.2;73.4;31.2;23.5;128.2
"EBITDA, млрд руб";;;;;;;;;;;;;;;;37.3;32.3;33.6;21.2;21.7;30.3;43.5;32.7;36.4;34.5;38.2;45.8;46.2;56.7;66.5;56.3;46.0;47.5;42.2;30.2;39.5;42.0;42.6;66.7;86.7;152.0;168.0;127.5;;;;;;;;;;;;;;
"Чистая прибыль, млрд руб";;;;;;;;;;;;;;;;20.3;8.96;24.3;5.37;4.25;12.2;24.9;19.4;19.0;19.5;21.1;24.9;28.6;36.0;42.3;33.9;25.3;26.7;22.2;12.4;19.2;5.56;23.0;41.4;57.6;101.0;119.2;92.6;;;;;32.4;59.4;;117.2;44.3;37.3;40.2;21.6;23.3;85.1
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;41.9;25.6;54.1;50.9;56.0;31.9;36.4;45.6;41.0;40.0;43.3;40.1;51.4;92.4;102.5;147.1;;;;;;106.6;;158.8;;108.2;77.2;;52.2;129.4
"CAPEX, млрд руб";;;;;;;;;;;;;;;;7.32;8.12;9.13;11.7;9.03;10.5;6.72;11.0;5.65;6.29;19.2;3.34;7.45;7.85;12.0;16.6;11.8;14.4;20.4;23.3;19.2;15.8;25.3;20.8;17.3;26.3;20.0;25.9;;;;;;;;;;45.5;67.9;;51.0;118.9
"FCF, млрд руб";;;;;;;;;;;;;;;;20.2;11.5;23.4;5.63;20.5;10.4;30.6;11.5;12.2;18.6;31.5;11.8;34.1;17.8;41.8;33.4;44.8;16.7;16.1;20.9;22.0;21.9;17.6;18.0;33.6;64.0;81.8;59.5;;;;;;;;;;67.6;-32.5;;2.71;-29.8
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;;;;21.8;20.3;14.1;19.2;30.7;;34.3;31.4;36.2;;44.0;22.1;19.3;;19.2;28.5;38.5;43.5;46.2;81.6;79.9;0.025;;;;;;;;152.4;;;;;;
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;;;;;1,08;3,63;3,38;2,35;3,2;5,13;;5,73;5,24;6,04;;7,34;3,68;3,22;;3,21;4,75;6,43;7,25;7,71;13,62;13,33;0;;;;;;;;25,43;;;;;;
"Див доход, ао, %";;;;;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;;0.0%;0.0%;0.0%;0.0%;1.3%;4.4%;2.9%;2.1%;2.8%;3.9%;0.0%;4.0%;3.5%;3.4%;0.0%;4.3%;2.3%;2.3%;0.0%;2.6%;3.4%;3.7%;3.5%;3.2%;5.9%;6.1%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;14.2%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;;;;;;;;;;;0%;0%;0%;0%;0%;0%;87%;104%;74%;98%;146%;0%;120%;87%;86%;0%;174%;82%;87%;0%;100%;512%;168%;105%;80%;81%;67%;0%;;;;;0%;0%;;130%;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.9;23.2;23.2;23.5;22.7;26.1;30.9;34.1;;;;;35.9;40.3;;75.7;28.7;32.6;116.7;31.6;37.0;185.3
"Себестоимость, млрд руб";;;;;;;;;;;;;;;;82.8;57.8;87.0;107.4;87.1;81.2;89.3;81.5;82.6;70.5;103.5;139.8;103.2;125.0;126.4;127.6;131.5;122.5;113.3;105.0;113.3;102.1;108.8;103.0;114.9;140.0;147.5;57.7;;;;;138.0;164.9;;250.8;151.3;146.9;297.0;150.3;151.1;598.4
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.5;27.2;;29.5;56.6
