;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;;;;;;;;;;08.07.2018;30.06.2018;30.06.2018;30.06.2018;30.06.2018;07.02.2019;12.02.2020;11.02.2021;03.02.2022;15.04.2024;15.04.2024;17.04.2025;20.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство стали, млн т";8.20;7.90;8.60;8.90;9.10;8.50;9.10;9.10;10.5;10.6;11.5;12.0;14.9;15.4;15.9;16.1;16.6;17.1;17.5;15.7;15.8;17.4;;15.4;14.3;
"Пр-во продукции, млн т";;;;;;;;;;;;;;;;13.0;12.7;13.1;13.5;12.5;10.5;11.2;;13.5;14.8;
"Продажи стали, млн т";;;;;;;;;;;;;;;15.1;15.8;15.9;16.5;17.6;17.1;17.5;16.6;;;;
"Доля продаж на экспорт, %";;;;;;;;;;;;;;;;61.0%;60.0%;61.0%;66.0%;59.0%;59.0%;59.0%;;;;
"Загрузка мощности, %";;;;;;;;;;;;;;;96.0%;93.0%;96.0%;98.0%;99.0%;94.0%;94.0%;93.0%;;;;
"Выручка, млрд руб";;;;;;;;;;;;;;347.4;262.7;487.5;508.5;586.9;757.0;682.5;667.0;"1 029";900.8;933.4;979.6;900.5
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;19.5;62.0;84.4;97.9;118.6;189.3;129.7;150.8;455.5;201.7;227.9;206.2;128.2
"EBITDA, млрд руб";;;;;;;;;;;;;;48.0;86.5;118.7;128.1;154.8;225.7;165.8;190.8;;;273.3;256.9;
"Чистая прибыль, млрд руб";;;;;;;;;;;;;;6.02;23.7;58.6;61.3;84.7;140.1;86.6;89.2;370.4;166.1;209.0;121.8;85.1
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;42.8;71.6;112.1;113.5;111.3;172.5;169.9;164.4;393.3;253.0;210.9;185.4;129.4
