date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1132.6,1107.4,1157.6,1105.4,7078248661,
2025-02-11,1167.8,1130.4,1168,1130.4,6367984108,
2025-02-12,1277.2,1170,1278.2,1152.4,20693763724,
2025-02-13,1255.8,1278.2,1294.6,1224,11236873966,
2025-02-14,1218.8,1267.4,1275,1195,9514462900,
2025-02-17,1292.8,1227.8,1294.8,1227.8,6938199145,
2025-02-18,1254.6,1295,1300,1229,6662871121,
2025-02-19,1280,1251.6,1283.2,1235.6,3500842959,
2025-02-20,1308.4,1276.4,1322.8,1265.2,5841636287,
2025-02-21,1326.4,1314.8,1331,1300,4963356366,
2025-02-24,1342.8,1323,1345.6,1309.4,5804945987,
2025-02-25,1327.8,1338.4,1350,1315.2,4277868916,
2025-02-26,1266.8,1333,1336.6,1263.2,5576798867,
2025-02-27,1254.4,1262.4,1294.4,1231.2,6269580994,
2025-02-28,1285.2,1237,1291,1221,6678321230,
2025-03-01,1283.2,1290.8,1292.8,1280.6,101935821,
2025-03-02,1266.6,1282,1286,1261.6,210600550,
2025-03-03,1255.2,1270,1274.6,1221.2,5829838494,
2025-03-04,1319,1253.6,1323,1253.6,5022836879,
2025-03-05,1286.4,1322,1341.6,1282.8,5867286690,
2025-03-06,1269.6,1292,1306.6,1257,3818903127,
2025-03-07,1287,1269.6,1312,1261.4,6011969471,
2025-03-10,1285,1286.4,1305.2,1275,2475360158,
2025-03-11,1265.8,1287.4,1289.2,1252.6,2789563711,
2025-03-12,1255,1267,1274,1237,3007215126,
2025-03-13,1263.8,1255,1295,1202.4,6616251612,
2025-03-14,1276.2,1254,1281.2,1240,4054166635,
2025-03-15,1282.6,1276.2,1290,1276,184087295,
2025-03-16,1296,1282.2,1299.4,1282.2,307496034,
2025-03-17,1290,1295.8,1309.6,1262.4,4032771776,
2025-03-18,1302.2,1291,1343.8,1288,10276761234,
2025-03-19,1322.2,1300.8,1326.8,1293,3607500073,
2025-03-20,1316,1322.2,1330,1294,4857238103,
2025-03-21,1305.8,1312.8,1324,1296,3114877034,
2025-03-24,1283.4,1308,1308,1283,2827926093,
2025-03-25,1315.8,1283.8,1323.4,1265.4,5432838332,
2025-03-26,1286.8,1319.8,1322.2,1286.6,2473148502,
2025-03-27,1277.6,1290,1295,1272,3229729989,
2025-03-28,1240.2,1278,1284.2,1227.6,3971157554,
2025-03-29,1209.6,1235,1238.6,1209.6,520044077,
2025-03-30,1209.6,1209.6,1212.2,1209.6,81762595,
2025-03-31,1216.6,1204.8,1251.6,1185,4973488456,
2025-04-01,1160.4,1217.6,1268.6,1157,8348124114,
2025-04-02,1225.8,1162,1228.4,1162,7415355196,
2025-04-03,1223.8,1225.8,1258.2,1182.8,7400124208,
2025-04-04,1145.4,1232,1243.4,1142.4,7785454445,
2025-04-05,1157,1138.8,1159.8,1125,782923828,
2025-04-06,1175.4,1158.8,1178,1151.2,690687702,
2025-04-07,1112.6,1149,1153,1075.6,8704278377,
2025-04-08,1048.8,1121.8,1128,1043.6,5961385084,
2025-04-09,1102,1044,1105,977.2,11553335763,
2025-04-10,1068.4,1107,1108,1060.4,3657404905,
2025-04-11,1115,1063.2,1118.4,1062.2,5105751377,
2025-04-12,1139.6,1118.6,1139.8,1117.4,602701734,
2025-04-13,1139.8,1139.6,1139.8,1136.4,148714676,
2025-04-14,1115.6,1138.2,1145,1101,3719058603,
2025-04-15,1159,1115.6,1165,1098,4916198820,
2025-04-16,1190.2,1154,1197.8,1140,6302774777,
2025-04-17,1219.8,1190,1223.4,1169,8359911251,
2025-04-18,1193,1205.4,1207.4,1171.8,5339211432,
2025-04-21,1237,1202.2,1242.4,1198.2,4658436134,
2025-04-22,1244.8,1238.8,1264,1230,4462178749,
2025-04-23,1235.4,1248,1254.2,1198.4,4184108966,
2025-04-24,1249,1239,1258.4,1233.6,2328887892,
