;2008Q4;2009Q4;2010Q4;2011Q3;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q4;2025Q2;2025Q4;LTM
"Дата отчета";;;;;;;;;;;;;30.06.2018;;;30.06.2018;31.10.2019;31.10.2019;31.10.2019;08.07.2018;31.10.2019;31.10.2019;11.09.2018;30.03.2020;11.09.2018;25.04.2018;11.09.2018;30.05.2018;25.04.2018;25.07.2018;24.10.2018;20.02.2019;25.04.2019;24.07.2019;30.10.2019;19.02.2020;29.04.2020;29.07.2020;28.10.2020;17.02.2021;28.04.2021;28.07.2021;27.10.2021;16.02.2022;;;;09.02.2024;26.07.2023;26.07.2023;;09.02.2024;27.08.2024;24.07.2024;18.02.2025;30.07.2025;11.02.2026;11.02.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;;;;;;;;;;;;;;;16.9;;;1.24;1.16;;1.22;1.07;1.21;2.92;1.23;2.94;2.93;2.91;3.03;2.99;3.04;3.04;3.09;3.05;2.92;3.02;3.25;3.13;3.11;3.01;3.05;2.95;2.85;2.96;3.14;3.08;3.02;3.00;6.35;3.46;3.37;6.96;3.40;10.7;14.1
"Добыча газа, млрд м3";;;;12.0;12.9;13.0;12.5;11.6;13.4;13.7;12.8;14.3;16.1;15.5;15.2;16.3;16.0;14.5;17.1;17.8;17.2;16.5;16.2;16.2;15.7;15.3;15.0;17.4;16.5;17.3;16.5;18.5;18.7;18.9;18.3;18.8;19.1;18.5;19.1;20.7;20.2;20.0;19.0;20.8;20.6;20.3;19.9;21.3;20.9;20.4;19.8;42.3;21.1;20.6;42.4;21.2;63.4;84.6
"Экспорт газа, млрд м3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;3.6;3.0;2.7;2.5;2.5;2.2;1.8;1.9;2.4;1.7;2.0;1.9;2.2;1.9;2.5;3.0;3.2;2.1;;3.1;;;;;
"Цена газа на экспорт, $/1000 м3";;;;;;;;;;;;;;;;;;;;;;;;;;;;;77;72;;;85;83;;;;;;;;;;;;;;;;;;;;;;;;
"Выручка, млрд руб";;;;;;;;;;;;;;;;;113.7;111.6;117.4;132.0;139.4;126.5;126.5;141.5;154.6;128.8;130.0;169.8;178.5;194.8;217.9;240.5;231.2;215.8;189.2;216.1;184.6;143.9;163.8;219.5;244.6;264.0;276.7;371.4;;;;;328.2;314.8;;728.5;389.1;363.3;793.0;804.3;641.7;"1 446"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.79;13.6;38.6;56.0;65.1;69.5;71.3;73.1;;;;;66.7;76.3;;224.1;92.6;100.1;132.1;155.0;126.0;281.0
"EBITDA, млрд руб";;;;;;;;;;;;;;;;;54.8;49.5;52.6;56.8;62.1;59.5;57.7;63.1;68.2;56.1;59.3;72.9;76.3;101.3;118.1;119.6;117.9;115.8;104.5;122.9;100.7;71.3;93.9;126.2;143.8;163.0;181.8;259.7;;;;;213.3;202.5;;474.0;;480.7;527.0;471.8;387.5;859.3
"Чистая прибыль, млрд руб";;;;;;;;;;;;;;;;;31.1;41.9;-12.4;13.8;36.9;29.6;31.2;34.8;44.3;33.8;34.9;43.6;46.9;54.3;65.5;66.2;65.7;64.3;48.5;66.4;53.5;21.2;35.7;58.6;75.8;89.0;104.9;151.6;;;;;92.9;62.7;;307.4;150.9;191.8;157.5;225.7;-42.7;183.0
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;;;;36.5;;;;37.7;;43.1;32.0;45.9;42.7;381.8;69.2;370.0;44.5;-30.7;41.6;13.2;43.8;65.2;99.0;112.9;155.9;;;;;;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;59.0;4.36;49.3;59.2;73.3;151.5;93.8;100.9;;;;;89.1;95.1;;249.1;;182.4;174.7;195.7;307.6;503.3
