;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;;;;30.06.2018;30.06.2018;08.07.2018;30.03.2020;30.05.2018;20.02.2019;19.02.2020;17.02.2021;16.02.2022;09.02.2024;09.02.2024;18.02.2025;11.02.2026;11.02.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;3.00;3.60;4.10;4.30;6.00;6.00;9.10;12.4;11.8;11.8;12.1;12.2;12.3;11.9;12.4;13.8;14.1;14.1
"Добыча газа, млрд м3";;32.8;37.8;52.9;56.5;61.2;62.1;67.9;67.7;63.4;68.8;74.7;77.4;79.9;82.1;82.4;84.1;84.6;84.6
"Экспорт газа, млрд м3";;;;;;;0.0;0.0;0.0;0.1;6.1;12.8;8.9;7.9;8.5;;;;
"Выручка, млрд руб";79.4;90.0;117.2;175.3;211.0;298.2;357.6;475.3;537.5;583.2;831.8;852.2;711.8;"1 157";;"1 372";"1 546";"1 446";"1 446"
"Операционная прибыль, млрд руб";;;;;;;127.8;140.7;225.3;163.8;227.2;869.6;113.0;279.0;;367.1;324.8;281.0;281.0
"EBITDA, млрд руб";36.8;39.5;56.2;85.4;97.3;121.9;140.4;214.2;242.4;256.5;415.3;461.2;392.0;748.3;;889.8;"1 008";859.3;859.3
"Чистая прибыль, млрд руб";22.9;25.7;40.3;119.3;69.4;109.9;37.3;74.4;132.5;156.7;232.9;245.0;169.0;421.3;;463.0;493.5;183.0;183.0
"Чистая прибыль н/с, млрд руб";;;;;;;37.3;74.4;257.8;156.4;163.7;865.5;67.8;432.9;;529.1;553.4;206.5;
"Операционный денежный поток, млрд руб";;;;;;;111.2;132.9;173.8;180.4;216.3;307.4;171.9;419.5;;433.3;357.1;503.3;503.3
"CAPEX, млрд руб";31.8;17.9;26.1;38.0;43.6;59.3;62.0;50.6;28.2;24.8;94.0;162.5;204.6;191.3;;223.8;193.0;150.1;150.1
"FCF, млрд руб";;;;40.7;32.3;29.3;49.2;82.3;139.4;150.5;122.3;144.9;-32.7;228.2;;209.5;164.1;353.2;353.2
"Див.выплата, млрд руб";;;12.1;18.2;20.8;24.0;31.3;41.0;42.2;45.4;79.1;98.2;108.0;216.9;320.5;238.6;107.8;;107.8
"Дивиденд, руб/акцию";2,52;2,75;4;6;6,86;7,89;10,3;13,5;13,9;14,95;26,06;32,33;35,56;71,44;105,58;78,59;35,5;;35,5
"Див доход, ао, %";;;;1.5%;2.0%;2.0%;2.4%;2.3%;1.8%;2.2%;2.3%;2.6%;2.8%;4.2%;9.8%;5.3%;3.6%;0.0%;3.1%
"Дивиденды/прибыль, %";0%;0%;30%;15%;30%;22%;84%;55%;32%;29%;34%;40%;64%;51%;;52%;22%;0%;59%
"Опер. расходы, млрд руб";47.0;56.2;68.6;96.8;125.8;192.8;236.5;335.0;385.5;419.9;603.9;640.5;552.0;875.2;;"1 056";"1 176";"1 132";"1 132"
"Амортизация, млрд руб";;;;;;;;;;;;;;;;75.3;91.4;107.2;107.2
"Расх на персонал, млрд руб";;5.30;6.45;;;;12.0;15.6;19.9;20.1;25.6;29.2;31.9;43.2;;62.9;67.3;82.3;
"Процентные расходы, млрд руб";;;;;;;5.72;8.79;11.4;6.53;4.75;4.49;6.34;5.97;;2.43;;;
"Активы, млрд руб";;;;;;;699.1;880.0;963.4;"1 044";"1 216";"2 013";"2 059";"2 458";;"3 219";"3 740";"3 589";"3 589"
"Чистые активы, млрд руб";;;;;;370.2;387.1;428.2;657.7;775.7;868.2;"1 647";"1 620";"1 894";;"2 594";"2 837";"2 829";"2 829"
"Долг, млрд руб";;;;;132.5;151.5;246.0;358.7;213.7;155.8;172.1;152.1;222.1;180.0;;166.9;320.0;298.7;298.7
"Наличность, млрд руб";;;;;18.4;0.320;41.3;29.2;48.3;65.9;69.3;53.2;119.7;45.9;;157.7;178.4;337.9;337.9
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;114.1;151.2;204.7;329.5;165.4;89.8;102.8;98.9;102.4;134.1;0.00;9.24;141.6;-39.2;-39.2
"Цена акции ао, руб";;;;390.0;345.0;399.0;433.0;591.0;792.0;677.7;"1 132";"1 262";"1 264";"1 720";"1 073";"1 469";988.0;"1 188";"1 158"
"Число акций ао, млн";;;;"3 036";"3 036";"3 036";"3 036";"3 036";"3 036";"3 036";"3 036";"3 036";"3 036";"3 036";"3 036";"3 036";"3 036";"3 036";"3 036"
"Free Float, %";;;;;;;;;;;;;;;;;21.0%;21.0%;21.0%
"Капитализация, млрд руб";0.00;0.00;0.00;"1 184";"1 048";"1 211";"1 315";"1 794";"2 405";"2 058";"3 437";"3 832";"3 837";"5 222";"3 258";"4 460";"3 000";"3 607";"3 516"
"EV, млрд руб";0.00;0.00;0.00;"1 184";"1 162";"1 363";"1 519";"2 124";"2 570";"2 148";"3 540";"3 931";"3 939";"5 357";"3 258";"4 470";"3 141";"3 568";"3 477"
"Баланс стоимость, млрд руб";0.00;0.00;0.00;0.00;0.00;370.2;387.1;428.2;657.7;775.7;868.2;"1 647";"1 620";"1 894";0.00;"2 594";"2 837";"2 829";"2 829"
"EPS, руб";;;;39.3;22.9;36.2;12.3;24.5;43.6;51.6;76.7;80.7;55.7;138.8;0.00;152.5;162.5;60.3;60.3
"FCF/акцию, руб";;;;13.4;10.6;9.64;16.2;27.1;45.9;49.6;40.3;47.7;-10.8;75.2;0.00;69.0;54.0;116.3;116.3
"BV/акцию, руб";;;;0.00;0.00;121.9;127.5;141.0;216.6;255.5;285.9;542.4;533.5;623.8;0.00;854.2;934.4;931.7;931.7
"Рентаб EBITDA, %";46.4%;43.9%;48.0%;48.7%;46.1%;40.9%;39.2%;45.1%;45.1%;44.0%;49.9%;54.1%;55.1%;64.7%;;64.9%;65.2%;59.4%;59.4%
"Чистая рентаб, %";28.9%;28.6%;34.4%;68.1%;32.9%;36.9%;10.4%;15.7%;24.7%;26.9%;28.0%;28.7%;23.7%;36.4%;;33.8%;31.9%;12.7%;12.7%
"Доходность FCF, %";;;;3.4%;3.1%;2.4%;3.7%;4.6%;5.8%;7.3%;3.6%;3.8%;-0.9%;4.4%;0.0%;4.7%;5.5%;9.8%;10.0%
"ROE, %";;;;;;29.7%;9.6%;17.4%;20.1%;20.2%;26.8%;14.9%;10.4%;22.2%;;17.9%;17.4%;6.5%;6.5%
"ROA, %";;;;;;;5.3%;8.5%;13.8%;15.0%;19.1%;12.2%;8.2%;17.1%;;14.4%;13.2%;5.1%;5.1%
P/E;0.00;0.00;0.00;9.93;15.1;11.0;35.3;24.1;18.1;13.1;14.8;15.6;22.7;12.4;;9.63;6.08;19.7;19.2
P/FCF;;;;29.1;32.5;41.4;26.7;21.8;17.3;13.7;28.1;26.4;-117.4;22.9;;21.3;18.3;10.2;9.95
P/S;0.00;0.00;0.00;6.76;4.97;4.06;3.68;3.78;4.47;3.53;4.13;4.50;5.39;4.51;;3.25;1.94;2.49;2.43
P/BV;;;;;;3.27;3.40;4.19;3.66;2.65;3.96;2.33;2.37;2.76;;1.72;1.06;1.28;1.24
EV/EBITDA;0.00;0.00;0.00;13.9;11.9;11.2;10.8;9.92;10.6;8.37;8.52;8.52;10.0;7.16;;5.02;3.12;4.15;4.05
Долг/EBITDA;0.00;0.00;0.00;0.00;1.17;1.24;1.46;1.54;0.68;0.35;0.25;0.21;0.26;0.18;;0.01;0.14;-0.05;-0.05
"Персонал, чел";;;;"4 767";"5 440";"5 997";"6 749";"7 265";"7 515";"8 145";"13 694";"15 445";"16 821";"18 404";"19 570";"20 905";"22 036";;
"Производительность труда, млн руб/чел/год";;;;36.8;38.8;49.7;53.0;65.4;71.5;71.6;60.7;55.2;42.3;62.9;0.00;65.6;70.2;;
"Расходы/чел/год, тыс.р";;;;0.00;0.00;0.00;"1 780";"2 152";"2 646";"2 467";"1 869";"1 889";"1 895";"2 345";0.00;"3 008";"3 055";;
"R&D/CAPEX, %";0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";40%;20%;22%;22%;21%;20%;17%;11%;5%;4%;11%;19%;29%;17%;;16%;12%;10%;10%
"IR рейтинг";;;;;;;;;;;;;;;;;2.9;2.9;2.9
"Качество фин.отчетности";;;;;;;;;;;;;;;;;3;3;3
"Презентации для инвесторов";;;;;;;;;;;;;;;;;1;1;1
"Присутствие на смартлабе";;;;;;;;;;;;;;;;;2;2;2
"Годовой отчет";;;;;;;;;;;;;;;;;5;5;5
"Сайт для инвесторов";;;;;;;;;;;;;;;;;4;4;4
"Календарь инвесторов";;;;;;;;;;;;;;;;;2;2;2
"Обратная связь";;;;;;;;;;;;;;;;;3;3;3
