date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,3615,3600,3696.5,3580.5,1786256677,
2025-02-11,3717.5,3642,3732.5,3605,1621362940,
2025-02-12,4002,3746,4048,3720.5,6077335691,
2025-02-13,3914.5,4050,4063.5,3880.5,1908691265,
2025-02-14,3864.5,3970,4029.5,3777,2093820866,
2025-02-17,4102,3966.5,4110,3948,2480727368,
2025-02-18,3915,4063,4070,3846,2211908341,
2025-02-19,4032.5,3958,4073,3854.5,1582520110,
2025-02-20,3989.5,4048,4053,3940.5,1812321991,
2025-02-21,4081,4019,4088,3977,2034538136,
2025-02-24,4110,4100,4180,4096.5,2664157463,
2025-02-25,4191.5,4140,4210,4133.5,1880783466,
2025-02-26,4094,4200,4254,4032,3797106357,
2025-02-27,3962.5,4090,4147,3929.5,4339348796,
2025-02-28,3949.5,3976,4050,3700,4984947087,
2025-03-03,3915.5,3871.5,3934.5,3825,1339718701,
2025-03-04,4065,3939,4107,3939,1800864758,
2025-03-05,4030,4029,4095,4003,1159310354,
2025-03-06,4019,4033,4060,3975,745692908,
2025-03-07,4011,4047.5,4085,3970.5,864451408,
2025-03-10,3964.5,4015,4038.5,3944,541162726,
2025-03-11,4024.5,3949,4067.5,3925.5,988972547,
2025-03-12,3988.5,4019.5,4033,3963,462155319,
2025-03-13,3950,3950,4024.5,3825,1662128228,
2025-03-14,3928,3930,3989,3894,682178284,
2025-03-17,4026,4000,4040.5,3968,733890181,
2025-03-18,3975.5,4033.5,4043.5,3970,773456156,
2025-03-19,3995,3980,4025,3907,642368960,
2025-03-20,3994,3998,4024,3956.5,378010352,
2025-03-21,3968,3989.5,4015.5,3954,306910260,
2025-03-24,3898,3956,3969.5,3885,434703051,
2025-03-25,3920,3941,3950,3850,490654026,
2025-03-26,3875,3918,3935,3870,330765350,
2025-03-27,3762,3860,3868,3750,880363282,
2025-03-28,3538.5,3760.5,3794.5,3536,1426792203,
2025-03-31,3773.5,3584.5,3779,3569.5,1279227558,
2025-04-01,3651,3802,3894.5,3629,2127281201,
2025-04-02,3716.5,3672,3780,3660.5,1000725125,
2025-04-03,3721,3720,3768,3600,685928517,
2025-04-04,3486.5,3721,3760,3470,1203600143,
2025-04-07,3470,3350,3526.5,3316,1406339947,
2025-04-08,3387.5,3508.5,3568.5,3333,1018598077,
2025-04-09,3579,3387.5,3599,3206,1646816915,
