;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;;;;;;;;19.11.2020;23.11.2020;23.11.2020;23.11.2020;19.11.2020;23.11.2020;23.11.2020;23.11.2020;30.03.2021;18.05.2021;17.08.2021;16.11.2021;04.05.2022;27.05.2022;23.08.2022;15.11.2022;06.04.2023;24.05.2023;23.08.2023;16.11.2023;14.02.2024;25.04.2024;05.08.2024;06.11.2024;27.02.2025;29.04.2025;07.08.2025;10.11.2025;10.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Торговый оборот GMV, млрд руб";;;;;;;;;;;;;;;30.7;31.6;45.8;44.2;75.8;74.2;89.0;108.3;176.0;177.5;170.7;188.1;296.0;303.1;372.6;450.8;625.5;570.2;633.2;718.3;953.3;837.8;958.4;"1 102.2";"3 851.7"
"Доля маркетплейса в продажах, %";;;;;;;;;;;;;;;;33%;47%;51%;52%;58%;62%;67%;67%;70%;76%;78%;78%;80%;83%;83%;;85%;86%;86%;85%;84%;84%;84%;84%
"Количество заказов, млн";;;;;;;;;;;;;;;;13.0;15.0;17.0;30.0;34.0;41.0;56.2;92.0;93.0;90.0;107.5;174.9;179.3;208.7;251.1;326.6;305.0;334.8;371.5;459.7;440.9;539.4;667.8;"2 107.8"
"Выручка, млрд руб";;;;;;;;;;;;12.2;12.7;14.2;20.9;19.9;24.2;22.4;37.8;33.4;37.0;41.5;66.3;63.6;58.5;61.4;93.6;93.3;94.2;109.0;127.9;122.9;122.5;153.7;216.6;202.9;227.6;258.9;906.0
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;-5.52;-2.95;-3.33;-5.52;-7.34;-12.3;-16.9;-22.3;-15.7;-8.00;-16.8;-3.68;-0.117;-8.63;-13.6;-10.5;-1.60;-13.1;-0.920;6.12;11.3;20.4;17.8;55.6
"EBITDA, млрд руб";;;;;;;;;;;;-3.30;-3.64;-3.63;-5.26;-4.49;-1.80;-1.86;-3.56;-4.86;-9.13;-11.3;-15.9;-8.95;0.190;1.61;3.93;7.97;0.062;-3.90;0.078;9.30;-0.660;13.0;18.5;32.4;39.2;41.5;131.7
"Чистая прибыль, млрд руб";;;;;;;;;;;;-4.14;-4.33;-4.57;-6.33;-5.69;-3.29;-3.88;-9.40;-6.70;-15.2;-14.0;-20.9;-19.1;-7.20;-20.7;-11.2;10.7;-13.1;-22.1;-18.1;-13.2;-28.0;-7.10;-11.1;-7.89;0.359;2.94;-15.7
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0.700;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;-2.41;-2.11;0.443;10.6;-12.1;-7.67;-9.10;15.3;-29.8;-5.36;7.84;8.54;-1.75;10.4;23.6;55.4;-1.000;41.8;75.3;170.2;20.6;31.0;57.9;279.7
"CAPEX, млрд руб";;;;;;;;;;;;;;;;1.10;2.00;1.70;1.96;1.96;3.93;4.60;9.14;15.4;7.30;4.71;8.18;4.46;7.04;8.90;8.80;11.3;17.4;14.6;27.1;13.4;12.6;14.6;67.7
"FCF, млрд руб";;;;;;;;;;;;-3.85;-8.30;-3.05;-4.74;-3.99;-4.50;-1.87;7.75;-14.8;-12.6;-14.6;4.20;-45.9;-14.7;1.40;-1.48;-4.33;-12.5;-18.6;-29.1;-7.14;-27.4;-21.3;-28.5;4.34;13.1;58.1;47.0
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.1;31.1
"Дивиденд, руб/акцию";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143,55;143,55
"Див доход, ао, %";;;;;;;;;;;;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;3.5%;3.2%
"Дивиденды/прибыль, %";;;;;;;;;;;;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;0%;"1 057%";-197%
"Опер. расходы, млрд руб";;;;;;;;;;;;16.1;16.9;18.5;27.1;25.5;27.2;25.8;43.3;18.3;24.2;32.2;49.3;46.4;17.4;17.4;16.9;15.7;18.7;19.3;23.5;23.9;28.7;28.0;35.1;35.7;37.2;42.2;150.2
"Себестоимость, млрд руб";;;;;;;;;;;;10.1;10.6;11.1;17.0;15.3;16.5;14.9;26.1;21.8;25.3;26.2;39.3;61.8;61.8;;;77.7;84.1;103.2;114.9;100.7;107.0;126.6;181.5;155.7;170.1;198.8;706.1
"Амортизация, млрд руб";;;;;;;;;;;;;;;;1.0;1.1;1.4;1.6;1.7;2.1;2.7;3.3;4.0;5.1;5.2;5.5;5.9;6.5;7.6;8.1;8.9;10.0;11.5;13.0;14.2;15.0;30.4;72.6
"Расх на персонал, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0;44.8;50.5;139.3
"Процентные расходы, млрд руб";;;;;;;;;;;;;;;;0.270;;;1.30;1.30;0.600;1.36;0.990;2.12;1.96;1.93;2.34;2.81;3.28;4.10;7.51;5.74;4.94;14.2;31.2;7.61;6.06;4.17;49.0
"Активы, млрд руб";;;;;;;;;;;18.1;;;;38.7;;;;154.6;196.4;193.0;206.5;241.3;228.0;197.1;213.6;284.8;289.8;297.5;362.4;476.0;515.0;544.0;694.0;890.0;907.1;"1 067";"1 249";"1 249"
"Чистые активы, млрд руб";;;;;;;;;;;3.24;;;;0.817;;;;79.2;73.3;59.0;48.3;30.6;14.3;10.1;-8.16;-16.7;-5.73;-16.7;-50.5;-66.6;-77.7;-103.0;-101.4;-132.5;-140.7;-140.3;-137.4;-137.4
"Долг, млрд руб";;;;;;;;;;;0.000;;;;16.7;;;;24.9;51.7;50.2;60.3;62.1;76.6;52.2;60.6;94.1;80.4;61.8;65.2;641.8;237.2;374.4;455.3;641.9;654.4;791.0;914.0;914.0
"Наличность, млрд руб";;;;;;;;;;;6.00;;;;3.00;;;5.13;103.7;140.6;123.0;116.5;126.0;92.5;56.7;65.6;90.5;82.5;74.6;92.7;220.1;216.6;222.7;300.2;457.9;455.6;601.0;736.0;736.0
"Чистый долг, млрд руб";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-6.00;0.00;0.00;0.00;13.7;0.00;0.00;-5.13;-78.8;-88.9;-72.8;-56.2;-63.9;-15.9;-4.56;-5.03;3.65;-2.04;-12.8;-27.5;421.7;20.6;151.7;155.1;184.0;198.8;190.0;178.0;178.0
"Цена акции ао, руб";;;;;;;;;;;;;;;"2 090";"2 090";"2 090";"2 090";"3 297";"4 240";"4 335";"3 615";"2 279";"1 425";844.5;"1 017";"1 405";"1 768";"1 967";"2 635";"2 832";"3 765";"4 298";"3 341";"3 204";"3 773";"3 964";"4 136";"4 491"
