;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;;19.11.2020;19.11.2020;30.03.2021;04.05.2022;06.04.2023;14.02.2024;27.02.2025;26.02.2026;26.02.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Торговый оборот GMV, млрд руб";;;;;80.8;197.4;448.3;832.2;"1 752.0";"2 875.0";"4 163.0";"4 163.0"
"Доля маркетплейса в продажах, %";;;;;17%;48%;65%;76%;85%;85%;84%;84%
"Количество заказов, млн";;;;;32.0;74.0;223.3;465.4;965.7;"1 471.0";"2 481.0";"2 481.0"
"Выручка, млрд руб";13.7;16.5;24.0;37.2;60.1;104.4;178.2;277.1;424.3;615.7;998.0;998.0
"Операционная прибыль, млрд руб";;;;-5.87;-18.6;-17.3;-58.9;-44.1;-32.8;-9.50;71.4;71.4
"EBITDA, млрд руб";;;;-5.30;-15.8;-11.7;-41.2;-3.22;4.21;40.1;156.4;156.4
"Чистая прибыль, млрд руб";;;;-5.66;-19.4;-22.3;-56.8;-58.2;-42.7;-59.4;-0.938;-0.938
"Операционный денежный поток, млрд руб";;;;-3.60;-14.3;6.57;-13.6;-18.8;87.7;286.3;503.6;503.6
"CAPEX, млрд руб";;;;2.57;4.77;6.84;19.3;35.6;29.2;70.4;;40.6
"FCF, млрд руб";;;;-6.20;-19.9;-2.60;-37.7;-60.7;-64.4;-84.3;;75.5
"Див.выплата, млрд руб";;;;;;;;;;;;31.1
"Дивиденд, руб/акцию";;;;;;;;;;;;143,55
"Див доход, ао, %";;;;;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;3.0%
"Дивиденды/прибыль, %";;;;0%;0%;0%;0%;0%;0%;0%;0%;"-3 311%"
"Опер. расходы, млрд руб";;;;15.4;29.9;48.8;48.2;76.8;77.2;115.7;158.7;158.7
"Себестоимость, млрд руб";;;;27.7;48.8;72.9;112.5;244.4;379.9;515.8;767.9;767.9
"Амортизация, млрд руб";;;;;;;9.9;19.8;28.1;43.3;;59.6
"Расх на персонал, млрд руб";;;;6.84;11.1;15.8;33.9;58.7;79.5;147.2;;139.3
"Процентные расходы, млрд руб";;;;0.058;0.876;1.36;4.49;8.35;17.7;56.1;;17.8
"Активы, млрд руб";;;;18.1;38.7;154.6;241.3;284.8;476.0;890.0;;
"Чистые активы, млрд руб";;;;3.24;0.817;79.2;30.6;-16.7;-66.6;-132.5;;
"Долг, млрд руб";;;;0.000;16.7;24.9;62.1;94.1;641.8;641.9;;
"Наличность, млрд руб";;;;6.00;3.00;103.7;126.0;90.5;220.1;457.9;;
"Чистый долг, млрд руб";0.00;0.00;0.00;-6.00;13.7;-78.8;-63.9;3.65;421.7;184.0;0.00;0
"Цена акции ао, руб";;;;;"2 090";"3 297";"2 279";"1 405";"2 832";"3 204";"4 495";"4 749"
"Число акций ао, млн";;;;;137.5;203.7;203.7;203.7;216.4;216.4;216.4;216.4
"Free Float, %";;;;;;18.2%;;;;;33.0%;33.0%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;287.3;671.6;464.3;286.2;612.9;693.3;972.8;"1 028"
"EV, млрд руб";0.00;0.00;0.00;-6.00;301.0;592.8;400.4;289.9;"1 035";877.3;972.8;"1 028"
"Баланс стоимость, млрд руб";0.00;0.00;0.00;3.24;0.69;78.9;29.4;-17.3;-67.2;-133.2;0.00;0
"EPS, руб";;;;;-140.8;-109.3;-278.8;-285.6;-197.2;-274.7;-4.33;-4.33
"FCF/акцию, руб";;;;;-145.1;-12.8;-185.0;-297.9;-297.7;-389.5;0.00;348.9
"BV/акцию, руб";;;;;5.00;387.4;144.5;-85.0;-310.5;-615.5;0.00;0
"Рентаб EBITDA, %";0.0%;0.0%;0.0%;-14.2%;-26.3%;-11.2%;-23.1%;-1.2%;1.0%;6.5%;15.7%;15.7%
"Чистая рентаб, %";0.0%;0.0%;0.0%;-15.2%;-32.2%;-21.3%;-31.9%;-21.0%;-10.1%;-9.7%;-0.1%;-0.1%
"Доходность FCF, %";;;;;-6.9%;-0.4%;-8.1%;-21.2%;-10.5%;-12.2%;0.0%;7.3%
"ROE, %";;;;-174.9%;"-2 370.0%";-28.1%;-185.6%;349.5%;64.1%;44.9%;;
"ROA, %";;;;-31.3%;-50.0%;-14.4%;-23.5%;-20.4%;-9.0%;-6.7%;;
P/E;;;;0.00;-14.8;-30.2;-8.17;-4.92;-14.4;-11.7;"-1 037";"-1 096"
P/FCF;;;;0.00;-14.4;-258.3;-12.3;-4.72;-9.51;-8.22;;13.6
P/S;0.00;0.00;0.00;0.00;4.78;6.44;2.61;1.03;1.44;1.13;0.97;1.03
P/BV;;;;0.00;418.2;8.51;15.8;-16.5;-9.12;-5.20;;
EV/EBITDA;;;;1.13;-19.0;-50.7;-9.72;-90.0;245.7;21.9;6.22;6.57
Долг/EBITDA;;;;1.13;-0.87;6.73;1.55;-1.13;100.2;4.59;0.00;0
"Персонал, чел";;;;;"13 432";"14 834";"45 854";"49 889";"60 000";"86 000";;
"Производительность труда, млн руб/чел/год";;;;;4.47;7.03;3.89;5.55;7.07;7.16;;
"Расходы/чел/год, тыс.р";;;;;825.4;"1 063";740.2;"1 177";"1 325";"1 712";;
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
"CAPEX/Выручка, %";0%;0%;0%;7%;8%;7%;11%;13%;7%;11%;0%;4%
"IR рейтинг";;3.0;3.0;;;;3.0;;4.6;4.6;4.6;4.6
"Качество фин.отчетности";;4;4;;;;4;;5;5;5;5
"Презентации для инвесторов";;4;4;;;;4;;5;5;5;5
"Присутствие на смартлабе";;1;1;;;;1;;3;3;3;3
"Годовой отчет";;3;3;;;;3;;5;5;5;5
"Сайт для инвесторов";;3;3;;;;3;;5;5;5;5
"Календарь инвесторов";;5;5;;;;5;;4;4;4;4
"Обратная связь";;1;1;;;;1;;5;5;5;5
