date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,7155,7168,7219,7121,742693688,
2025-02-11,7119,7155,7191,7024,1199530895,
2025-02-12,6971,7115,7133,6741,4139247072,
2025-02-13,6868,6986,7240,6668,3834855257,
2025-02-14,6842,7200,7200,6362,2446397673,
2025-02-17,7054,6842,7055,6817,1408911276,
2025-02-18,6990,7055,7068,6921,1139637033,
2025-02-19,6945,6987,7018,6845,972484399,
2025-02-20,6893,6950,6970,6855,615265008,
2025-02-21,6929,6872,6986,6855,602500120,
2025-02-24,6946,6941,6970,6899,383441900,
2025-02-25,6872,6969,7000,6822,835730462,
2025-02-26,6852,6880,6925,6827,649885773,
2025-02-27,6765,6852,6884,6751,395338381,
2025-02-28,6775,6750,6818,6652,542436403,
2025-03-01,6803,6802,6823,6771,15174920,
2025-03-02,6832,6803,6885,6796,42230490,
2025-03-03,6710,6837,6854,6620,410201675,
2025-03-04,6744,6713,6820,6701,430366478,
2025-03-05,6798,6777,6909,6718,766268044,
2025-03-06,6700,6823,6906,6683,558603575,
2025-03-07,6700,6701,6768,6510,506138735,
2025-03-10,6700,6716,6799,6700,270787663,
2025-03-11,6703,6707,6723,6675,187440730,
2025-03-12,6606,6708,6715,6558,313342946,
2025-03-13,6592,6615,6620,6511,531247563,
2025-03-14,6531,6585,6594,6479,502873742,
2025-03-15,6545,6500,6554,6500,22672607,
2025-03-16,6604,6552,6607,6549,32071281,
2025-03-17,6664,6610,6677,6589,387039213,
2025-03-18,6698,6663,6737,6659,494854734,
2025-03-19,6650,6698,6723,6610,343785221,
2025-03-20,6577,6660,6683,6515,499183969,
2025-03-21,6633,6580,6650,6570,382720325,
2025-03-24,6549,6636,6686,6537,329293240,
2025-03-25,6947,6549,6987,6425,4852698394,
2025-03-26,6796,6990,7021,6690,3325836877,
2025-03-27,6630,6797,6814,6591,1138593721,
2025-03-28,6501,6648,6706,6500,624347857,
2025-03-29,6407,6531,6534,6376,124848891,
2025-03-30,6376,6417,6427,6376,37628936,
2025-03-31,6393,6340,6548,6300,956006076,
2025-04-01,6289,6414,6480,6286,487058715,
2025-04-02,6345,6290,6364,6239,529026549,
2025-04-03,6023,6362,6384,5942,1080013876,
2025-04-04,5827,6119,6144,5792,1407357358,
2025-04-05,5932,5766,5974,5721,191957399,
2025-04-06,5950,5941,5981,5902,76623950,
2025-04-07,5996,5937,6003,5500,1011932918,
2025-04-08,5903,5996,6230,5866,921945607,
2025-04-09,6020,5929,6046,5755,1077294595,
2025-04-10,6069,6033,6150,5987,423101943,
2025-04-11,6198,6099,6260,6099,418172086,
2025-04-12,6258,6209,6265,6201,48838505,
2025-04-13,6407,6286,6420,6260,215695286,
2025-04-14,6089,6353,6379,5992,867947208,
2025-04-15,6125,6082,6129,6046,248013508,
2025-04-16,6170,6125,6195,6024,450895053,
2025-04-17,6262,6174,6262,6167,326266190,
2025-04-18,6165,6233,6260,6086,270168909,
2025-04-21,6218,6176,6248,6166,196451515,
2025-04-22,6253,6227,6286,6174,328976420,
2025-04-23,6318,6260,6339,6161,556143206,
2025-04-24,6348,6318,6415,6310,280073738,
2025-04-25,6354,6326,6408,6294,470807154,
2025-04-26,6354,6356,6390,6320,31066452,
2025-04-27,6369,6354,6380,6349,14849283,
2025-04-28,6296,6380,6384,6272,336971966,
2025-04-29,6203,6296,6351,6197,414826556,
2025-04-30,6150,6206,6220,6003,543614233,
2025-05-02,5988,6145,6145,5974,186989282,
2025-05-03,6006,6012,6032,5980,24489269,
2025-05-04,6059,6024,6077,5993,27885504,
2025-05-05,5914,6057,6108,5900,232899000,
2025-05-06,5963,5934,6034,5885,355727102,
2025-05-07,6263,5988,6277,5970,633792345,
2025-05-08,6205,6284,6284,6186,269834713,
2025-05-10,6196,6213,6244,6174,26177623,
2025-05-11,6258,6231,6266,6220,32387519,
2025-05-12,6307,6280,6370,6232,256879746,
2025-05-13,6419,6307,6436,6255,380038321,
2025-05-14,6289,6426,6468,6283,813286769,
2025-05-15,6344,6289,6365,6201,729000833,
2025-05-16,6617,6344,6643,6339,1998453056,
2025-05-17,6681,6646,6699,6603,252006096,
2025-05-18,6709,6701,6730,6690,106363788,
2025-05-19,6571,6719,6719,6551,753011090,
2025-05-20,6530,6571,6605,6492,312114066,
2025-05-21,6572,6538,6619,6502,394114914,
2025-05-22,6401,6585,6598,6320,850618692,
2025-05-23,6447,6401,6491,6358,255068146,
2025-05-26,6313,6440,6440,6300,265050210,
2025-05-27,6358,6313,6367,6208,298158504,
2025-05-28,6405,6358,6440,6291,544054748,
2025-05-29,6293,6405,6437,6272,542555341,
2025-05-30,6373,6310,6410,6280,252884385,
2025-05-31,6400,6382,6410,6382,16031566,
2025-06-01,6260,6401,6403,6215,130764286,
2025-06-02,6439,6290,6483,6266,530639871,
2025-06-03,6572,6439,6624,6439,392577065,
2025-06-04,6520,6610,6674,6486,523721164,
2025-06-05,6510,6524,6600,6454,296007732,
2025-06-06,6445,6535,6581,6378,545106141,
2025-06-09,6223,6396,6396,6135,425614871,
2025-06-10,6076,6257,6257,6068,342517044,
2025-06-11,6189,6090,6246,6062,345865926,
2025-06-13,6162,6236,6237,6155,89291139,
2025-06-14,6195,6162,6197,6160,11306438,
2025-06-15,6190,6200,6215,6163,18955230,
2025-06-16,6212,6197,6262,6124,206837065,
2025-06-17,6283,6212,6299,6197,251011565,
2025-06-18,6306,6300,6325,6263,139150274,
2025-06-19,6264,6306,6330,6241,343564723,
2025-06-20,6309,6297,6349,6250,200168150,
2025-06-23,6276,6310,6335,6229,289632485,
2025-06-24,6418,6267,6450,6235,372543916,
2025-06-25,6388,6439,6466,6350,377560183,
2025-06-26,6381,6386,6473,6350,324664013,
2025-06-27,6395,6396,6429,6335,502944159,
2025-06-28,6360,6392,6395,6360,52253924,
2025-06-29,6358,6360,6378,6346,38854694,
2025-06-30,6319,6350,6385,6299,445238220,
2025-07-01,6189,6319,6325,6155,653078738,
2025-07-02,6085,6199,6211,6017,665065984,
2025-07-03,6048,6085,6102,6032,626903211,
2025-07-04,6019,6048,6048,5979,378133245,
2025-07-05,6032,6035,6038,6018,11979393,
2025-07-06,6011,6025,6029,6009,11688159,
2025-07-07,6040,6017,6068,5987,187242904,
