;2010Q4;2011Q4;2012Q4;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;11.12.2019;01.07.2018;17.04.2014;;;01.07.2018;16.11.2020;16.11.2020;11.12.2019;01.07.2018;11.12.2019;11.12.2019;11.09.2018;01.07.2018;11.09.2018;11.12.2019;11.12.2019;30.05.2018;30.05.2018;23.08.2018;21.11.2018;20.03.2019;16.05.2019;28.08.2019;25.11.2019;21.02.2020;14.05.2020;28.08.2020;09.11.2020;19.02.2021;19.05.2021;06.08.2021;08.11.2021;10.02.2022;18.05.2023;18.08.2022;03.11.2022;03.03.2023;18.05.2023;29.08.2023;09.11.2023;27.04.2024;27.05.2024;09.08.2024;07.11.2024;13.02.2025;15.05.2025;07.08.2025;20.11.2025;20.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство удобрений, млн т";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.81;2.87;;;3.01;2.89;2.90;2.97;3.11;3.01;3.03;12.1
"Продажа удобрений, млн т";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.77;2.81;;;3.09;3.01;2.98;2.82;3.30;2.94;3.11;12.2
"Выручка, млрд руб";;;;;29.4;27.3;30.1;36.4;50.2;43.5;49.1;47.4;56.1;46.0;45.6;40.1;44.4;44.7;46.5;45.8;54.6;56.6;62.8;59.4;72.3;58.1;64.6;53.1;64.1;59.9;71.0;58.9;87.6;88.7;116.3;127.9;180.7;155.8;122.9;110.1;116.2;96.6;116.1;111.4;119.3;122.3;129.4;136.7;159.4;139.2;143.2;578.5
"Операционная прибыль, млрд руб";;;;;6.60;5.60;7.53;9.86;22.5;14.7;19.1;17.1;22.7;13.8;14.8;10.3;9.56;8.76;9.55;8.12;9.09;13.3;17.6;14.1;18.5;12.8;15.2;5.21;13.8;12.4;20.7;12.1;26.8;32.5;50.1;54.7;80.3;39.9;56.6;51.6;47.6;33.2;46.2;23.8;29.8;26.2;39.6;44.9;38.8;36.0;40.5;160.2
"EBITDA, млрд руб";;;;;;;;;24.0;17.0;21.3;19.7;25.2;16.3;17.4;13.4;12.7;12.2;13.6;12.8;14.3;18.7;23.4;18.6;24.8;18.3;21.3;11.2;20.7;19.1;27.9;17.9;34.3;38.8;57.2;61.5;87.0;48.6;63.9;58.4;49.0;47.5;54.6;31.9;37.9;39.0;45.5;54.6;65.3;50.0;49.0;218.9
"Чистая прибыль, млрд руб";;;;;;;;;;;;;22.6;13.5;10.7;11.4;5.60;6.10;5.80;3.70;6.34;11.6;12.9;10.9;13.5;9.20;11.8;8.50;16.6;5.65;19.0;2.17;21.2;24.1;39.7;45.2;59.3;49.3;41.7;32.1;33.9;21.9;27.1;27.6;21.5;19.2;32.4;27.4;36.7;25.0;27.5;116.7
"Чистая прибыль н/с, млрд руб";;;;;1.86;5.98;-1.82;-19.7;14.2;13.5;3.87;4.92;22.6;13.5;12.4;11.4;12.3;1.47;7.34;-2.97;6.88;2.96;7.80;4.50;21.2;11.8;9.76;12.7;-15.6;20.9;-1.33;13.0;18.4;30.3;39.2;41.8;43.5;85.6;36.5;19.2;28.1;13.4;15.3;29.4;18.8;34.7;11.3;19.7;47.7;27.9;20.1;115.4
"Операционный денежный поток, млрд руб";;;;;6.44;6.97;8.04;;16.3;16.4;18.2;;18.5;11.0;20.0;;7.01;9.26;10.2;3.53;10.4;16.1;22.9;10.3;27.5;19.3;14.2;10.5;27.0;12.0;28.3;27.0;25.4;30.6;31.6;38.6;45.5;61.2;52.8;43.8;53.9;32.0;35.3;13.1;19.7;44.8;23.0;5.34;50.8;38.7;19.5;114.3
"CAPEX, млрд руб";;;;;3.81;3.31;4.86;8.57;6.50;8.50;15.5;12.1;8.72;12.1;11.6;10.7;8.95;5.90;8.44;12.6;8.95;7.64;10.00;11.8;8.62;9.11;10.6;14.3;8.75;9.80;8.81;13.5;9.90;11.2;10.6;16.3;10.6;17.9;13.6;21.0;10.4;15.6;14.2;24.1;15.9;19.9;24.3;22.4;16.8;15.2;15.7;70.1
