date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,681.8,690.2,706.2,678.4,1210265736,
2025-02-11,710,685,711.6,682.3,1360949759,
2025-02-12,744,711.3,758,700.7,3348150945,
2025-02-13,740.4,748.1,778.8,724.2,2080689211,
2025-02-14,742.6,761,828.4,720.1,8929453832,
2025-02-17,762,751.9,771.5,746,2067214956,
2025-02-18,708.3,762,767.4,698.6,2462909288,
2025-02-19,691.1,710.8,715.7,671,3396944274,
2025-02-20,682.9,693.8,697.4,676,1070640584,
2025-02-21,707,684,712.6,669.4,1910426661,
2025-02-24,703.7,704,723,690,1458325145,
2025-02-25,692.2,705.5,734.8,685.8,2715257452,
2025-02-26,664,692.9,712,661.1,2002035371,
2025-02-27,644.8,665,674.8,636,2335760991,
2025-02-28,658.6,641.1,664.5,637,1856156448,
2025-03-01,660.5,661.2,666.8,659,24190779,
2025-03-02,658,658.4,660,653.6,20823814,
2025-03-03,637.1,658,658,625.9,1243598951,
2025-03-04,666.2,638.4,669.8,638,920003386,
2025-03-05,668.9,666.3,696.3,652.5,1761478155,
2025-03-06,665.7,668.3,689.8,660.9,1799878536,
2025-03-07,661.2,665.5,678.3,650,929456094,
2025-03-10,652.1,663.5,665.9,648.3,528610623,
2025-03-11,634.4,652.1,656,628.3,1667618692,
2025-03-12,608.8,634,639.4,605,1863508201,
2025-03-13,604.5,607,629,590.5,2045327316,
2025-03-14,615,601.3,624.8,598,1080163253,
2025-03-15,617,615.5,618.8,615.3,15179961,
2025-03-16,629.3,618.8,629.9,618.5,96397224,
2025-03-17,646.2,628.5,649.9,627.1,1118290089,
2025-03-18,628.4,649,657.4,627.1,1579737053,
2025-03-19,640.1,629.4,648.2,622,1349393761,
2025-03-20,626.3,642,647.7,623,2073331610,
2025-03-21,590,627,632,586,4801468378,
2025-03-24,549.3,586.1,587.3,548.3,3766647650,
2025-03-25,563.7,551.7,564.6,539.2,3314922531,
2025-03-26,549.9,565,572.5,546.5,1473049465,
2025-03-27,525.7,548.9,550.9,523.8,1428322911,
2025-03-28,513.6,525,529.8,508.9,1531348476,
2025-03-29,504,513.6,513.6,504,93579508,
2025-03-30,504,504,504,504,7663320,
2025-03-31,534.1,501,542,488.4,2056585884,
2025-04-01,508.4,535,553.6,504.7,2555152914,
2025-04-02,529.8,508,531.2,505.3,1958345464,
2025-04-03,525.4,532.2,539.9,509.2,1658693782,
2025-04-04,493.8,527,533.3,491,1698108029,
2025-04-05,501,501,502.9,501,95616167,
2025-04-06,516.7,502,518.5,501,189323908,
2025-04-07,472.5,507,507,448.3,3920952646,
2025-04-08,444,480,487.3,442.2,1993091624,
2025-04-09,464.1,440,464.1,411,4191712701,
2025-04-10,425.6,462.8,468.9,423,3572933195,
2025-04-11,429.9,429.9,441,422.8,4970944263,
2025-04-12,439.4,431.7,440.2,431.4,591455068,
2025-04-13,440.3,439,440.3,436.2,211904190,
2025-04-14,424.1,441.2,444.8,421.1,3393396737,
2025-04-15,423.5,423,429.6,411.5,3395160577,
2025-04-16,428.1,420.3,437,415.6,1925854462,
2025-04-17,439.3,429.2,443.9,427,1833498589,
2025-04-18,433.2,433.7,439,427.2,1195358188,
2025-04-21,450,434.2,451,434.2,1442264742,
2025-04-22,478.2,450.9,486.9,450,5185547517,
2025-04-23,471.4,479.9,481.6,457.1,2564741001,
2025-04-24,504.6,472,506,471,5783656164,
2025-04-25,511.6,505,524.9,500,9371629430,
2025-04-26,514.2,518,520.6,508.7,592809310,
2025-04-27,516,514.5,517.8,511.2,147838292,
2025-04-28,503.7,516.2,519,500.6,2597046126,
2025-04-29,484.2,503,507.4,481,1729637165,
2025-04-30,477.3,485.5,486.1,465.2,2230030430,
2025-05-02,442,478,478.2,440.5,1519193078,
2025-05-03,448.3,441.1,450.9,440.1,306421911,
2025-05-04,453.1,449.7,455.9,449,207065976,
