;2012Q4;2013Q4;2014Q4;2015Q4;2016Q1;2016Q2;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q4;2023Q2;2023Q4;2024Q2;2024Q4;2025Q2;LTM
"Дата отчета";;09.07.2018;09.07.2018;30.06.2018;;;16.04.2018;;11.07.2018;;16.04.2018;;29.08.2018;;02.04.2019;;29.08.2019;;23.03.2020;;31.08.2020;;22.03.2021;;30.08.2021;;24.06.2022;;29.08.2023;03.05.2024;14.04.2025;14.04.2025;29.08.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Контракты на продажу м, тыс.м2";;;;;;;;;;;608;587;284;466;660;447;446;475;588;486;403;615;851;518;570;606;843;;;;;;;
"Контракты на продажу руб, млрд руб";;;;;19.2;17.3;;38.9;43.8;47.9;63.0;44.3;50.5;51.7;73.7;54.2;54.1;58.5;73.5;65.3;54.5;88.9;131.8;85.8;103.2;105.7;156.3;;;;;;;
"Продажи недвижимости, тыс.м2";;;;;204;201;;380;391;460;653;430;413;466;632;421;420;448;547;;;;;;;;;;;;;;;
"Новые площади на продажу, тыс.м2";;;;;269;;;379;701;;510;587;284;937;695;436;251;785;534;445;174;696;727;609;585;792;899;;;;;;;
"Доля ипотечных сделок, %";;;;;;;;55.0%;57.0%;;60.0%;66.0%;65.0%;65.0%;65.0%;64.0%;65.0%;65.0%;66.0%;;76.0%;77.0%;76.0%;77.0%;79.0%;77.0%;76.0%;;;;;;;
"Выручка, млрд руб";;;;;20.5;18.9;;44.9;41.5;;133.7;;90.3;;155.2;;103.6;;177.1;;139.0;;241.2;;189.3;;298.5;;264.9;320.4;264.8;410.3;328.1;738.4
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;23.6;;64.3;;35.1;;52.6;;50.8;71.0;51.7;75.9;38.9;114.8
"EBITDA, млрд руб";;;;;;3.04;;;2.92;;10.7;;10.3;;32.5;;17.0;;50.1;;25.9;;64.5;;35.9;;55.1;;55.3;83.8;58.5;85.7;33.3;119.0
"Чистая прибыль, млрд руб";;;;;;1.31;;;-2.52;;5.64;;0.315;;20.9;;7.43;;37.5;;18.2;;67.8;;69.4;;34.2;;27.7;24.7;40.7;15.4;31.9;47.3
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;-23.7;;-24.8;;-113.5;;-56.9;;-184.3;;-126.1;16.2;-97.5;-81.3
"CAPEX, млрд руб";;;;;;;;;;;;;;;;;0.900;;;;0.980;;2.22;;4.42;;5.44;;3.66;4.44;4.57;7.73;4.00;11.7
"FCF, млрд руб";;;;;;;;;;;;;;;;;;;;;-22.2;;-23.8;;-118.0;;-83.0;;-186.7;;-125.0;10.4;-103.9;-93.5
"Див.выплата, млрд руб";;;;;;;;;;;15.0;;;;;;;;;;15.0;;14.9;;;15.1;0.000;;;;;;;
"Дивиденд, руб/акцию";;;;;;;;;;;22,71;;;;;;;;;;22,71;;22,51;;;22,92;0;;;;;;;
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;7.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;5.3%;0.0%;3.8%;0.0%;0.0%;1.6%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";;;;;;0%;;;0%;;266%;;0%;;0%;;0%;;0%;;82%;;22%;;0%;;0%;;0%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;;;;;;;;;;;;;;;;;;;11.3;;5.20;;11.0;;15.2;;14.4;12.3;14.9;18.5;18.3;36.7
"Себестоимость, млрд руб";;;;;;13.4;;;32.6;;114.1;;72.0;;118.6;;81.0;;123.9;;104.0;;172.0;;143.3;;230.8;;199.7;231.6;197.6;306.7;263.4;570.1
"Амортизация, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.7;4.1;4.3;5.0;4.4;9.4
"Процентные расходы, млрд руб";;;;;;;;;;;;;;;;;3.44;;;;4.24;;4.76;;6.40;;13.5;;7.70;33.4;27.0;33.4;33.5;66.9
"Активы, млрд руб";;117.2;97.0;106.7;;;356.3;;;;378.2;;;;366.3;;;;472.0;;535.0;;648.8;;809.3;;"1 061";;"1 411";"1 421";"1 530";"1 523";"1 696";"1 696"
"Чистые активы, млрд руб";;20.1;20.8;31.9;;;53.8;;51.5;;55.6;;60.9;;78.2;;59.4;;108.8;;127.0;;180.2;;219.2;;256.6;;349.7;351.6;391.6;381.3;410.4;410.4
"Долг, млрд руб";43.0;29.0;25.0;13.0;;;65.5;;75.6;;60.5;;75.6;;62.2;;96.5;;139.5;;56.0;;232.0;;337.5;;447.3;;693.0;661.0;703.0;648.8;720.8;720.8
"Наличность, млрд руб";;11.0;14.0;16.9;;;24.8;;31.9;;45.5;;60.2;;59.8;;46.4;;82.3;;144.3;;186.8;;215.7;;333.2;;493.7;511.7;544.8;621.5;758.5;758.5
"Чистый долг, млрд руб";43.0;18.0;11.0;-3.90;0.00;0.00;40.7;0.00;43.6;0.00;15.0;0.00;15.4;0.00;2.50;0.00;50.1;0.00;57.3;0.00;-88.3;0.00;45.2;0.00;121.8;0.00;114.1;0.00;199.3;149.3;158.2;27.3;-37.7;-37.7
"Цена акции ао, руб";67.5;71.5;187.0;219.0;251.0;250.0;290.0;297.0;297.0;316.3;326.5;315.2;334.0;347.6;376.3;353.5;374.9;400.5;400.4;405.9;426.1;567.9;598.6;919.4;"1 077";"1 400";"1 108";603.1;754.8;678.7;898.7;491.7;594.5;470.9
