;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;09.07.2018;09.07.2018;30.06.2018;16.04.2018;16.04.2018;02.04.2019;23.03.2020;22.03.2021;24.06.2022;;03.05.2024;14.04.2025;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Контракты на продажу м, тыс.м2";;;658;677;620;625;950;"1 839";"1 990";"1 956";"2 355";"2 537";;;;
"Контракты на продажу руб, млрд руб";;;;;;;87.4;189.9;216.7;240.3;340.5;451.1;;;;
"Продажи недвижимости, тыс.м2";;;;;;487;608;;;;;;;;;
"Новые площади на продажу, тыс.м2";;;697;606;645;908;"1 158";"2 143";"2 503";"1 843";"2 042";"2 885";;;;
"Доля ипотечных сделок, %";;;28.5%;39.0%;36.2%;39.1%;50.0%;60.0%;65.0%;66.0%;76.0%;76.0%;;89.0%;83.0%;
"Выручка, млрд руб";;;66.1;62.5;61.3;51.1;57.7;175.1;245.8;280.6;380.2;487.8;;585.3;675.1;738.4
"Операционная прибыль, млрд руб";;;;;6.48;11.6;23.5;9.15;37.5;60.6;87.7;87.6;;121.8;127.5;114.8
"EBITDA, млрд руб";;;10.6;14.0;12.5;13.7;11.1;15.7;31.8;58.3;90.4;91.0;;139.0;144.2;119.0
"Чистая прибыль, млрд руб";;;;6.79;3.44;11.4;18.7;3.12;26.1;44.9;86.4;103.6;;62.8;56.1;47.3
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;52.4;28.5;
"Операционный денежный поток, млрд руб";;;;;10.1;18.8;18.8;25.3;31.1;-43.2;-50.6;-170.3;;-192.6;-109.9;-81.3
"CAPEX, млрд руб";;;;;0.428;0.467;1.000;2.50;3.88;4.15;3.20;9.86;;8.10;12.3;11.7
"FCF, млрд руб";;;;;11.1;19.8;25.0;25.3;27.5;-51.4;-46.0;-201.0;;-199.8;-114.6;-93.5
