date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1797.35,1787.5,1806.6,1786.2,2417129135,
2025-02-11,1817.05,1797.75,1818,1786.25,2932545117,
2025-02-12,1888.25,1817.05,1900,1812,5264111315,
2025-02-13,1931.9,1891,1985.35,1891,7724712368,
2025-02-14,1870.95,1926.7,1969.5,1852.5,5734833278,
2025-02-17,1850,1881.55,1898,1805.5,4920546394,
2025-02-18,1871.7,1850,1883,1816.5,4272792455,
2025-02-19,1897.35,1874.85,1906.05,1871.4,3403067999,
2025-02-20,1900.9,1901.5,1933,1884.25,3121867262,
2025-02-21,1884.9,1901.1,1902.95,1860,2154908490,
2025-02-24,1871.7,1889,1895.95,1864.2,2013994173,
2025-02-25,1952.1,1865.65,1966.2,1860,6157764473,
2025-02-26,1956.25,1952.1,1980,1932.5,3483847581,
2025-02-27,1916.8,1956.25,1962.55,1902.3,3806428680,
2025-02-28,1931.3,1915.8,1935.3,1890,3587395501,
2025-03-01,1938.85,1931.3,1946.7,1931.3,98706632,
2025-03-02,1939.5,1938.8,1950,1934.85,93301401,
2025-03-03,1915.9,1936,1944.75,1888.5,3297531579,
2025-03-04,1970.25,1919.5,1980,1909.2,4789261611,
2025-03-05,1953.15,1975,1984.65,1941.2,4573746282,
2025-03-06,1955,1955.7,1987.5,1942.85,3019815729,
2025-03-07,1939.95,1945.1,1967,1907.45,3047559213,
2025-03-10,1887.1,1945,1960,1877.3,6342051901,
2025-03-11,1903.05,1887.1,1915.15,1861.25,2677284868,
2025-03-12,1902.15,1909.75,1912.5,1886.8,1079413636,
2025-03-13,1899.7,1903.6,1915,1845,3321288390,
2025-03-14,1933.3,1902.4,1941,1890,3284407901,
2025-03-15,1938.15,1933.3,1945,1926.65,76889079,
2025-03-16,1940.75,1938.2,1945,1931.1,107273250,
2025-03-17,1940.65,1944.4,1953.05,1925.55,2138932792,
2025-03-18,1900.1,1940.9,1953.8,1900,1935203012,
2025-03-19,1905.45,1909,1939.95,1890.05,1684920452,
2025-03-20,1903.95,1910,1914.2,1871.8,2145924837,
2025-03-21,1901.7,1906.1,1915.35,1894,1100203264,
2025-03-27,1867.6,1901.8,1971,1830,2777753404,
2025-03-28,1880,1869.2,1907.2,1854.4,1786140457,
2025-03-29,1870.4,1880.2,1889,1868.4,58339801,
2025-03-30,1855.8,1870,1879,1845.6,118103562,
2025-03-31,1863.6,1856,1911.8,1840,1630520437,
2025-04-01,1783,1868,1882.8,1755,3126505792,
2025-04-02,1811.4,1789,1819.6,1756,2066203621,
2025-04-03,1741.2,1818.8,1828.6,1692.4,3601800450,
2025-04-04,1741.2,1750,1800,1713,3496237338,
2025-04-05,1725,1725,1734.4,1675.4,340355076,
2025-04-06,1743,1725,1745,1718.8,166734293,
2025-04-07,1727.2,1742.6,1776.2,1665.8,3360245309,
2025-04-08,1776.8,1736,1828,1728.8,3551821668,
2025-04-09,1818.2,1787.6,1850,1762.2,4394529877,
2025-04-10,1830,1830.6,1846.8,1803,1383251716,
2025-04-11,1899.6,1863.8,1910,1863,3023029994,
2025-04-12,1935.2,1904.4,1940,1904,425852484,
2025-04-13,1924.8,1935.2,1942,1908,335651639,
2025-04-14,1897.8,1927,1943.4,1883.2,2335900197,
2025-04-15,1898,1905.4,1914.6,1883.4,932261851,
2025-04-16,1950,1911,1950,1906.2,2845377107,
2025-04-17,1924.2,1952,1958,1903,2197193095,
2025-04-18,1917.2,1924,1928,1854.2,1415268275,
2025-04-21,1958,1929.4,1960,1922.4,3259103088,
2025-04-22,1954.2,1966.6,2003,1950.8,3937352099,
2025-04-23,1911,1948,1952,1890,2137049021,
2025-04-24,1904.8,1911.2,1943,1887,1990288197,
2025-04-25,1856.8,1856,1877,1829.4,4047452668,
2025-04-26,1849.8,1858,1870.8,1849.6,210336743,
2025-04-27,1854.6,1850.2,1859.8,1849.4,116761273,
2025-04-28,1816.6,1850,1854.8,1794.2,2663414787,
2025-04-29,1761.8,1804,1812.6,1756.4,1786569196,
2025-04-30,1751.4,1764,1765,1707.2,1890799707,
2025-05-02,1701.8,1751.4,1784,1700.8,1508277844,
2025-05-03,1719.4,1705.2,1734.6,1703,186662831,
2025-05-04,1722.4,1724,1727.8,1717.2,114663307,
2025-05-05,1744.6,1722.2,1756.6,1703.8,1536663014,
2025-05-06,1804.2,1752,1809.8,1750.2,1877755427,
2025-05-07,1763.4,1794.8,1803.8,1751,1841954466,
2025-05-08,1748.8,1772,1778,1738,709726372,
2025-05-10,1745.4,1749.8,1755,1743,101751745,
2025-05-11,1750,1747,1754.8,1742.2,138543719,
2025-05-12,1736.6,1744.4,1763.8,1702.2,2339937213,
2025-05-13,1759.8,1736.8,1776.6,1731,1308030562,
2025-05-14,1712,1755,1757.6,1710.4,1348206744,
2025-05-15,1684.6,1708,1710,1667.2,1763415875,
2025-05-16,1663.4,1682.8,1699,1652.2,1750821766,
2025-05-17,1676.2,1666.8,1679.2,1665,94101183,
2025-05-18,1680.6,1684,1685.4,1676.2,98779358,
2025-05-19,1655.6,1681,1683.4,1651,1070866453,
2025-05-20,1705,1652.2,1715.6,1625.8,2602747287,
2025-05-21,1706,1706,1729.8,1688.4,1660222611,
2025-05-22,1669.8,1710.6,1718.6,1649.4,1769841911,
2025-05-23,1719.4,1671.4,1724.2,1660.4,1655751460,
2025-05-26,1663,1719.4,1738.6,1650.6,1492222373,
2025-05-27,1653.6,1663,1665,1617,1104019104,
2025-05-28,1688.8,1650,1692,1644.8,1086102469,
2025-05-29,1680.8,1690,1700,1673.2,867190567,
2025-05-30,1687,1680,1695.6,1668.2,720427503,
2025-05-31,1688.2,1686,1689,1682.4,26818384,
