;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;09.07.2018;30.06.2018;;09.07.2018;;;;30.05.2018;30.05.2018;03.08.2018;;27.04.2018;30.05.2018;03.08.2018;07.11.2018;11.02.2019;14.05.2019;06.08.2019;05.11.2019;11.02.2020;01.06.2020;07.09.2020;12.11.2020;25.02.2021;27.05.2021;24.08.2021;23.11.2021;01.03.2022;;21.09.2022;;15.03.2023;;29.08.2023;;29.02.2024;;28.01.2025;;05.03.2025;;27.08.2025;;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча золота, тыс тр унц";;;;;;;;399;467;555;573;450;488;642;580;506;602;691;640;601;684;753;804;595;690;771;710;592;672;770;683;534;534;737;737;718;718;727;727;737;737;765;765;656;656;;"2 077"
"Продажи золота, тыс тр унц";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"1 249";;"1 647";;"1 263";;"1 844";;"1 189";;"3 033"
"Ср.цена продажи золота, $/унц";;;;;;;;"1 260";"1 292";"1 344";"1 244";"1 258";"1 268";"1 279";"1 275";"1 336";"1 300";"1 209";"1 232";"1 308";"1 314";"1 482";"1 482";"1 592";"1 723";"1 907";"1 872";"1 788";"1 803";"1 787";"1 802";;"1 825";;;;"1 892";;"1 852";;"2 164";;;;;;
"Себестоимость золота, $/унц";;;;;;;;;;;;;;;;;;;;;;;;394;340;369;354;386;390;427;412;;435;;;;400;;380;;423;;355;;653;;
"Выручка, млрд руб";;;;;;39.9;35.4;37.9;37.6;45.6;42.1;35.7;35.8;43.9;42.6;35.3;42.6;54.8;49.5;49.3;57.7;69.2;81.6;59.0;83.2;107.5;114.4;76.6;92.0;102.9;89.2;;146.0;;142.5;;184.1;;285.5;;248.2;;446.6;;309.8;;756.4
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;32.9;50.4;70.3;70.5;45.6;55.5;61.9;54.4;;84.1;;53.1;;105.7;;169.8;;159.2;;291.8;;184.3;;476.1
"EBITDA, млрд руб";;;;;;24.8;19.0;24.4;23.9;28.7;25.0;22.5;21.6;28.0;27.1;21.6;28.8;35.3;32.7;31.9;38.7;45.6;56.0;40.2;62.1;81.7;85.6;55.1;68.0;70.7;65.7;;98.8;;84.1;;131.5;;204.9;;183.4;;355.3;;224.1;;579.4
"Чистая прибыль, млрд руб";;;;;;18.0;14.5;21.6;13.1;19.1;34.9;29.5;5.80;21.9;15.8;14.0;7.59;9.10;-2.47;35.1;26.6;18.2;44.3;23.0;49.4;35.8;11.0;33.6;47.5;48.2;37.6;;101.0;;10.8;;42.5;;108.9;;130.6;;175.4;;172.5;;347.9
