;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;09.07.2018;30.06.2018;09.07.2018;30.05.2018;27.04.2018;11.02.2019;11.02.2020;25.02.2021;01.03.2022;15.03.2023;29.02.2024;05.03.2025;27.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча золота, тыс тр унц";;;;;"1 696";"1 763";"1 968";"2 160";"2 436";"2 841";"2 766";"2 717";"2 541";"2 799";"3 002";"2 077"
"Продажи золота, тыс тр унц";;;;;;;;;;;;;"2 423";"2 908";"3 107";"3 033"
"Ср.цена продажи золота, $/унц";;;;;;"1 225";"1 287";"1 259";"1 265";"1 401";"1 786";"1 798";"1 738";"1 861";"2 332";
"Себестоимость золота, $/унц";;;;;;424;389;364;348;365;362;405;504;389;383;
"Выручка, млрд руб";;;;71.9;86.3;133.9;161.4;156.5;184.7;257.8;364.2;360.7;288.5;469.6;694.8;756.4
"Операционная прибыль, млрд руб";;;;;;;90.8;84.7;96.6;142.4;224.1;217.5;137.2;275.5;451.0;476.1
"EBITDA, млрд руб";;;;29.3;39.4;82.3;101.0;99.2;118.4;172.2;269.5;259.5;182.9;336.4;538.7;579.4
"Чистая прибыль, млрд руб";;;;4.01;-23.6;60.2;93.7;72.2;28.2;124.2;119.2;166.9;111.9;151.4;306.0;347.9
"Операционный денежный поток, млрд руб";;;;;;;78.6;75.4;93.4;139.9;220.8;215.7;130.2;253.9;323.7;422.7
"CAPEX, млрд руб";;;;;;19.1;26.8;50.4;53.5;51.4;56.0;83.1;90.7;102.7;137.8;183.2
"FCF, млрд руб";;;;;;;37.7;21.1;28.5;77.4;147.6;120.7;24.3;99.4;116.0;191.0
"Див.выплата, млрд руб";;;;;;;20.1;33.2;36.5;54.5;83.7;;0.000;;276.5;244.7
"Дивиденд, руб/акцию";19,77;26,23;62,95;;;;152,41;251,42;274,73;407,73;627,33;;0;;203,17;179,85
"Див доход, ао, %";;;;;;0.0%;3.4%;5.5%;5.1%;5.7%;4.1%;0.0%;0.0%;0.0%;10.7%;6.8%
"Дивиденды/прибыль, %";;;;0%;0%;0%;21%;46%;129%;44%;70%;0%;0%;0%;90%;70%
"Опер. расходы, млрд руб";;;;;;;11.5;15.6;20.8;22.6;37.1;35.8;32.8;46.3;76.5;82.4
"Себестоимость, млрд руб";;;;44.4;46.4;55.0;60.9;58.4;67.4;92.9;103.1;111.9;124.0;147.9;167.2;188.4
"Амортизация, млрд руб";;;;;;;;;;23.7;25.2;26.3;29.8;41.4;58.5;46.4
"Расх на персонал, млрд руб";;;;;;;21.8;23.7;27.4;33.9;44.5;44.0;47.2;51.9;50.4;55.3
"Процентные расходы, млрд руб";;;;;2.98;7.48;9.53;17.0;15.6;17.7;16.7;14.7;14.4;28.0;60.6;72.0
"Активы, млрд руб";;;;;;372.4;343.7;371.3;418.3;515.5;538.9;595.1;699.2;832.8;"1 152";"1 164"
"Чистые активы, млрд руб";;;;127.9;96.5;144.1;-30.8;32.5;25.1;112.1;173.9;258.1;373.0;-56.8;126.9;232.3
"Долг, млрд руб";;;;37.4;102.0;159.5;302.1;246.6;276.7;314.9;262.6;243.1;247.7;776.1;879.8;777.6
"Наличность, млрд руб";;;;25.9;68.3;133.0;105.5;69.3;62.3;111.5;106.8;99.8;92.6;153.4;255.1;270.0
"Чистый долг, млрд руб";0.00;0.00;0.00;11.5;33.7;26.5;196.6;177.2;214.4;203.4;155.8;143.3;155.1;622.7;624.7;507.6
"Цена акции ао, руб";;;;;;"2 875";"4 431";"4 595";"5 399";"7 104";"15 258";"13 030";"7 676";"10 609";"1 890";"2 658"
"Число акций ао, млн";133.6;133.6;133.6;133.6;190.6;190.6;130.4;133.6;133.6;133.6;133.6;133.6;133.6;133.6;"1 361";"1 361"
"Free Float, %";;;;;;;;;16.0%;22.3%;22.3%;22.3%;;;22.0%;22.0%
"Капитализация, млрд руб";0.00;0.00;0.00;0.00;0.00;548.1;577.8;613.7;721.1;948.8;"2 038";"1 740";"1 025";"1 417";"2 572";"3 617"
"EV, млрд руб";0.00;0.00;0.00;11.5;33.7;574.5;774.4;791.0;935.5;"1 152";"2 194";"1 884";"1 180";"2 040";"3 197";"4 125"
"Баланс стоимость, млрд руб";0.00;0.00;0.00;127.9;96.5;144.1;-30.8;32.5;20.0;104.5;164.1;246.2;359.6;-67.8;118.0;223.5
"EPS, руб";0.00;0.00;0.00;30.0;-123.7;315.8;718.4;540.4;211.3;929.8;892.5;"1 249";837.4;"1 134";224.9;255.7
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;289.4;157.7;213.5;579.2;"1 105";903.4;181.9;744.2;85.3;140.4
"BV/акцию, руб";0.00;0.00;0.00;957.9;506.3;755.7;-236.5;243.1;149.5;782.2;"1 229";"1 843";"2 692";-507.6;86.8;164.3
"Рентаб EBITDA, %";;;;40.7%;45.7%;61.5%;62.6%;63.4%;64.1%;66.8%;74.0%;71.9%;63.4%;71.6%;77.5%;76.6%
