date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1452,1570.8,1586,1440,8038275429,
2025-02-11,1534,1449,1536,1421,8351669643,
2025-02-12,1588,1539,1600,1510,6762382196,
2025-02-13,1594,1590,1686.2,1573.4,4544694158,
2025-02-14,1577.2,1620.2,1631,1565,2094530232,
2025-02-17,1590.2,1587.4,1597.8,1564.8,1303454783,
2025-02-18,1563,1592,1600,1550,1442164719,
2025-02-19,1534.4,1560,1569,1521,973489676,
2025-02-20,1544.4,1532,1550,1515,648055376,
2025-02-21,1556.4,1545.2,1570,1541.4,627576886,
2025-02-24,1633.2,1556.4,1648,1556.4,2031711206,
2025-02-25,1661.8,1642,1720,1621.2,2704876469,
2025-02-26,1599,1663,1677.8,1580.4,1197245638,
2025-02-27,1546.6,1599,1604.2,1535.2,1077458743,
2025-02-28,1587.4,1546.6,1600,1525,980282396,
2025-03-01,1607,1593.4,1619.2,1593,46804319,
2025-03-02,1601.8,1602,1609.8,1600.8,26962260,
2025-03-03,1574.6,1599.2,1599.2,1549,570196321,
2025-03-04,1614.6,1574.6,1626.8,1574,707458640,
2025-03-05,1596.4,1620,1645,1582,677968383,
2025-03-06,1627,1596.4,1643,1596.4,574886229,
2025-03-07,1605,1626,1648,1562.2,739747546,
2025-03-10,1598.8,1606.2,1629,1595.8,248734641,
2025-03-11,1585,1605,1609.8,1580,289307413,
2025-03-12,1580.4,1590,1599,1530.6,701385128,
2025-03-13,1570,1580,1598.4,1551,525612562,
2025-03-14,1569.2,1570,1584,1555,263290533,
2025-03-15,1575.2,1571.4,1578.8,1569.2,14168300,
2025-03-16,1588.8,1575.2,1589.8,1573.8,26412481,
2025-03-17,1613,1589,1625,1589,444992866,
2025-03-18,1594.8,1612,1624.2,1580,332375654,
2025-03-19,1595.6,1594.8,1608.6,1583.4,196688604,
2025-03-20,1593.2,1595.8,1606.4,1575,308829796,
2025-03-21,1540.6,1590.6,1598.2,1536.2,512573502,
2025-03-24,1510.2,1540.6,1548,1510.2,418740630,
2025-03-25,1484.8,1505.8,1518.2,1450.2,1335878936,
2025-03-26,1443,1484,1498.4,1440,479029553,
2025-03-27,1390,1444,1447.6,1359,2047945563,
2025-03-28,1324.8,1389,1399,1310.4,1236573183,
2025-03-29,1314.6,1321.2,1326.8,1302.2,127737416,
2025-03-30,1302.2,1314.4,1322,1302.2,77098956,
2025-03-31,1320,1301.4,1337.8,1281,1051405643,
2025-04-01,1290.6,1320,1375,1282.4,1702505753,
2025-04-02,1316,1289,1330,1274.6,915065226,
2025-04-03,1344,1316,1350,1307.4,999163898,
2025-04-04,1254.2,1350,1373.2,1251.2,1694207624,
2025-04-05,1268.8,1263.8,1274.6,1263.8,74195770,
2025-04-06,1283.2,1269.8,1292,1264.2,101709942,
2025-04-07,1277.6,1260.8,1344,1168.4,4548619727,
2025-04-08,1300.4,1271.2,1342.8,1255.4,2131431502,
2025-04-09,1333,1287,1345,1265.4,1932370896,
2025-04-10,1316,1345.8,1345.8,1301.6,453622655,
2025-04-11,1322,1312.2,1330.8,1308.2,365585808,
2025-04-12,1337.4,1328.8,1342.8,1325.2,58311625,
2025-04-13,1361.4,1337.4,1361.4,1337.4,147729868,
2025-04-14,1315.8,1366.6,1369.4,1306.4,607622347,
2025-04-15,1304.4,1320,1332.8,1292,262862378,
2025-04-16,1290.2,1306,1307,1278.6,575956526,
2025-04-17,1309.2,1290.2,1314,1290,334307090,
2025-04-18,1280,1303.4,1304,1270.2,275103423,
2025-04-21,1289,1280.6,1295,1280,183582056,
2025-04-22,1312.8,1292,1326.2,1287.8,570000697,
2025-04-23,1315.6,1313.8,1320,1284,358008280,
2025-04-24,1315.8,1320.2,1357.4,1314,959115888,
2025-04-25,1307,1316.4,1335,1293.4,678234171,
2025-04-26,1308,1307,1314.8,1306.2,38912719,
2025-04-27,1309.4,1308,1313.6,1305,24047458,
2025-04-28,1284,1309.4,1312.2,1280.6,404152313,
2025-04-29,1265.4,1284,1285.8,1255.2,528594760,
2025-04-30,1251.2,1269,1273.6,1231.4,370814953,
2025-05-02,1212,1251,1251,1212,148297493,
2025-05-03,1212.2,1212,1224,1209.4,32789243,
2025-05-04,1214.8,1209.4,1220,1206,20810498,
2025-05-05,1219,1215,1242.2,1203,475463681,
2025-05-06,1219.2,1224,1239.8,1208,272560249,
2025-05-07,1224.4,1219.2,1232.4,1214,150388073,
2025-05-08,1228.6,1220.6,1251,1220.6,161541910,
2025-05-10,1230.8,1229,1234,1225.6,12022482,
2025-05-11,1240.6,1234,1246,1234,28579625,
2025-05-12,1251.4,1243.6,1262.2,1235,191028582,
2025-05-13,1253.2,1251.2,1267.2,1237,181031550,
2025-05-14,1244.6,1261,1261.8,1244.6,107083092,
2025-05-15,1232.6,1244.6,1249.4,1225,158863395,
2025-05-16,1233.4,1233.2,1247.8,1212.4,136246858,
2025-05-17,1243,1237.6,1245.8,1232.2,13083782,
2025-05-18,1251.6,1244.2,1251.8,1244.2,14595713,
2025-05-19,1226.8,1249.4,1255,1216.8,171251918,
2025-05-20,1220,1227,1231.4,1215.2,70939550,
2025-05-21,1185,1219.2,1225.4,1184.4,234483299,
2025-05-22,1155.6,1185,1185,1155.4,421135963,
2025-05-23,1148.6,1150.4,1158.2,1147,150421972,
2025-05-26,1105,1148.8,1148.8,1100.2,405686164,
2025-05-27,1123.8,1108.2,1133,1085,358242055,
2025-05-28,1134,1123.8,1142.8,1114.6,408741278,
2025-05-29,1109.6,1136,1139.8,1106,212132046,
2025-05-30,1111.8,1109.4,1125.6,1101.8,248102560,
2025-05-31,1116.8,1111.8,1120,1111.8,23690131,
2025-06-01,1095.6,1115,1118,1092.4,61964566,
2025-06-02,1114.2,1095.6,1125,1091.8,164523440,
2025-06-03,1149.8,1114.2,1150,1113.4,275167721,
2025-06-04,1165,1154,1199.8,1148.8,775884695,
2025-06-05,1184.6,1166.2,1195.8,1161.4,337185349,
2025-06-06,1156,1184.6,1253,1153.2,940143210,
2025-06-07,1162.8,1156,1172.2,1156,24387156,
2025-06-08,1155.2,1160,1165,1150.8,23719218,
2025-06-09,1128,1150,1163,1116.4,251613295,
2025-06-10,1119.8,1130.2,1141.2,1109.2,140567378,
2025-06-11,1121.6,1125,1143.4,1115,100377434,
2025-06-13,1118,1123,1139.8,1115.8,91606910,
2025-06-14,1118.8,1115.2,1124.6,1113.6,21674449,
2025-06-15,1121.6,1120.6,1124,1113,14405900,
2025-06-16,1101.8,1121.2,1124.8,1095.6,216196047,
