;2016Q4;2017Q4;2018Q4;2019Q4;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";;22.11.2021;22.11.2021;22.11.2021;22.11.2021;23.12.2021;22.11.2021;12.05.2022;22.11.2021;23.12.2021;05.04.2022;12.05.2022;15.08.2022;31.10.2022;06.04.2023;05.05.2023;25.07.2023;07.11.2023;09.04.2024;22.07.2024;22.07.2024;07.11.2024;07.04.2025;24.04.2025;01.08.2025;10.11.2025;;10.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Отгрузки ПО, млрд руб";;;;;;;;;;;;1.23;1.88;3.46;7.56;1.21;3.25;4.23;16.2;1.83;2.98;4.01;14.5;3.69;3.37;4.41;21.5;25.9
"Выручка, млрд руб";;;;;1.60;0.990;2.94;0.930;1.04;1.29;3.82;1.39;2.12;3.50;6.79;1.54;3.16;3.67;13.8;2.18;3.11;4.43;14.7;2.34;4.41;4.15;;25.7
"Операционная прибыль, млрд руб";;;;;0.010;0.170;1.49;0.002;-0.142;0.280;1.94;0.094;0.252;1.74;4.01;-0.500;2.83;0.727;6.76;-1.51;-2.94;-0.451;9.52;-2.22;-1.61;-0.211;;5.47
"EBITDA, млрд руб";;;;;0.260;0.280;1.63;0.149;0.002;0.447;2.33;0.262;0.423;1.93;4.21;-0.308;0.288;0.992;9.86;-1.15;-2.52;-0.072;10.2;-1.58;-0.909;0.592;;8.30
"EBITDAC, млрд руб";;;;;;;;;;;;;;;;-1.35;-0.370;0.470;10.2;-2.73;-3.83;-2.95;7.63;-2.09;-3.69;-0.230;;1.62
"Чистая прибыль, млрд руб";;;;;-0.162;0.256;1.42;-0.001;-0.180;0.245;1.85;0.146;0.235;1.69;4.02;-0.470;0.082;0.541;9.55;-1.51;-2.94;-0.837;8.95;-2.77;-2.24;-0.744;;3.19
"NIC, млрд руб";;;;;;;;;;;;;;;;-1.35;-0.420;0.430;10.1;-2.84;-4.21;-3.02;7.42;-2.98;-4.67;-1.15;;-1.38
"Операционный денежный поток, млрд руб";;;;;;0.483;0.777;0.934;-0.656;0.800;0.995;1.60;-0.135;0.920;1.86;4.38;-1.000;0.763;1.32;11.6;-4.37;-3.44;-0.868;9.72;-4.24;-1.52;;3.09
"CAPEX, млрд руб";;;;;0.490;0.268;0.546;0.289;0.240;0.381;0.351;0.476;0.420;0.344;0.630;0.876;0.667;0.937;1.08;1.35;1.68;1.83;1.81;2.00;2.02;1.51;;7.35
"FCF, млрд руб";;;;;;-0.352;0.444;0.615;-0.915;0.391;0.601;1.09;-0.600;0.530;1.21;3.46;-1.69;-0.248;0.194;10.2;-6.12;-5.41;-4.40;7.55;-6.24;-3.12;;-6.21
"Див.выплата, млрд руб";;;;;;;;;;0.340;1.29;;;;2.50;;1.25;1.000;6.24;0.300;;;0.000;;;;;
"Дивиденд, руб/акцию";;;;;;;9,56;;;5,484;19,56;;;;37,87;;18,94;15,8;94,63;4,56;;;0;;;;;
"Див доход, ао, %";;0.0%;0.0%;0.0%;;;1.0%;0.0%;0.0%;0.5%;2.3%;0.0%;0.0%;0.0%;3.0%;0.0%;0.9%;0.7%;4.7%;0.2%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденд ап, руб/акцию";;;;;;;9,56;;;5,484;;;;;;;;;;;;;;;;;;
"Див доход, ап, %";;0.0%;0.0%;0.0%;;;1.0%;0.0%;0.0%;0.5%;0.0%;;;;;;;;;;;;;;;;;
"Дивиденды/прибыль, %";;;;;0%;0%;0%;0%;0%;139%;70%;0%;0%;0%;62%;0%;"1 524%";185%;65%;0%;0%;0%;0%;0%;0%;0%;;0
"Опер. расходы, млрд руб";;;;;1.28;0.609;1.14;0.788;0.971;0.843;1.53;1.03;1.50;1.46;2.38;1.75;2.76;2.55;2.87;3.22;5.48;4.26;4.51;3.85;5.08;3.45;;16.9
"Себестоимость, млрд руб";;;;;0.315;0.211;0.304;0.139;0.207;0.166;0.348;0.265;0.373;0.300;0.362;0.286;0.326;0.364;0.484;0.468;0.546;0.626;0.746;0.722;0.947;0.915;;3.33
"Амортизация, млрд руб";;;;;;;;;;;;0.2;0.2;;0.4;0.2;0.2;0.7;0.0;0.4;0.5;0.6;0.5;0.7;0.7;0.8;;2.7
"НИОКР, млрд руб";;;;;0.440;0.187;;0.280;0.203;0.258;0.150;0.238;0.330;0.350;0.402;0.427;0.510;0.560;0.813;0.804;0.944;1.14;0.938;1.19;1.12;0.973;;4.22
"Расх на персонал, млрд руб";;;;;1.12;0.540;0.975;0.632;0.704;0.647;1.02;0.872;1.09;1.17;1.62;1.48;1.61;1.88;2.84;2.48;2.81;2.83;2.82;3.26;2.99;2.65;;11.7
"Процентные расходы, млрд руб";;;;;;0.050;0.042;0.007;0.014;0.057;0.025;0.033;0.017;0.043;0.062;0.007;0.039;0.021;0.064;0.054;0.048;0.409;0.458;1.03;0.921;0.734;;3.14
"Активы, млрд руб";;2.96;4.26;5.07;5.25;;6.50;;6.32;7.45;9.37;9.24;8.87;11.3;17.5;16.0;12.3;13.6;28.4;23.6;19.3;23.8;52.7;48.3;41.8;42.3;;42.3
"Чистые активы, млрд руб";;0.530;0.850;1.000;0.850;;2.50;;1.75;2.00;3.50;3.65;2.93;4.62;8.30;7.83;4.16;4.70;13.2;11.7;2.22;-1.91;17.1;14.2;11.9;11.2;;11.2
"Долг, млрд руб";;;1.48;1.32;;;1.40;;;2.70;2.31;2.78;3.35;4.03;4.80;4.74;4.58;4.26;5.68;14.5;8.98;17.5;26.4;25.9;22.3;24.8;;24.8
"Наличность, млрд руб";;0.020;0.200;0.244;0.480;;0.450;;0.250;1.10;0.765;2.23;1.24;2.44;4.12;7.46;1.90;1.38;1.68;10.3;2.44;2.58;6.23;13.5;4.51;3.09;;3.09
"Чистый долг, млрд руб";0.00;-0.02;1.28;1.08;-0.48;0.00;0.95;0.00;-0.25;1.60;1.55;0.55;2.11;1.59;0.68;-2.72;2.68;2.88;4.00;4.17;6.54;14.9;20.1;12.4;17.8;21.7;0.00;21.7
"Цена акции ао, руб";;"1 000";"1 000";"1 000";;;"1 000";"1 000";"1 000";"1 000";848.2;996.0;868.0;"1 011";"1 258";"1 702";"1 994";"2 375";"2 004";"2 751";"3 060";"2 649";"2 010";"1 314";"1 238";"1 137";997.0;"1 091"
"Число акций ао, млн";;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;66.0;66.0;66.0;66.0;66.0;66.0;66.0;66.0;66.0;71.2;71.2;71.2;71.2;71.2;71.2;71.2
