;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;22.11.2021;22.11.2021;22.11.2021;22.11.2021;05.04.2022;06.04.2023;09.04.2024;07.04.2025;;10.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Отгрузки ПО, млрд руб";;;;;;7.46;14.1;24.9;23.5;33.0;25.9
"Выручка, млрд руб";;2.25;2.58;3.45;5.53;7.08;13.8;22.2;24.5;;25.7
"Операционная прибыль, млрд руб";;;0.474;0.311;1.67;2.08;6.10;9.82;4.62;;5.47
"EBITDA, млрд руб";;0.530;0.700;0.702;2.17;2.70;6.82;10.8;6.46;;8.30
"Чистая прибыль, млрд руб";;0.250;0.320;0.161;1.51;1.91;6.09;9.70;3.66;;3.19
"EBITDAC, млрд руб";;;;;;1.54;5.21;8.92;-1.24;;1.62
"NIC, млрд руб";;;;;;1.21;4.96;8.74;-2.66;;-1.38
"Операционный денежный поток, млрд руб";;;0.650;1.23;1.26;2.07;4.25;5.46;2.89;;3.09
"CAPEX, млрд руб";;0.640;0.900;0.900;1.04;1.26;1.87;3.56;6.67;;7.35
"FCF, млрд руб";;;-0.335;0.241;0.092;0.692;2.23;1.72;-5.78;;-6.21
"Див.выплата, млрд руб";;;;;0.593;0.340;2.50;8.49;0.300;;
"Дивиденд, руб/акцию";;;;;95,6;74,4;37,87;129,37;4,56;;
"Див доход, ао, %";;0.0%;0.0%;0.0%;9.6%;8.8%;3.0%;6.5%;0.2%;0.0%;0.0%
"Дивиденд ап, руб/акцию";;;;;95,6;69,24;;;;;
"Див доход, ап, %";;0.0%;0.0%;0.0%;9.6%;6.9%;;;;;
"Дивиденды/прибыль, %";;0%;0%;0%;39%;18%;41%;88%;8%;;0
"Опер. расходы, млрд руб";;1.60;1.72;2.57;3.03;4.13;6.37;10.9;17.5;;16.9
"Себестоимость, млрд руб";;;0.385;0.574;0.830;0.860;1.30;1.46;2.39;;3.33
"Амортизация, млрд руб";;;;;;;0.7;1.0;1.9;;2.7
"НИОКР, млрд руб";;0.488;0.446;0.700;0.980;0.890;1.32;2.31;3.82;;4.22
"Расх на персонал, млрд руб";;;1.39;2.07;2.63;3.00;4.75;7.81;10.9;;11.7
"Процентные расходы, млрд руб";;0.100;0.100;0.100;0.092;0.103;0.155;0.131;0.969;;3.14
"Активы, млрд руб";;2.96;4.26;5.07;6.50;9.37;17.5;28.4;52.7;;42.3
"Чистые активы, млрд руб";;0.530;0.850;1.000;2.50;3.50;8.30;13.2;17.1;;11.2
"Долг, млрд руб";;;1.48;1.32;1.40;2.31;4.80;5.68;26.4;;24.8
"Наличность, млрд руб";;0.020;0.200;0.244;0.450;0.765;4.12;1.68;6.23;;3.09
"Чистый долг, млрд руб";0.00;-0.02;1.28;1.08;0.95;1.55;0.68;4.00;20.1;0.00;21.7
"Цена акции ао, руб";;"1 000";"1 000";"1 000";"1 000";848.2;"1 258";"2 004";"2 010";997.0;"1 091"
"Число акций ао, млн";;60.0;60.0;60.0;60.0;60.0;66.0;66.0;71.2;71.2;71.2
"Цена акции ап, руб";;"1 000";"1 000";"1 000";"1 000";"1 000";;;;;
"Число акций ап, млн";;6.00;6.00;6.00;6.00;6.00;;;;;
"Free Float, %";;;;;;10.5%;12.2%;21.0%;23.6%;;24.0%
"Капитализация, млрд руб";0.00;66.0;66.0;66.0;66.0;56.9;83.0;132.3;143.1;71.0;77.7
"EV, млрд руб";0.00;66.0;67.3;67.1;67.0;58.4;83.7;136.3;163.2;71.0;99.4
"Баланс стоимость, млрд руб";0.00;-1.05;-1.43;-1.87;-1.00;-0.83;3.13;5.66;-4.40;0.00;-13.6
"EPS, руб";;4.17;5.33;2.68;25.2;31.8;92.3;146.9;51.4;0.00;44.8
"FCF/акцию, руб";;0.00;-5.58;4.02;1.53;11.5;33.8;26.1;-81.2;0.00;-87.2
"BV/акцию, руб";;-17.5;-23.8;-31.2;-16.7;-13.8;47.4;85.8;-61.8;0.00;-190.8
"Рентаб EBITDA, %";;23.5%;27.2%;20.3%;39.2%;38.1%;49.4%;48.8%;26.4%;;32.4%
"Чистая рентаб, %";;11.1%;12.4%;4.7%;27.3%;27.0%;44.1%;43.7%;15.0%;;12.4%
"Доходность FCF, %";;0.0%;-0.6%;0.4%;0.2%;1.4%;2.7%;1.3%;-4.0%;0.0%;-8.0%
"ROE, %";;47.2%;37.6%;16.1%;60.4%;54.6%;73.4%;73.5%;21.5%;;28.5%
"ROA, %";;8.4%;7.5%;3.2%;23.2%;20.4%;34.7%;34.2%;6.9%;;7.6%
P/E;;264.0;206.3;409.9;43.7;29.8;13.6;13.6;39.1;;24.4
P/FCF;;;-197.0;273.9;717.4;82.2;37.2;76.9;-24.8;;-12.5
