;2011Q4;2012Q4;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q4;LTM
"Дата отчета";;;26.06.2018;03.07.2018;03.07.2018;21.06.2018;26.06.2018;01.07.2022;01.07.2022;01.07.2022;03.07.2018;01.07.2022;01.07.2022;01.07.2022;03.07.2018;01.07.2022;14.05.2018;01.07.2022;26.06.2018;14.05.2018;13.08.2018;12.11.2018;13.03.2019;20.05.2019;19.08.2019;18.11.2019;10.03.2020;18.05.2020;14.08.2020;16.11.2020;15.03.2021;17.05.2021;16.08.2021;15.11.2021;28.02.2022;07.05.2022;08.08.2022;14.11.2022;06.03.2023;22.05.2023;07.08.2023;13.11.2023;04.03.2024;13.05.2024;06.08.2024;11.11.2024;18.03.2025;;29.08.2025;06.03.2026;06.03.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;11.1;15.6;14.7;17.7;14.1;18.5;17.8;22.1;17.7;20.5;17.4;28.7;18.8;19.0;17.1;24.2;15.3;17.5;19.4;30.8;32.2;41.4;33.8;29.2;32.9;39.2;36.6;47.3;49.9;54.4;53.2;61.0;61.5;65.7;54.8;55.0;47.4;59.2;71.7;97.9;68.3;70.7;76.2;124.9;82.8;88.3;225.4;396.5
"Операционная прибыль, млрд руб";;;;2.60;3.50;5.83;4.92;4.08;4.60;8.22;5.34;1.27;1.76;8.80;2.67;-0.574;-0.185;2.46;2.35;-0.061;2.15;7.42;3.12;0.087;1.66;2.91;3.84;0.203;9.77;6.40;2.32;6.92;11.4;17.4;-1.11;9.19;8.65;1.53;-5.77;3.66;5.35;23.7;14.1;2.29;3.34;16.0;17.3;;11.7;25.6;37.3
"EBITDA, млрд руб";;;;2.43;4.07;4.74;6.83;5.10;5.60;6.41;7.31;4.86;3.21;3.42;6.72;2.73;2.71;3.10;5.42;1.72;4.06;4.41;5.99;4.09;4.72;4.41;5.78;5.01;6.90;8.60;7.00;11.2;11.0;8.64;10.3;16.5;13.7;5.54;1.60;7.14;8.47;15.0;25.7;7.30;8.46;10.6;26.6;;17.7;38.3;56.0
"Чистая прибыль, млрд руб";;;;2.24;4.05;6.20;7.68;4.25;2.97;10.8;5.60;0.367;1.67;9.17;2.47;-0.344;0.585;2.86;2.46;0.209;2.11;6.27;4.24;1.42;1.71;3.79;2.87;0.365;9.41;5.94;2.58;6.55;11.1;17.8;-5.44;1.94;-1.78;1.71;20.4;5.42;7.77;25.5;-4.32;0.530;1.75;14.6;10.8;;5.98;12.5;18.5
"Операционный денежный поток, млрд руб";;;;2.63;4.83;6.46;1.76;2.43;7.33;3.95;2.20;0.860;7.63;3.15;0.174;7.11;5.83;4.57;0.161;3.91;3.40;5.73;-20.7;2.50;16.1;9.70;-7.02;6.48;12.6;5.62;-9.18;8.42;12.9;10.9;-24.1;-5.13;4.42;8.63;-4.52;16.0;16.6;14.8;-13.8;10.3;6.64;26.0;-27.2;;4.52;-14.0;-9.48
"CAPEX, млрд руб";;;;0.830;1.45;1.73;1.35;1.12;2.65;6.03;1.88;1.31;2.42;2.87;10.3;2.85;4.45;4.27;5.12;3.10;4.78;4.48;3.84;4.80;1.61;6.24;4.15;2.25;2.80;5.10;3.95;2.07;4.35;2.84;4.64;3.09;1.54;3.01;4.96;2.29;9.39;5.50;1.62;6.27;4.90;8.34;10.1;;14.1;21.5;35.5
"FCF, млрд руб";;;;2.05;3.90;5.41;-2.40;1.08;3.80;-2.80;-0.240;-1.18;-2.78;2.27;-9.88;4.23;2.23;0.325;-5.66;0.371;-1.02;-0.050;-20.4;-3.10;15.4;-5.00;-4.70;3.87;8.76;3.50;-16.5;6.17;10.6;11.5;-34.7;-7.70;4.80;4.44;-8.64;14.2;10.4;9.57;-22.3;3.73;3.27;12.4;-30.9;;-13.2;-36.2;-49.4
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;;1.86;;2.22;;1.03;;3.45;;1.68;;0.000;;1.87;;11.1;;8.80;;0.000;;;;;;;;;;;;0.000;;;;
