;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";;;26.06.2018;26.06.2018;03.07.2018;03.07.2018;26.06.2018;13.03.2019;10.03.2020;15.03.2021;28.02.2022;06.03.2023;04.03.2024;18.03.2025;06.03.2026;06.03.2026
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Доля продаж на экспорт, %";;;;;;;;;23.8%;30.9%;28.0%;29.1%;20.6%;28.5%;;
"Выручка, млрд руб";39.7;34.1;36.5;59.1;72.4;84.3;79.1;83.0;136.5;156.1;218.6;237.0;276.1;340.1;396.5;396.5
"Операционная прибыль, млрд руб";;;2.95;16.8;22.2;14.5;4.05;12.6;8.50;18.7;34.6;13.6;46.8;47.4;37.3;37.3
"EBITDA, млрд руб";5.15;8.78;6.78;18.1;24.4;18.2;14.0;16.2;19.0;27.5;41.1;37.3;56.3;53.0;56.0;56.0
"Чистая прибыль, млрд руб";2.42;4.31;3.20;20.2;23.5;13.9;5.56;12.8;9.80;18.3;30.0;22.3;34.4;36.1;18.5;18.5
"Операционный денежный поток, млрд руб";;;4.78;15.7;15.9;11.8;17.7;-7.67;21.3;15.5;8.20;3.40;33.6;15.2;-9.48;-9.48
"CAPEX, млрд руб";10.8;8.65;4.25;5.21;11.4;16.7;17.5;16.2;16.8;14.1;13.9;12.6;18.8;29.6;35.5;35.5
"FCF, млрд руб";;;-1.47;9.31;1.84;-4.33;1.15;-21.1;2.60;-0.400;-6.50;-7.10;11.8;-9.38;-49.4;-49.4
"Див.выплата, млрд руб";;;;5.06;7.11;4.12;4.09;4.48;0.500;13.0;3.60;0.000;0.000;0.000;;
"Дивиденд, руб/акцию";;;;26,01;59,22;34,35;30,11;32,87;19,3;475,6;130;0;0;0;;
"Див доход, ао, %";;;;9.2%;6.0%;4.3%;5.3%;4.2%;3.0%;57.2%;11.1%;0.0%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;25%;30%;30%;73%;35%;5%;71%;12%;0%;0%;0%;0%;0
"Опер. расходы, млрд руб";;;5.91;7.25;9.19;11.3;13.9;11.5;15.6;15.6;20.1;24.9;31.0;43.9;43.1;43.1
"Себестоимость, млрд руб";;;28.1;38.0;43.3;58.9;58.1;61.7;110.2;124.3;173.4;189.9;204.5;259.2;321.8;321.8
"Амортизация, млрд руб";;;;;;;;;8.5;10.8;13.9;14.2;16.5;14.6;19.3;19.3
"Расх на персонал, млрд руб";;;4.05;5.03;6.16;8.72;9.86;10.0;13.4;14.9;17.5;19.6;25.4;34.3;45.1;45.1
"Процентные расходы, млрд руб";;;4.13;2.30;3.42;3.61;2.87;3.57;5.80;5.00;5.50;7.87;7.17;9.55;17.4;17.4
"Активы, млрд руб";;;73.1;81.5;129.5;153.2;157.4;223.8;214.7;244.3;326.4;420.8;394.6;508.8;551.2;551.2
"Чистые активы, млрд руб";;;34.6;51.5;70.5;93.1;92.6;102.1;78.6;83.3;109.4;111.1;174.6;221.0;239.5;239.5
"Долг, млрд руб";;;32.5;22.3;50.3;44.5;46.7;95.1;100.6;117.0;172.7;233.8;128.0;161.0;200.2;200.2
"Наличность, млрд руб";;;17.9;18.7;34.8;40.2;40.0;40.8;1.70;11.3;46.3;20.9;24.9;33.3;18.1;18.1
"Чистый долг, млрд руб";0.00;0.00;14.6;3.62;15.6;4.35;6.60;54.3;98.9;105.7;126.4;212.9;103.1;127.7;182.1;182.1
"Цена акции ао, руб";;;;283.0;995.0;804.0;568.5;791.5;644.8;831.8;"1 172";661.0;"1 350";154.5;111.7;116.2
"Число акций ао, млн";120.0;120.0;120.0;120.0;117.8;128.7;136.7;136.7;136.7;136.7;136.7;136.7;136.7;958.7;958.8;958.8
"Free Float, %";;;;;16.3%;20.7%;21.0%;21.0%;20.4%;20.3%;24.6%;34.6%;25.0%;20.0%;20.0%;20.0%
"Инсайдерское владение, %";;;;;81.9%;78.0%;78.0%;78.0%;78.0%;78.1%;73.8%;;;;;
