date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,114.22,115,115.88,112.92,146487831,
2025-02-11,115.1,114.22,115.18,113.3,55654378,
2025-02-12,116.68,115.1,116.98,115.1,94962324,
2025-02-13,128.98,121.24,129,118.34,423666741,
2025-02-14,122.26,127.56,128.72,118.86,391565803,
2025-02-17,126.3,125.8,126.84,124.24,99254773,
2025-02-18,122.92,125.88,125.9,121.82,127726946,
2025-02-19,123.8,125,125.56,121.3,48538591,
2025-02-20,126.02,124.3,128.04,124.1,64566999,
2025-02-21,126.88,126.22,127,123.5,43674530,
2025-02-24,125.9,127.02,128.7,125.18,117252573,
2025-02-25,128,127,129,125.92,96350660,
2025-02-26,127.98,128.5,136.08,123.62,315751706,
2025-02-27,130.28,126.48,131.84,124.44,162411512,
2025-02-28,136.5,132,137.78,128.8,254966864,
2025-03-03,136.56,134.7,137.8,131.1,137547370,
2025-03-04,133.92,136.84,139.48,133.16,239234481,
2025-03-05,134.2,134.92,135.2,131.82,86900502,
2025-03-06,128.3,133.9,134.84,127.8,171608895,
2025-03-07,132.92,129.44,134.48,128.38,251914309,
2025-03-10,134.2,134.56,135.8,132.52,117937787,
2025-03-11,134.02,132.94,136.34,132.52,139566753,
2025-03-12,136.54,134,136.54,131.32,160948324,
2025-03-13,133.18,136.54,137.46,130.82,224913979,
2025-03-14,135.46,135.02,136.12,131.68,112719620,
2025-03-17,134.58,137,137.92,133.74,199758913,
2025-03-18,135.42,134.7,135.98,134.24,86524323,
2025-03-19,136.62,135.26,136.84,133.78,68567662,
2025-03-20,138.2,137,141.06,135,463056096,
2025-03-21,137.52,138.18,139,136,165233256,
2025-03-24,136.92,137.52,139.6,135.36,100984707,
2025-03-25,138,137.78,138.7,135.76,88659040,
2025-03-26,133.24,137.86,138.76,132.62,114466804,
2025-03-27,127.82,133.02,135.2,127.54,255863459,
2025-03-28,125.6,127.82,128.3,123.12,159794461,
2025-03-29,124.16,125.62,126.8,122.42,6276246,
2025-03-30,121.42,123.76,124.06,121.42,7144735,
2025-03-31,125.46,121.5,126.84,119.46,197689328,
2025-04-01,121.66,125.46,129.66,121.54,244069957,
2025-04-02,121,121.66,124.5,120.14,100525529,
2025-04-03,119.54,121.02,123.76,118.7,168864153,
2025-04-04,113,120.56,121.6,111.16,387851014,
2025-04-05,113,113,113.98,109.2,23972853,
2025-04-06,114.6,113.2,115.2,113.2,22136766,
2025-04-07,109.66,113.66,113.68,107.24,202985692,
2025-04-08,112.32,110.8,117.08,110.5,245756617,
2025-04-09,118.12,112.34,118.96,109.12,213179630,
2025-04-10,120.28,118.2,122.98,116.76,149584788,
2025-04-11,120.24,119.9,122.72,117.9,129553744,
2025-04-12,121.74,119.6,122,119.24,6531532,
2025-04-13,121.66,121.06,121.76,119.82,7403774,
2025-04-14,117.74,121.66,122.46,117.22,48681076,
2025-04-15,119.46,117.82,120.44,117.06,44452863,
2025-04-16,120.86,119.48,122.2,117.24,64962000,
2025-04-17,121.44,121.5,122.38,119.66,66590446,
2025-04-18,119.32,120.74,121.36,117.64,67318904,
2025-04-21,120.66,119.72,121.4,119.64,56483675,
2025-04-22,123.28,121.3,124.34,119.4,122075759,
2025-04-23,121.78,123.24,123.52,120.24,76395190,
2025-04-24,120.38,121.78,122.9,119.88,161962260,
2025-04-25,120.9,121.22,121.5,119.7,145674616,
2025-04-26,120.7,121.46,122.18,120.4,8492288,
2025-04-27,121.1,120.7,121.48,120.5,3099185,
2025-04-28,118.68,121.1,121.5,118.06,167547325,
2025-04-29,115.68,118.24,119.2,115.02,94773314,
2025-04-30,114.42,116,116.84,112.7,152024316,
2025-05-02,112.04,114.44,115.5,111.18,64651327,
2025-05-03,113.46,111.6,114.54,111.6,4347877,
2025-05-04,113.74,113,114,112.36,3031827,
2025-05-05,109.96,113.5,114.34,108.58,116517157,
2025-05-06,111.5,109.96,112.7,109.44,122690067,
2025-05-07,112.06,112,113.18,110.48,96464415,
2025-05-08,112.68,112.06,113.64,112,16591147,
2025-05-10,112.4,112.68,113.14,112.02,2708786,
2025-05-11,113.18,113.1,114.98,113.1,6989932,
2025-05-12,114.22,113.74,115.26,113.22,70272973,
2025-05-13,114.6,114.22,114.98,113.72,33317012,
2025-05-14,112.78,114.94,116.38,112.64,104084942,
2025-05-15,112.56,112.68,113.98,110.98,82746429,
2025-05-16,111.18,112.78,113.46,110.5,101296688,
2025-05-17,113,111.18,113.36,111.18,5267128,
2025-05-18,113.36,113,114,112.76,4152079,
2025-05-19,115.6,113,116.38,111.5,199617728,
2025-05-20,113.72,115.2,116,113.34,79418887,
2025-05-21,112.2,114.26,114.5,111.1,88181285,
2025-05-22,112.34,112.48,113.32,108.58,187788633,
2025-05-23,112.68,112.18,114.34,110.9,134622652,
2025-05-26,111.66,113.68,113.74,110.3,100248470,
2025-05-27,110.68,111.66,113.62,109.04,272012970,
2025-05-28,111.74,111.5,112.78,109.32,151011050,
2025-05-29,109.72,110.96,112,109,137583450,
2025-05-30,110.1,109.72,110.44,108.86,56382613,
2025-05-31,110.3,110.1,110.7,109.58,5360975,
2025-06-01,109.12,110.3,110.56,108.6,13341919,
2025-06-02,113.46,109.1,114.5,109.1,168071932,
2025-06-03,119.56,113.28,119.94,113.28,272458983,
2025-06-04,118,119.56,120.92,116.5,208025291,
2025-06-05,117.86,118.32,118.84,116.66,70501266,
2025-06-06,114.6,117.3,119.9,114.56,197620076,
2025-06-07,116.4,115.6,116.7,115.04,5711607,
2025-06-08,115.26,116.1,116.44,115.06,4508185,
2025-06-09,115.12,115.8,116,112.66,78772723,
2025-06-10,115.54,115.44,116.96,114.04,116880840,
2025-06-11,119.78,115.9,120.02,114.34,187604867,
2025-06-13,118.84,120.06,121.1,118.3,86551318,
2025-06-14,118.8,118.86,119.28,118.46,2304302,
2025-06-15,119.34,118.8,119.72,118.74,2676075,
2025-06-16,115.52,119.5,119.68,115.1,235796770,
2025-06-17,117.08,115.3,117.58,114.84,77254680,
2025-06-18,116.76,117.84,118.54,115.32,80346139,
2025-06-19,118.22,116.5,119.52,115.38,118710995,
2025-06-20,116.1,118.22,118.96,115.7,62860759,
2025-06-23,114.64,116.12,116.96,113.48,107545704,
2025-06-24,115.64,115.2,116.26,114.04,59383822,
2025-06-25,117,115.64,117.54,114.52,104015081,
2025-06-26,117.1,117.38,118,116.36,56227897,
2025-06-27,118.6,117.18,119,116.22,61104148,
2025-06-28,119.2,118.8,119.44,118.56,4654677,
2025-06-29,119.38,119.68,120.02,118.74,16370836,
2025-06-30,121.72,119.3,122,118.06,121596370,
2025-07-01,122.62,121.72,124.28,121.12,116681842,
2025-07-02,122.72,122.62,123.76,120.68,61908431,
2025-07-03,123.14,122.72,124.98,122.1,106637512,
2025-07-04,125.64,123.14,126.78,121.06,124405088,
2025-07-05,126,126.42,126.5,125.08,9097100,
2025-07-06,125.58,126.22,126.28,125.16,3691403,
2025-07-07,124.4,125.84,126.14,124.4,58530177,
2025-07-08,123.2,125,125.42,120.06,124687928,
2025-07-09,119.5,123.12,123.12,117.7,173687345,
2025-07-10,121.08,119.5,122.52,119.04,81895849,
2025-07-11,120.02,121.08,122.4,118.42,81157631,
2025-07-12,121.14,120.04,122,120.04,10210452,
2025-07-13,119.8,121.12,121.98,118.8,10300387,
2025-07-14,129.1,118.36,129.2,118.1,289274795,
2025-07-15,124.5,124.4,125.48,121.24,329256300,
2025-07-16,124.7,123.64,125.88,122.26,191080461,
2025-07-17,123.96,124.7,127.78,122.92,197735781,
2025-07-18,126.24,124.4,127.18,123.46,152175608,
2025-07-19,126.1,126.3,127.16,125.58,13087699,
2025-07-20,126.68,126.4,127,125.72,12702928,
2025-07-21,125.88,126.36,127.28,125.08,125468546,
2025-07-22,124.56,125.88,126.1,123.38,87835154,
2025-07-23,126.08,124.56,126.3,123.86,106062167,
2025-07-24,124.52,125.88,125.88,124.28,66172480,
2025-07-25,123.62,124.64,126,122.34,113561198,
2025-07-26,123.52,123.56,123.74,123.04,4384665,
2025-07-27,123.4,123.46,123.8,122.84,2512178,
2025-07-28,121.54,123.48,124.68,121.52,155659403,
2025-07-29,122.3,121.94,123.4,121.22,46143511,
2025-07-30,125.18,122.22,125.76,122.22,132460714,
2025-07-31,125.76,125.22,125.96,122.86,119747613,
2025-08-01,124.74,125.9,126.5,123.26,76081246,
2025-08-04,124.28,125.26,125.92,123.58,79444841,
2025-08-05,124.46,124.64,125.98,123.66,64405670,
2025-08-06,128.58,125,130,124.24,157008155,
2025-08-07,130.28,128.96,131.78,127,186749007,
2025-08-08,132.8,130.02,132.88,128.52,135907029,
2025-08-11,132,132.82,133.98,130.28,182872766,
2025-08-12,130.88,132.02,132.82,129.68,87655871,
2025-08-13,129,131.44,131.9,128.02,97516918,
2025-08-14,129.9,129.04,130.6,125.96,141207458,
2025-08-15,131.98,129.9,132,127.96,179096310,
2025-08-16,130.42,130,130.8,128.4,17538770,
2025-08-17,130.44,130.08,130.98,129.56,3468662,
