;2019Q4;2020Q2;2020Q4;2021Q2;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";08.01.2022;08.01.2022;01.03.2021;01.08.2021;28.03.2022;;;;;26.05.2023;22.08.2023;15.11.2023;19.03.2024;27.05.2025;22.08.2024;20.11.2024;12.03.2025;27.05.2025;28.08.2025;20.11.2025;20.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Инвестиционный портфель, млрд руб";101;;134;;146;;;;148;;;;182;;;204;235;247;262;275;275
"Выручка, млрд руб";;34.5;46.0;44.8;52.0;20.6;29.8;27.6;27.3;23.9;29.0;32.3;38.2;33.3;37.2;47.7;51.6;40.8;51.4;59.4;203.2
"Премии Non-Life, млрд руб";;;;;;;;;;;30.9;15.6;;16.1;18.4;20.5;18.3;16.2;18.0;22.0;74.5
"Операционная прибыль, млрд руб";;3.34;2.82;1.87;;;;;;;;;;;;;;;;;
"Премии Life, млрд руб";;;;;;;;;;;22.1;16.7;;17.2;21.7;24.3;33.3;34.6;23.4;37.3;128.6
"Чистая прибыль, млрд руб";;1.77;2.91;1.33;2.26;;;;;2.40;4.60;2.60;0.700;;3.88;-0.080;7.30;2.50;2.10;2.10;14.0
"CAPEX, млрд руб";;;;;;;;;;;;;;;0.900;;1.43;;1.12;;2.55
"FCF, млрд руб";;1.03;1.95;-3.26;-7.89;;;;;;;;;;;;;;;;
"Див.выплата, млрд руб";;;;;;;;;;;4.30;;1.30;;2.00;2.00;3.56;;;2.28;5.84
"Дивиденд, руб/акцию";;;;;;;;;;;7,7;;2,3;;3,6;3,6;6,4;;;4,1;10,5
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;9.7%;0.0%;2.4%;0.0%;3.7%;3.7%;5.8%;0.0%;0.0%;4.1%;11.6%
"Дивиденды/прибыль, %";;0%;0%;0%;0%;;;;;0%;93%;0%;186%;;52%;0%;49%;0%;0%;109%;42%
"Опер. расходы, млрд руб";;;;;;;;;;;4.19;;;;6.46;;7.91;;5.78;;13.7
"Себестоимость, млрд руб";;19.5;26.5;23.9;26.6;;;;;;;;;;44.9;;73.7;;44.5;;118.1
"Активы, млрд руб";131.7;;163.7;179.4;178.7;;;;;;204.0;218.0;223.9;;238.1;;289.9;280.0;295.2;310.0;310.0
"Чистые активы, млрд руб";25.6;;30.2;31.6;50.3;;;;;;46.0;50.0;43.4;;45.3;;50.6;60.0;54.2;51.6;51.6
"Долг, млрд руб";101.6;;128.8;117.4;;;;;;;;;2.45;;1.64;;0.256;;0.059;;
"Наличность, млрд руб";96.5;;129.2;116.8;;;;;;;;;16.6;;15.5;;33.9;;30.9;;
"Чистый долг, млрд руб";5.14;0.00;-0.36;0.61;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-14.2;0.00;-13.9;0.00;-33.6;0.00;-30.9;0.00;0
"Цена акции ао, руб";120.0;120.0;120.0;120.0;101.0;54.4;44.1;45.5;49.9;57.4;79.0;109.1;94.6;100.7;98.2;98.0;110.5;125.0;121.3;100.5;90.5
"Число акций ао, млн";404.8;404.8;404.8;566.8;557.0;557.0;557.0;557.0;557.0;557.0;557.0;557.0;557.0;557.0;557.0;557.0;557.0;557.0;557.0;557.0;557.0
"Free Float, %";;;18.7%;;24.1%;;;;;;;;;;;;30.0%;30.0%;30.0%;30.0%;30.0%
"Капитализация, млрд руб";48.6;48.6;48.6;68.0;56.3;30.3;24.6;25.3;27.8;32.0;44.0;60.8;52.7;56.1;54.7;54.6;61.5;69.6;67.6;56.0;50.4
"EV, млрд руб";53.7;48.6;48.2;68.6;56.3;30.3;24.6;25.3;27.8;32.0;44.0;60.8;38.5;56.1;40.8;54.6;27.9;69.6;36.7;56.0;50.4
"Баланс стоимость, млрд руб";16.2;0.00;20.4;21.8;40.2;0.00;0.00;0.00;0.00;0.00;46.0;50.0;31.6;0.00;33.0;0.00;37.3;60.0;40.4;51.6;51.6
"EPS, руб";0.00;4.37;7.19;2.35;4.06;0.00;0.00;0.00;0.00;4.31;8.26;4.67;1.26;0.00;6.97;-0.14;13.1;4.49;3.77;3.77;25.1
"FCF/акцию, руб";0.00;2.55;4.82;-5.76;-14.2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0
"BV/акцию, руб";40.0;0.00;50.4;38.4;72.1;0.00;0.00;0.00;0.00;0.00;82.6;89.8;56.7;0.00;59.2;0.00;66.9;107.7;72.5;92.6;92.6
"Рентаб EBITDA, %";;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Чистая рентаб, %";;5.1%;6.3%;3.0%;4.3%;0.0%;0.0%;0.0%;0.0%;10.0%;15.9%;8.0%;1.8%;0.0%;10.4%;-0.2%;14.1%;6.1%;4.1%;3.5%;6.9%
"Доходность FCF, %";0.0%;2.1%;6.1%;-1.9%;-19.8%;-36.8%;-32.1%;-31.1%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%
"ROE, %";0.0%;;15.5%;13.4%;7.1%;;;;;;15.2%;19.2%;23.7%;;15.8%;;22.0%;22.7%;21.8%;27.1%;27.1%
