;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";08.01.2022;01.03.2021;28.03.2022;;19.03.2024;12.03.2025;12.03.2026;20.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Инвестиционный портфель, млрд руб";101;134;146;148;182;235;286;275
"Выручка, млрд руб";69.3;80.5;96.8;105.3;123.4;97.7;107.3;203.2
"Операционная прибыль, млрд руб";5.59;4.59;3.74;;4.14;11.6;10.2;
"Премии Non-Life, млрд руб";;37.0;46.7;55.4;63.7;73.3;74.8;74.5
"Премии Life, млрд руб";;46.0;57.6;49.9;59.8;96.5;130.2;128.6
"Чистая прибыль, млрд руб";4.15;4.68;3.59;;10.3;10.8;11.0;14.0
"Операционный денежный поток, млрд руб";;3.89;-10.3;;17.2;29.0;-5.35;
"CAPEX, млрд руб";;0.800;0.900;;1.79;2.33;2.49;2.55
"FCF, млрд руб";8.92;2.98;-11.2;;15.2;26.3;-8.29;
"Див.выплата, млрд руб";;;;;5.60;5.57;;2.28
"Дивиденд, руб/акцию";;;;;10;10;;4,1
"Див доход, ао, %";0.0%;0.0%;0.0%;0.0%;10.6%;9.1%;0.0%;4.4%
"Дивиденды/прибыль, %";0%;0%;0%;;54%;51%;0%;16%
"Опер. расходы, млрд руб";;6.60;7.80;;9.90;11.2;11.1;13.7
"Себестоимость, млрд руб";38.5;46.0;50.5;;78.7;86.8;97.4;118.1
"Амортизация, млрд руб";;;;;1.2;0.7;0.7;
"Расх на персонал, млрд руб";;4.22;4.91;;5.22;8.00;7.35;
"Процентные расходы, млрд руб";;;;;0.220;0.170;;
"Активы, млрд руб";131.7;163.7;178.7;;223.9;266.5;323.2;310.0
"Чистые активы, млрд руб";25.6;30.2;50.3;;43.4;53.1;56.3;51.6
"Долг, млрд руб";101.6;128.8;;;2.45;0.256;0.044;
"Наличность, млрд руб";96.5;129.2;;;16.6;33.9;9.81;
"Чистый долг, млрд руб";5.14;-0.36;0.00;0.00;-14.2;-33.6;-9.77;0
"Цена акции ао, руб";120.0;120.0;101.0;49.9;94.6;110.5;95.9;93.1
"Число акций ао, млн";404.8;404.8;557.0;557.0;557.0;557.0;557.0;557.0
"Free Float, %";;18.7%;24.1%;;;30.0%;30.0%;30.0%
"Капитализация, млрд руб";48.6;48.6;56.3;27.8;52.7;61.5;53.4;51.8
"EV, млрд руб";53.7;48.2;56.3;27.8;38.5;27.9;43.6;51.8
"Баланс стоимость, млрд руб";16.2;20.4;40.2;0.00;31.6;39.8;42.0;51.6
"EPS, руб";10.3;11.6;6.45;0.00;18.5;19.4;19.8;25.1
"FCF/акцию, руб";22.0;7.36;-20.0;0.00;27.2;47.2;-14.9;0
"BV/акцию, руб";40.0;50.4;72.1;0.00;56.7;71.4;75.5;92.6
"Рентаб EBITDA, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Чистая рентаб, %";6.0%;5.8%;3.7%;0.0%;8.3%;11.1%;10.3%;6.9%
"Доходность FCF, %";18.4%;6.1%;-19.8%;0.0%;28.8%;42.7%;-15.5%;0.0%
"ROE, %";16.2%;15.5%;7.1%;;23.7%;20.4%;19.6%;27.1%
"ROA, %";3.2%;2.9%;2.0%;;4.6%;4.1%;3.4%;4.5%
P/E;11.7;10.4;15.7;;5.11;5.69;4.84;3.70
P/FCF;5.45;16.3;-5.05;;3.47;2.34;-6.44;
P/S;0.70;0.60;0.58;0.26;0.43;0.63;0.50;0.26
P/BV;3.00;2.38;1.40;;1.67;1.55;1.27;1.00
"Персонал, чел";;"2 503";"2 787";"2 937";"3 019";"3 272";;
"Производительность труда, млн руб/чел/год";;32.2;34.7;35.9;40.9;29.9;;
"Расходы/чел/год, тыс.р";;"1 685";"1 762";0.00;"1 729";"2 446";;
"R&D/CAPEX, %";;0.00%;0.00%;;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;1%;1%;0%;1%;2%;2%;1%
