date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,533.15,532.3,542.5,528.65,2927921634,
2025-02-11,538.9,533.8,542,529.8,2539876896,
2025-02-12,577.85,541,583.7,538.2,7086310700,
2025-02-13,573.3,578.1,594,556.75,9252176296,
2025-02-14,561.95,615,615,519.55,7374059617,
2025-02-17,585.2,569.8,585.25,566.1,3604969990,
2025-02-18,574.2,585.35,593.6,566.65,4958088756,
2025-02-19,575.95,575.2,579,564.6,2355608163,
2025-02-20,577.95,576,584.4,573.15,1806919866,
2025-02-21,572.55,580.2,581.7,567,2230828124,
2025-02-24,569.45,571,573.7,554.4,5154997009,
2025-02-25,582.8,569.5,585.9,567.05,5871164406,
2025-02-26,569.25,583,584.8,562.15,4678696799,
2025-02-27,552.85,570,571.95,551,4182266204,
2025-02-28,556.05,552.85,562.25,541,3889828370,
2025-03-01,559.95,559.45,560.8,558.8,48418090,
2025-03-02,557.45,559.95,560.4,555.2,83541455,
2025-03-03,539,557.95,558,535.1,4816321706,
2025-03-04,540.1,539.55,549.5,532,7493097804,
2025-03-05,530.5,541,541.8,530,5320165399,
2025-03-06,529.55,531,535.85,528.55,2660454867,
2025-03-07,528.8,531.4,536.95,520.4,3956237659,
2025-03-10,527.3,528.9,534.7,525.6,1955913115,
2025-03-11,527.35,528,531,523.5,1838839577,
2025-03-12,533.7,528,535.05,523.05,2645841836,
2025-03-13,528.15,533.7,537.5,518.4,5012303248,
2025-03-14,530.6,526,532.4,523.45,2163833048,
2025-03-15,532,531.25,532.35,530.25,103473342,
2025-03-16,535.5,532,535.55,530.6,414324710,
2025-03-17,539.55,536.05,544,535.1,3753382296,
2025-03-18,535.45,540.55,543.4,528.1,3850703227,
2025-03-19,535.9,537.9,539.6,530,1600474548,
2025-03-20,536.85,537.25,539.5,527.75,3217294649,
2025-03-21,534.6,537.4,541.85,531.9,2270390651,
2025-03-24,521.4,534.65,535.7,520.05,3167688868,
2025-03-25,521.7,521.45,525.35,510.75,3402797747,
2025-03-26,513.75,522.05,523.5,512.6,1291877914,
2025-03-27,502.4,515,515.85,501.1,2679067734,
2025-03-28,496.75,501,508.9,495.35,3453592383,
2025-03-29,491.1,497.9,498.6,488.75,434074108,
2025-03-30,485,490.15,490.85,485,483005584,
2025-03-31,490.5,484.8,497.35,477.75,3253765893,
2025-04-01,474.6,492.5,497.7,473.5,3968916917,
2025-04-02,477.9,475.15,483,468.3,4554323515,
2025-04-03,462.8,478,481.8,456.65,4269943338,
2025-04-04,441.3,465,466.95,441.1,7230642277,
2025-04-05,440,440.45,441.95,431.55,1274765389,
2025-04-06,447.5,442.2,449,440.15,686308591,
2025-04-07,450.7,428,456.35,416.15,9358734406,
2025-04-08,429,455,458.2,428.05,4976585130,
2025-04-09,446,427.45,449.8,416.35,8117633051,
2025-04-10,440.65,447.6,454,437.1,3204690898,
2025-04-11,450.9,438.05,453.55,437.05,2969879834,
2025-04-12,456.05,454.15,456.95,453.5,392225140,
2025-04-13,457.6,456,458.8,454.4,478590910,
2025-04-14,449.3,457.6,457.65,445.5,1853423717,
2025-04-15,452.05,449.5,454,446.5,1107010350,
2025-04-16,452.25,451.05,459.2,447.5,1568445984,
2025-04-17,478.7,453.45,479.9,453,6461163452,
2025-04-18,476.85,473.65,478,467.55,4118492502,
2025-04-21,482,479,485.15,475.25,2635358128,
2025-04-22,482.65,482.1,486.3,476,3179353610,
2025-04-23,471.4,482.65,484,467.7,2955493592,
2025-04-24,469.9,471.4,474.2,468,1506826889,
2025-04-25,480,470.05,481.55,470.05,2765868573,
