;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;19.02.2022;19.02.2022;19.02.2022;19.02.2022;14.02.2022;;;30.03.2020;;;;20.02.2025;;;;25.04.2018;14.05.2018;07.08.2018;06.11.2018;05.02.2019;13.05.2019;21.08.2019;06.11.2019;19.02.2020;15.05.2020;14.08.2020;13.11.2020;12.02.2021;14.05.2021;13.08.2021;12.11.2021;11.02.2022;20.02.2024;15.09.2022;07.12.2022;20.03.2023;31.05.2023;30.08.2023;07.12.2023;19.02.2024;30.05.2024;08.10.2024;29.11.2024;20.03.2025;30.05.2025;01.09.2025;28.11.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;;;;;;;;50.2;;;;56.1;56.1;56.7;56.5;55.5;56.5;58.7;59.5;57.6;56.7;57.9;58.0;57.0;49.6;48.5;50.0;45.5;47.8;49.3;49.5;46.0;46.0;48.9;50.0;50.4;48.2;48.0;49.4;47.1;45.7;45.5;45.7;44.6;44.7;45.4;180.4
"Переработка нефти, млн т";;;;;;;;23.8;25.2;23.6;22.6;24.8;22.5;;28.3;27.7;28.3;28.5;27.6;28.1;29.8;29.5;26.9;25.0;30.1;28.3;28.7;24.0;25.5;25.8;26.4;26.4;27.1;26.3;;45.8;25.2;;22.6;21.5;21.7;23.1;;;;;;;;
"Добыча газа, млрд м3";;;;;;;;;;;16.7;;;;17.2;17.0;16.7;17.6;16.9;16.5;16.6;17.3;17.1;16.3;16.3;17.2;16.6;15.2;15.0;16.1;15.0;16.1;16.8;16.9;;;52.9;21.5;22.1;21.6;21.0;50.1;23.7;23.1;20.2;20.5;20.2;19.1;18.9;78.7
"Выручка, млрд руб";;;;;;;;"1 312";"1 266";"1 196";"1 048";"1 232";"1 223";"1 485";"1 410";"1 399";"1 496";"1 709";"1 722";"2 065";"2 286";"2 165";"2 077";"2 135";"2 240";"2 224";"1 765";"1 039";"1 439";"1 514";"1 737";"2 167";"2 320";"2 537";"2 586";"2 586";"2 030";"1 843";"1 823";"2 043";"2 900";"2 397";"2 594";"2 580";"2 480";"2 485";"2 283";"1 980";"2 025";"8 773"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;101.0;-32.0;159.0;150.0;243.0;367.0;425.0;469.0;;;;359.0;488.0;514.0;776.0;404.0;646.0;581.0;446.0;456.0;356.0;226.0;232.0;"1 270"
"EBITDA, млрд руб";;;;;;;;311.0;244.0;278.0;273.0;348.0;292.0;365.0;333.0;306.0;371.0;393.0;385.0;565.0;643.0;488.0;548.0;515.0;554.0;488.0;309.0;170.0;366.0;364.0;445.0;571.0;638.0;676.0;738.0;738.0;"1 014";537.0;672.0;729.0;"1 002";602.0;846.0;804.0;671.0;708.0;598.0;456.0;587.0;"2 349"
"Чистая прибыль, млрд руб";;;;;;;;134.0;113.0;53.0;14.0;89.0;26.0;52.0;13.0;68.0;47.0;255.0;123.0;257.0;267.0;185.0;242.0;230.0;262.0;184.0;34.0;-56.0;108.0;85.0;179.0;265.0;334.0;279.0;216.0;216.0;159.0;222.0;323.0;329.0;419.0;196.0;399.0;374.0;153.0;158.0;170.0;75.0;32.0;435.0
"Чистая прибыль н/с, млрд руб";;;;;;;;;;;;;;;;;;;81.0;228.0;142.0;109.0;131.0;194.0;225.0;158.0;-156.0;43.0;-64.0;324.0;149.0;233.0;314.0;187.0;;;;;;;;;;;;;;;;
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;341.0;42.0;242.0;"1 120";160.0;293.0;477.0;236.0;;;;;492.0;492.0;962.0;819.0;444.0;643.0;683.0;695.0;365.0;551.0;;"1 611"
"CAPEX, млрд руб";;;;;;;;141.0;140.0;186.0;154.0;154.0;167.0;234.0;192.0;215.0;223.0;292.0;223.0;229.0;227.0;257.0;214.0;222.0;198.0;220.0;185.0;182.0;202.0;216.0;225.0;237.0;227.0;360.0;263.5;263.5;295.0;310.0;275.0;324.0;310.0;388.0;269.0;427.0;356.0;390.0;382.0;387.0;349.0;"1 508"
"FCF, млрд руб";;;;;;;;210.0;177.0;140.0;80.0;61.0;84.0;25.0;89.0;59.0;8.00;89.0;142.0;221.0;509.0;261.0;197.0;135.0;281.0;282.0;219.0;-13.0;146.0;73.0;190.0;315.0;375.0;164.0;;;;;217.0;217.0;652.0;341.0;316.0;384.0;352.0;243.0;;173.0;418.0;834.0
"Див.выплата, млрд руб";;;;;;;;;;;;;;;;40.6;;70.5;;154.5;;120.1;;162.6;;191.5;;;;73.6;;191.0;;250.4;;216.1;;190.4;;;326.1;307.5;;;386.5;155.6;;;122.5;278.1
