;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;19.02.2022;19.02.2022;19.02.2022;19.02.2022;14.02.2022;30.03.2020;20.02.2025;25.04.2018;05.02.2019;19.02.2020;12.02.2021;11.02.2022;20.03.2023;19.02.2024;20.03.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";110.1;112.8;119.6;128.8;134.9;189.2;204.9;202.8;210.0;225.0;230.0;230.0;205.0;192.1;191.0;193.6;184.0;180.4
"Переработка нефти, млн т";49.3;49.8;50.5;55.9;59.6;90.1;99.8;96.9;100.3;112.8;115.0;110.0;104.0;106.1;94.4;88.0;82.6;
"Добыча газа, млрд м3";;;;12.8;16.4;38.2;56.7;62.5;67.1;68.4;67.3;67.0;56.9;64.8;74.4;92.7;87.5;78.7
"Выручка, млрд руб";;;"1 919";"2 718";"3 078";"4 694";"5 503";"5 150";"4 988";"6 011";"8 238";"8 676";"5 757";"8 761";"9 049";"9 163";"10 139";"8 773"
"Операционная прибыль, млрд руб";;;380.0;433.0;412.0;555.0;593.0;708.0;655.0;624.0;"1 284";"1 305";378.0;"1 504";;"2 182";"2 129";"1 270"
"EBITDA, млрд руб";;;582.7;662.0;609.0;947.0;"1 057";"1 245";"1 278";"1 400";"2 081";"2 105";"1 209";"2 330";"2 551";"3 005";"3 029";"2 349"
"Чистая прибыль, млрд руб";143.0;253.0;301.0;319.0;342.0;388.0;348.0;479.0;418.0;383.0;828.0;914.0;168.0;"1 057";813.0;"1 267";"1 084";435.0
"Чистая прибыль н/с, млрд руб";;;;331.0;363.0;545.0;348.0;355.0;174.0;222.0;549.0;705.0;132.0;883.0;813.0;;;
"Операционный денежный поток, млрд руб";;;478.0;487.0;521.0;"1 213";"1 626";"2 195";679.0;337.0;"1 502";"1 110";"1 745";"1 166";;"2 765";"2 465";"1 611"
"CAPEX, млрд руб";;;264.0;391.0;466.0;560.0;533.0;595.0;709.0;922.0;936.0;854.0;785.0;"1 049";"1 132";"1 297";"1 442";"1 508"
"FCF, млрд руб";;;;96.0;45.0;204.0;596.0;657.0;302.0;245.0;"1 133";884.0;425.0;"1 044";989.0;"1 427";"1 295";834.0
"Див.выплата, млрд руб";20.3;24.4;29.2;78.5;85.3;136.2;87.0;124.5;63.4;111.1;274.6;354.1;73.6;441.5;406.5;633.6;542.1;278.1
"Дивиденд, руб/акцию";1,92;2,3;2,76;7,53;8,05;12,85;8,21;11,75;5,98;10,48;25,91;33,41;6,94;41,66;38,36;59,78;51,15;26,24
