date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,65.19,65.17,66.98,64.8,461884772,
2025-02-11,69.66,65.26,69.7,65.25,1053310346,
2025-02-12,74.19,69.69,74.64,67.4,2120197473,
2025-02-13,72.19,74.2,74.64,70.11,1180326090,
2025-02-14,72.38,70.78,75,70.78,914648822,
2025-02-17,74.88,73,75,73,555053569,
2025-02-18,71.94,74.9,75,71.5,640071544,
2025-02-19,74.85,71.86,75.6,71.86,679491758,
2025-02-20,78.6,74.67,79,74.11,1616783893,
2025-02-21,80.3,78.4,80.92,77.69,1114628958,
2025-02-24,80.16,80.3,80.46,78.64,685313145,
2025-02-25,79.57,79.8,80.63,78.2,508085458,
2025-02-26,73.61,79.57,80.15,73.5,1738255765,
2025-02-27,70.44,73.44,73.96,70.11,1021135073,
2025-02-28,72.12,69.77,73.38,68.7,892950772,
2025-03-01,71.83,72.49,72.49,71.82,7072778,
2025-03-02,71.12,71.59,71.85,71.11,30308750,
2025-03-03,69.52,70.58,71.12,68.31,716791561,
2025-03-04,72.2,69.21,72.74,69.21,634589143,
2025-03-05,71.81,72.2,74.28,71.22,765771594,
2025-03-06,72.55,71.9,73.44,71.53,357686484,
2025-03-07,71.04,72.55,73.15,69.55,420025653,
2025-03-10,71.19,71.48,72.03,70.9,255427764,
2025-03-11,69.78,71.15,71.44,69.14,484294286,
2025-03-12,68.04,69.11,70.17,67.42,679310645,
2025-03-13,68.22,68.22,69.75,66.55,608440932,
2025-03-14,69.85,68.22,70.2,66.81,743771383,
2025-03-15,70.21,69.85,70.54,69.65,17324504,
2025-03-16,70.98,69.84,71,69.61,40312424,
2025-03-17,70.79,70.98,72.1,70.21,357554582,
2025-03-18,69.79,70.81,71.5,69.44,404117441,
2025-03-19,70.34,70,70.59,68.87,264522603,
2025-03-20,70.56,70.2,71.38,68.8,561199797,
2025-03-21,70.39,70.49,71,69.8,415686427,
2025-03-24,71.46,70.3,72.36,69.62,740732360,
2025-03-25,72.5,71.46,73.18,70.54,948472888,
2025-03-26,71.14,72.7,73.2,70.51,442087958,
2025-03-27,68.28,71.09,71.4,68.08,636313543,
2025-03-28,65.97,68.21,68.91,65.15,706766494,
2025-03-29,65.3,65.91,66.3,64.89,31722400,
2025-03-30,64.89,65.29,65.69,64.89,18445460,
2025-03-31,66.11,64.89,66.97,63.26,498219214,
2025-04-01,63.69,66.11,68.22,63.69,682174118,
2025-04-02,65.42,64.36,65.93,63.72,490191296,
2025-04-03,62.7,65.45,66.07,61.5,710255777,
2025-04-04,59.37,63.02,63.56,58.87,692388358,
2025-04-05,58.58,59.37,59.58,58.09,55812921,
2025-04-06,59.79,58.67,59.94,58.65,106548957,
2025-04-07,59.2,59.3,60.6,54.21,890673690,
2025-04-08,59.23,58.88,61.52,58.88,588956778,
2025-04-09,61.73,59.73,62,56,766621875,
2025-04-10,60.57,61.7,62.9,59.73,529107726,
2025-04-11,59.24,60.21,62.98,58.12,1568382198,
2025-04-12,59.73,59.73,59.88,59.73,74674608,
2025-04-13,59.73,59.73,59.73,59.73,35860697,
2025-04-14,55.77,59.5,59.5,55.38,1998879084,
2025-04-15,55.69,55.77,56.39,54.31,1277768096,
2025-04-16,56.65,55.6,57.78,55.01,957745506,
2025-04-17,57.42,56.63,57.7,56.53,383702333,
2025-04-18,56.96,56.8,57.33,56.02,318554397,
2025-04-21,57.77,57.16,57.99,56.9,247679929,
2025-04-22,60.86,57.7,61.3,57.57,849598428,
2025-04-23,59.7,60.72,60.86,58.53,471631648,
2025-04-24,60.94,59.75,61.87,59.7,593059728,
2025-04-25,61.47,60.94,62,60.67,473848699,
2025-04-26,61.5,61.55,62,61.35,77193948,
2025-04-27,61.7,61.8,62,61.61,11706218,
2025-04-28,59.85,61.6,62.22,58.97,1148277326,
2025-04-29,57.81,59.95,60.43,57.54,421806323,
2025-04-30,57.7,57.85,58,56.29,458199010,
2025-05-02,55.6,57.7,57.87,55.55,248584273,
2025-05-03,55.66,55.51,56.44,55.51,23163189,
2025-05-04,56.62,55.66,56.94,55.43,62990202,
2025-05-05,55.37,56.52,56.78,54.6,353507325,
2025-05-06,55.28,55.1,56.25,54.72,401243680,
2025-05-07,56.15,55.28,56.4,54.85,260783857,
2025-05-08,57.26,56.47,57.92,56.3,279456284,
2025-05-10,57.15,57.26,57.63,56.85,21788004,
2025-05-11,57.48,57.69,57.99,57.06,76563780,
2025-05-12,58.36,58.05,58.85,57.57,482684055,
2025-05-13,57.17,58.45,58.69,55.84,919869621,
2025-05-14,56.58,57.2,57.97,56.4,474086987,
2025-05-15,56.2,56.5,56.92,55,353479999,
2025-05-16,55.93,56.2,56.46,55,389940319,
2025-05-17,57.07,55.99,57.25,55.93,50876014,
2025-05-18,57.35,57.17,57.65,57.02,52696785,
2025-05-19,55.95,57.1,57.33,55.8,564814183,
2025-05-20,55,56.16,56.2,54.74,464313205,
2025-05-21,54.5,55.05,55.49,54.5,276339186,
2025-05-22,54.41,54.5,55.47,53.23,585073138,
2025-05-23,54.04,54.61,54.77,53.81,261432533,
2025-05-26,52.79,54.03,54.25,52.48,328955228,
2025-05-27,55.34,52.79,55.6,51.55,641889794,
2025-05-28,55.82,55.22,56.5,55.05,509074721,
2025-05-29,55.22,56.01,56.7,54.97,584430996,
2025-05-30,57.87,55.22,58,54.91,1158767508,
2025-05-31,58.41,58,58.85,57.97,100113749,
2025-06-01,56.73,58.41,58.59,56.22,233318666,
2025-06-02,58.48,56.8,58.92,56.46,740850199,
2025-06-03,59.99,58.49,60.1,58,620499325,
2025-06-04,58.55,60.06,60.91,58.24,625809260,
2025-06-05,59.47,58.55,60.38,58.55,534526447,
2025-06-06,56.98,58.91,61.83,56.45,1234910071,
2025-06-07,57.13,57.17,57.2,56.82,28448392,
2025-06-08,57.12,57.14,57.35,56.6,39884212,
2025-06-09,56.27,56.88,57.49,55.5,430583934,
2025-06-10,55.45,56.35,56.68,55.04,223607842,
2025-06-11,54.93,55.5,55.97,54.82,263213293,
2025-06-13,54.95,55.5,55.69,54.65,106663078,
2025-06-14,55.19,54.95,55.28,54.95,13011404,
2025-06-15,55.3,55.35,55.59,55.05,26591211,
2025-06-16,53.88,55.45,55.5,53.72,290242058,
2025-06-17,54.99,53.88,55.15,53.84,279701085,
2025-06-18,54.66,55,55.14,54.14,191920405,
2025-06-19,54.35,54.7,54.91,54.02,231281682,
2025-06-20,54.07,54.15,54.72,53.91,171783588,
2025-06-23,52.91,54.07,54.23,52.22,672322980,
2025-06-24,54.02,53.22,54.25,52.6,225536438,
2025-06-25,56.41,54.19,56.6,53.93,860545431,
2025-06-26,56.24,56.32,57.1,55.41,442021517,
2025-06-27,56.68,56.24,56.9,55.55,416313480,
2025-06-28,56.83,56.89,57.19,56.65,34777060,
