date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,34.915,34.9,35.9,34.46,1050079852,
2025-02-11,35.92,34.92,36.25,34.755,991226810,
2025-02-12,37.435,35.93,38,35.255,1369246298,
2025-02-13,36.2,37.49,38.4,35.86,1621020012,
2025-02-14,36.445,35.005,37.175,35.005,1132018736,
2025-02-17,37.975,36.845,38.2,36.84,835815819,
2025-02-18,37.85,38.07,39.4,37.225,2295540877,
2025-02-19,37.695,37.83,38.32,36.9,1590052624,
2025-02-20,38.94,37.8,39.4,37.695,1149867101,
2025-02-21,38.98,38.79,39.57,38.185,1307505772,
2025-02-24,41.495,39,41.495,38.38,3749490916,
2025-02-25,40.865,42.17,43.82,40.625,7845999743,
2025-02-26,41.01,41.415,42,39.845,4194642757,
2025-02-27,39.29,41,41.245,39.21,2599354190,
2025-02-28,39.565,39.29,39.995,38.51,3360436370,
2025-03-01,39.915,39.905,40.295,39.84,72405631,
2025-03-02,39.695,39.85,39.94,39.57,62015015,
2025-03-03,39.935,40,40.455,38.695,1646961334,
2025-03-04,41.72,40.045,42.19,40.04,2673034370,
2025-03-05,40.485,41.725,41.99,40.05,1744849070,
2025-03-06,41.345,40.6,41.495,40.6,1188420949,
2025-03-07,42.175,41.345,43.2,41.165,3644097060,
2025-03-10,43.045,42.175,43.595,42.155,3507866884,
2025-03-11,42.67,43.075,43.49,42.345,1747090596,
2025-03-12,41.905,42.595,42.9,41.5,984514196,
2025-03-13,42.005,41.9,42.75,40.515,1958637935,
2025-03-14,42.43,42,42.575,41.6,1316174126,
2025-03-15,42.535,42.48,42.645,42.42,43558390,
2025-03-16,42.805,42.535,42.865,42.405,111002966,
2025-03-17,43.495,42.805,43.8,41.7,2229147081,
2025-03-18,42.03,43.6,44,41.825,2447204003,
2025-03-19,42.65,42.03,42.88,41.89,888219209,
2025-03-20,42.85,42.7,43.09,42.27,1363703602,
2025-03-21,42.22,42.85,43.12,41.78,884679554,
2025-03-24,41.045,42.185,42.185,40.51,1096340142,
2025-03-25,41.37,41,41.43,40.2,836794479,
2025-03-26,40.41,41.5,41.645,40.25,462111684,
2025-03-27,39.555,40.26,40.47,39.5,753728332,
2025-03-28,39.5,39.5,39.96,39,816897702,
2025-03-29,38.61,39.4,39.4,38.61,72813988,
2025-03-30,38.61,38.61,38.925,38.61,30455824,
2025-03-31,38.28,38.24,39.915,37.735,1132932854,
2025-04-01,37.455,38.25,39.15,37.3,1130575889,
2025-04-02,38.135,37.16,38.4,37.02,759679102,
2025-04-03,36.84,38.165,38.5,36.12,889026118,
2025-04-04,34.17,37.465,37.465,34.12,1366304110,
2025-04-05,34.385,34.155,34.455,34.155,74757086,
2025-04-06,34.805,34.385,34.85,34.22,84691487,
2025-04-07,32.93,34.385,34.385,31.955,1542383712,
2025-04-08,31.88,32.935,33.75,31.74,795098412,
2025-04-09,33.8,31.87,33.87,30.94,1239758301,
2025-04-10,33.57,33.805,34.06,32.94,647501906,
2025-04-11,33.765,33.3,34.01,33.21,524932400,
2025-04-12,34.46,33.78,34.5,33.78,87085807,
2025-04-13,34.595,34.475,34.595,34.385,50322998,
2025-04-14,32.875,34.6,34.695,32.6,1016273927,
2025-04-15,33.095,32.9,33.45,32.72,589836663,
2025-04-16,33.035,33.24,33.605,32.41,430002305,
2025-04-17,33.875,33.045,33.98,33.02,424844501,
2025-04-18,33.28,33.15,33.76,32.65,431526877,
2025-04-21,34.055,33.42,34.325,33.35,448658698,
2025-04-22,34.785,34.155,35.31,33.8,647830749,
2025-04-23,34.21,34.71,34.965,33.74,419920419,
2025-04-24,34.055,34.4,34.555,33.85,249850990,
2025-04-25,35.14,34.21,35.3,34.07,687933585,
2025-04-26,35.47,35.36,35.935,35.355,151776576,
2025-04-27,35.735,35.5,35.755,35.405,34457365,
2025-04-28,35.19,35.75,36.165,34.81,850117184,
2025-04-29,34.135,35.3,35.355,33.55,582319938,
2025-04-30,33.89,34.15,34.24,33.05,785201048,
2025-05-02,32.52,33.8,33.88,32.49,364075480,
2025-05-03,32.645,32.545,32.93,32.435,20086317,
2025-05-04,32.76,32.645,32.8,32.54,21485191,
2025-05-05,32.135,32.76,32.935,31.93,291851437,
2025-05-06,32.32,32.315,32.875,31.845,443403494,
2025-05-07,33,32.255,33.25,32.145,304533535,
