;2013Q4;2014Q1;2014Q2;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q2;2022Q4;2023Q1;2023Q2;2023Q4;2024Q2;2024Q4;2025Q2;LTM
"Дата отчета";05.07.2018;;;05.07.2018;;;;;;;;26.06.2018;;;;26.06.2018;11.05.2018;06.08.2018;05.11.2018;07.03.2019;14.05.2019;09.08.2019;08.11.2019;13.03.2020;;13.08.2020;;17.03.2021;;13.08.2021;;30.03.2022;12.08.2022;17.03.2023;;11.08.2023;15.03.2024;29.08.2024;14.03.2025;15.08.2025;15.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Производство алюминия, тыс т";;;;;;;;;916.0;919.0;920.0;930.0;910.0;921.0;931.0;944.0;;939.0;940.0;943.0;928.0;938.0;942.0;949.0;940.0;927.0;939.0;950.0;932.0;936.0;943.0;953.0;"1 891";"1 944";;"1 913";"1 935";"1 957";"2 035";"1 924";"3 959"
"Продажи алюминия, тыс т";;;;;;;;;;958.0;981.0;922.0;985.0;"1 002";968.0;"1 000";;783.0;"1 046";877.0;896.0;"1 082";"1 091";"1 107";914.0;976.0;"1 008";"1 028";962.0;"1 038";915.0;989.0;"1 763";"2 133";;"1 935";"2 218";"1 878";"1 982";"2 286";"4 268"
"Продажи ПДС, тыс т";;;;;;;;;;;;;;;479.0;462.0;;;;;259.0;414.0;430.0;443.0;421.0;363.0;455.0;483.0;468.0;542.0;498.0;527.0;;;;;;;;;
"Цена алюминия, $/т";;;;;;;;;;"1 712";"1 754";"1 799";"1 949";"2 081";"1 962";"2 102";;"2 259";"2 274";"2 115";"1 949";"1 794";"1 896";"1 873";"1 864";"1 654";"1 762";"1 940";"2 116";"2 445";"2 729";"2 927";"3 417";"2 622";;"2 531";"2 347";"2 519";"2 635";"2 630";"2 630"
"Себестоимость алюминия, $/т";;;;;;;;;;;;;;;;;;;;;;;;;;"1 564";"1 592";;;"1 523";;"1 808";"2 028";"2 325";;"2 297";"2 062";"1 974";"2 074";"2 265";"2 265"
"Загрузка мощностей, %";;;;;;;;;;;;;;;;;;;;;;;;;;95.0%;96.0%;;;;;;;;;;;;;;
"Выручка, млрд руб";;142.8;130.6;;154.1;119.7;133.1;122.5;142.8;130.6;133.1;127.7;135.1;141.0;145.2;160.1;155.8;139.5;191.2;157.9;142.8;166.4;160.6;158.2;;289.7;;328.3;;405.0;;478.7;545.9;412.1;;457.2;584.0;516.4;584.5;654.5;"1 239"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;-7.35;;27.5;;70.0;;80.0;116.9;-26.7;;-2.54;-4.16;39.9;-6.40;21.9;15.5
"EBITDA, млрд руб";;23.3;22.7;;44.8;29.9;27.2;20.2;23.3;22.7;27.2;26.0;27.9;29.1;32.4;34.1;32.5;34.2;44.3;24.6;14.9;19.6;15.3;12.7;;15.8;;47.0;;98.0;;115.2;137.9;1.13;;22.3;44.7;71.3;64.8;65.1;129.9
