date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,289.94,287.61,294.55,287.61,21267188580,
2025-02-11,294.06,290.35,294.1,289.3,16355814309,
2025-02-12,314,294.3,314.4,291.3,56277149585,
2025-02-13,310.1,315.61,318.72,307.2,36604642922,
2025-02-14,309.87,315.59,317.84,303.06,39525316749,
2025-02-17,319.5,314,319.55,312.31,26824441532,
2025-02-18,312.95,319.99,320.92,310.21,26823149077,
2025-02-19,315.91,313.53,317.25,311.01,15868701994,
2025-02-20,315.05,315.91,317.96,314.02,10477695990,
2025-02-21,314.74,315.48,316.69,312,10285495344,
2025-02-24,316.03,314.92,316.4,313,11245263329,
2025-02-25,316.97,316.03,318.59,315.62,12313543551,
2025-02-26,310.22,316.97,317.45,308.31,23040552826,
2025-02-27,307.1,310.22,312.45,305.43,18840933180,
2025-02-28,309.63,306.01,310.4,304.05,20165953351,
2025-03-01,310.11,309.84,310.94,309.47,352894151,
2025-03-02,307.44,309.5,309.63,306.8,580768223,
2025-03-03,305.5,306.45,307.92,300.2,20184378218,
2025-03-04,316.4,306.95,318.5,306.14,27673062102,
2025-03-05,313.56,316.4,318.3,313,18258763571,
2025-03-06,315.18,313.6,317.43,313.57,10074119599,
2025-03-07,316.92,315.19,321.87,310.69,35131355149,
2025-03-10,317.57,316.98,320.63,316.37,12523199814,
2025-03-11,319.69,317.7,321.98,315.57,20743337430,
2025-03-12,318.39,319.99,320.9,315.8,13354955867,
2025-03-13,316.37,318.39,320.5,312.5,24872186568,
2025-03-14,320.51,316,321.1,314.12,16479988152,
2025-03-15,320.74,320.69,321.3,319.82,466802663,
2025-03-16,323.44,320.52,323.5,320.52,1832146317,
2025-03-17,326.02,323.44,326.97,322.62,19106596632,
2025-03-18,324.06,326.2,329.77,323.82,23858590971,
2025-03-19,325.3,324.5,326.88,322.3,12924249479,
2025-03-20,324.05,325.41,326,321.8,13733625340,
2025-03-21,323.26,323.8,326.08,322.15,9307475192,
2025-03-24,319.47,323.26,323.94,318.51,10625951470,
2025-03-25,319.8,320,322.2,314.65,15393054646,
2025-03-26,315.23,319.9,320.88,315.01,6538901138,
2025-03-27,311.96,315.51,317.16,311.95,11358486600,
2025-03-28,308.04,311.96,313.65,305.65,16031305830,
2025-03-29,303.89,307.8,308.3,302.64,1747735531,
2025-03-30,299.22,303.2,305.3,298.8,2759610417,
2025-03-31,309.72,300,310.88,300,14913988983,
2025-04-01,303.24,310.5,312.9,302.7,14189067837,
2025-04-02,306.11,303.23,306.5,301.21,12239463777,
2025-04-03,302.09,306.21,309.2,296,15830422691,
2025-04-04,285.35,303.55,304.37,284.4,26036638105,
2025-04-05,284.98,285.25,287.03,280.11,3989185557,
2025-04-06,290.35,285.35,290.47,284.22,2521287511,
2025-04-07,287.56,285.3,294,275.76,35622731488,
2025-04-08,282.03,290,294.66,281.5,18971747387,
2025-04-09,293.4,280.91,294.48,276.33,31178982733,
2025-04-10,292.21,294.09,296.75,291.55,14533935000,
2025-04-11,299.81,293,300.48,292.8,15032498602,
2025-04-12,300.95,300.18,301.8,300.03,1390132352,
2025-04-13,301.49,300.88,301.99,300.01,1229399056,
2025-04-14,296.5,301.49,302.4,295.13,10383449717,
2025-04-15,297.99,296.51,300.45,295.6,7237200065,
2025-04-16,300.8,298,303.3,296.06,9025534176,
2025-04-17,304.8,300.89,305.07,300.41,11378109269,
2025-04-18,300.01,302.7,303.85,296.25,13843312685,
2025-04-21,308.12,302.67,308.7,301.76,15696937031,
2025-04-22,312.25,308.5,315,306.55,19986720462,
2025-04-23,310,313,314.98,305.55,18205856288,
2025-04-24,310.16,310.77,312.8,309.09,7504459729,
2025-04-25,316.69,310.85,317.87,310.71,16278145183,
2025-04-26,317.58,318.42,320.26,317,3030912426,
2025-04-27,318.18,318.2,318.97,317.39,711972353,
2025-04-28,314.23,318.36,320,313.52,16579805833,
2025-04-29,309.41,314.99,315.45,308.1,9421538560,
2025-04-30,307.8,309.28,309.95,303.12,12646916301,
2025-05-02,299.96,307.8,307.8,299.7,5981323145,
2025-05-03,300.7,299.9,302.24,299.52,885285489,
2025-05-04,301.8,300.7,302.78,300.02,864836754,
2025-05-05,294.64,301.8,302.59,291.66,13480322823,
2025-05-06,302.02,294.65,304.75,292.05,14773158821,
2025-05-07,302.79,302.5,304.24,300.56,8976384139,
2025-05-08,302.15,302.9,306,300.61,6320270506,
2025-05-10,302.38,303.53,304,301.7,631306314,
2025-05-11,305.48,305.85,307.64,304.55,2502211997,
2025-05-12,310.81,307.53,311.49,307.26,10750497142,
2025-05-13,311.24,310.8,312.5,309.61,7704228262,
2025-05-14,304.21,311.5,313.71,304.04,8424502346,
2025-05-15,304.72,304.2,307.77,300.49,14406540059,
2025-05-16,306.34,304.7,308.88,296.56,19427040526,
2025-05-17,308.89,306.34,309.48,306.01,1477623227,
2025-05-18,311.15,309.67,311.86,309.3,1679170653,
2025-05-19,308.33,311.5,313,306.34,13788573869,
2025-05-20,306.16,308.88,309.55,304.7,6083077283,
2025-05-21,303.98,306.17,307.56,302.89,6242559258,
2025-05-22,302.66,304.5,305.6,299.17,10582114096,
2025-05-23,302.22,302.66,305,301.33,5198782407,
2025-05-26,297.77,302.22,302.49,295.5,10306538220,
2025-05-27,298.7,297.73,299.9,293.08,7673014297,
2025-05-28,308.47,299,308.82,299,14648131212,
2025-05-29,306.65,308.61,309.95,305.66,7398147137,
2025-05-30,309.3,306.27,310.29,305.01,6759369553,
2025-05-31,308.74,309.31,309.84,308.31,451073946,
2025-06-01,303.14,308.69,308.69,300.51,3618159889,
2025-06-02,309.63,302.6,311.99,302,12643311908,
2025-06-03,313.55,309.7,314.88,309.39,10951973457,
2025-06-04,313.23,314,318.29,311.17,16958795557,
2025-06-05,317.96,313.55,318.59,313.53,8986855429,
2025-06-06,313.13,318.35,325.43,312.52,32500344718,
2025-06-07,314.65,314,314.95,313.72,635883392,
2025-06-08,314.35,314.66,314.88,313.61,508442301,
2025-06-09,311.17,314.69,315.51,310,9389216316,
2025-06-10,308.68,311.21,313.3,307.55,8619271205,
2025-06-11,312,309.53,313.6,308.03,8191275736,
2025-06-13,310.2,313.28,313.39,309.53,4174681243,
2025-06-14,310.29,310.21,311.17,309.55,449114079,
2025-06-15,310.09,310.97,311.4,309.74,605167042,
2025-06-16,311.5,310.2,314.37,309.81,6656435011,
2025-06-17,313.56,311.61,314.93,310.5,7304100659,
2025-06-18,313.38,313.56,314.82,311.63,5520966745,
2025-06-19,312.46,313.41,316.45,312.14,9522281144,
2025-06-20,309.7,312.46,313.59,309.3,6863014852,
2025-06-23,310.17,310.9,311.44,308.04,4938806149,
2025-06-24,311.37,310.3,312.02,309,5897307982,
2025-06-25,313.78,311.65,314.29,311.57,6341067887,
2025-06-26,312.84,313.8,314.5,312.74,4068113458,
2025-06-27,315.18,313.03,315.5,313,5982192972,
2025-06-28,315.31,315.2,315.67,315.11,281025070,
2025-06-29,315.95,315.32,317.5,315.31,835561529,
2025-06-30,316.15,315.95,317.7,314.6,8408743051,
2025-07-01,318.42,316.69,319.6,316.3,6964251168,
2025-07-02,319.43,318.96,319.85,317.41,6600317218,
2025-07-03,319.17,319.53,321.5,318.74,6500049426,
2025-07-04,319.44,318.85,321.41,317.5,5689934411,
2025-07-05,319.55,319.5,320.6,319.5,214954813,
2025-07-06,319.37,319.65,319.7,319.29,132902587,
2025-07-07,313.5,319.38,319.94,312.82,9439148210,
2025-07-08,309.71,313.34,315.31,309.6,7996138126,
2025-07-09,310.09,310.01,312.3,307.6,9252314230,
2025-07-10,314.01,310.77,315.07,310.5,7434156902,
2025-07-11,309.88,314.5,317.88,308.85,12241821099,
2025-07-12,310.2,310,311,310,271310868,
2025-07-13,309.44,310.5,310.91,308.8,329908157,
2025-07-14,317.97,308.96,318.85,304.38,18403047475,
2025-07-15,319.99,318.16,320.43,316.6,12910720451,
2025-07-16,321.58,320,322,319.54,11827832481,
2025-07-17,327.05,321.26,329.23,321.19,29731917686,
2025-07-18,309,300.45,309.4,300.25,35354690604,
2025-07-19,312.42,309.69,313.91,309.59,2819873173,
2025-07-20,312.58,313.49,313.78,312.05,1540377815,
2025-07-21,310.4,312.99,314.56,309.31,13947179362,
2025-07-22,310.67,310.65,311.72,308.55,8360752088,
2025-07-23,313.08,311,314.49,310.78,11718452317,
2025-07-24,310.83,313.09,313.99,309.75,8668962709,
2025-07-25,308.93,310.86,311.76,306,15731070355,
2025-07-26,308.91,309.35,309.95,308.86,414202470,
2025-07-27,308.83,308.86,309.15,308.12,545606847,
2025-07-28,303.97,309.44,309.45,303.54,11817029725,
2025-07-29,305.26,304.77,308.26,303.05,9375226490,
2025-07-30,303.3,305.58,306.2,303.2,4412739606,
2025-07-31,304.95,303.9,305.79,302.81,6052599147,
2025-08-01,304.22,305.41,307.5,302.89,5640029361,
2025-08-04,307.95,305.3,308.12,304.5,8705418280,
2025-08-05,307.38,307.97,308.67,305.25,6600273789,
2025-08-06,310.22,307.4,312.96,303.33,18467299362,
2025-08-07,313.43,310.22,316.5,308.76,22585748627,
2025-08-08,317.97,314.68,317.98,312.6,11005948334,
2025-08-11,317.82,321.72,322.9,317.05,13561508440,
2025-08-12,318,318.17,318.99,316.6,5965464945,
2025-08-13,317.51,318,319.7,317.05,6725812960,
2025-08-14,318.73,317.6,319.2,314.81,8396973453,
2025-08-15,319.4,318.9,320.5,318.45,8332392054,
2025-08-16,315.17,316.86,316.88,310.03,3237814222,
2025-08-17,314.97,315.5,315.8,314.8,599506864,
2025-08-18,318.38,315.01,319.89,314.3,11110049777,
2025-08-19,316.5,318.98,319.73,316.29,6964277289,
2025-08-20,314.17,316.53,317.51,313.02,5869479046,
2025-08-21,309.98,314.17,315.1,309.28,9613839595,
2025-08-22,312.05,310.11,312.49,309.75,4824423002,
2025-08-23,312.3,312.11,312.5,311.55,177227685,
2025-08-24,311.84,312.3,312.45,311.5,227834332,
2025-08-25,311.42,311.84,312.3,308.75,4747806801,
2025-08-26,311.79,311.11,314,310.5,3529157240,
2025-08-27,312.78,312,313.78,311.06,3654563019,
2025-08-28,310.82,313.03,314.5,310.12,6341434576,
2025-08-29,310.04,311.18,311.82,308.95,4611253588,
2025-08-30,309.92,309.99,310.54,309.71,242165422,
2025-08-31,310.99,309.92,311.24,309.92,339862515,
2025-09-01,309.2,310.86,312.5,308.82,3429144391,
2025-09-02,308.44,309.2,310.1,307.05,5366665365,
2025-09-03,309.49,308.45,309.68,307.21,3233933499,
2025-09-04,308.74,309.6,310.8,307.5,3974488416,
2025-09-05,310.5,309.1,311.16,308.8,3614081672,
2025-09-06,310.13,310.5,310.9,310.1,203152780,
2025-09-07,310.69,310.13,311,310.13,228108774,
2025-09-08,312.83,310.44,313.26,310.31,5299396869,
2025-09-09,313.06,313,314.25,311.62,5359212726,
2025-09-10,309.76,313.65,313.65,309,5999706054,
2025-09-11,307.11,309.76,310.77,305.8,9052430559,
2025-09-12,303.5,307.5,308.72,302.53,12001884293,
2025-09-13,302.84,303.61,303.8,302.65,387970484,
2025-09-14,303.97,303.18,304.25,302.72,475448886,
2025-09-15,302.48,304,304.75,300.71,6637780297,
2025-09-16,301.8,303,304.2,299.7,7874847903,
2025-09-17,304.5,301.8,305.92,299.8,9515741220,
2025-09-18,301.68,304.8,305.05,300.66,8315372549,
2025-09-19,294.84,301.6,303.8,294.61,11635708803,
2025-09-22,298.05,295.86,299.3,292.16,12146855505,
2025-09-23,291.6,298.26,300.11,290.39,10055129316,
2025-09-24,293.31,291.8,296.64,288.4,14013824160,
2025-09-25,289.9,293.87,294.89,289.5,6131641048,
2025-09-26,291.33,290.2,292.79,288.52,6577490806,
2025-09-27,291.69,291.03,292,291.03,210816051,
2025-09-28,291.08,291.69,291.85,290.95,173916727,
2025-09-29,287.57,291.4,295.5,286.5,10173459123,
2025-09-30,288.36,287.67,289.88,285.24,8448898245,
2025-10-01,286.4,288.88,290.39,285.11,6576740304,
2025-10-02,285.22,286.4,287.15,282.8,7977142960,
2025-10-03,282.91,285.75,287.32,282.58,4866587736,
2025-10-04,280.4,283,283,279.39,1580689004,
2025-10-05,281.99,280.4,282.13,279.14,687662202,
2025-10-06,290.56,282.39,291.17,281.82,10457639041,
2025-10-07,293.89,290,295.87,288.75,11118592914,
2025-10-08,281.9,293.93,295,278,21455966507,
2025-10-09,289.37,282.8,290.45,278.75,21756142085,
2025-10-10,285.12,289.9,289.95,284.1,9802145252,
2025-10-11,285.16,284.4,285.31,282.22,678528795,
2025-10-12,286.81,285.12,286.85,285,475355856,
2025-10-13,285.39,286.99,288.75,282.35,9474558808,
2025-10-14,283.3,285.5,286.99,282.05,6336024375,
2025-10-15,283.74,283.93,285.39,282,6354633082,
2025-10-16,302.91,283.9,304,282.4,27693939616,
2025-10-17,300.91,303.23,305,299.76,13662360087,
2025-10-18,304.18,301.3,304.8,301.3,2076456983,
2025-10-19,303.03,304.22,304.87,302.24,1001587937,
2025-10-20,304,303.95,306.15,302.71,7510752602,
2025-10-21,295.47,304.1,304.43,290.5,21009220004,
2025-10-22,290.02,295.52,295.77,286.76,12617477172,
2025-10-23,291.8,286.93,291.98,285.21,11285276468,
2025-10-24,287.55,292.17,294.93,286.3,13867992000,
2025-10-27,283.17,287.47,287.99,282.46,9995467134,
2025-10-28,289.46,283.22,290.7,281,10631654782,
2025-10-29,290.5,290.45,291.51,288.15,6313299551,
2025-10-30,296.12,290.49,298,289.13,11142750680,
2025-10-31,291.89,296.04,297.97,290,9302630867,
2025-11-01,293.7,292,294.42,290.35,3763739970,
2025-11-03,298.04,294.19,300,294.19,5350986709,
2025-11-05,295.7,297.64,298.82,293.88,9996341505,
2025-11-06,294.27,295.73,296.93,292.01,7064646712,
2025-11-07,296.84,293.5,298.09,292.52,6541015487,
2025-11-08,297.93,297.27,298.44,296.7,951575885,
2025-11-09,297.97,297.93,298.35,297.59,180088695,
2025-11-10,300.46,297.97,302.79,297.36,11794871611,
2025-11-11,301.12,300.86,301.87,298.06,6452433192,
2025-11-12,299.09,301.15,301.89,296.81,7277070281,
2025-11-13,299.09,299,301.53,297.67,5048729657,
2025-11-14,297.44,299.09,299.7,295.5,5838418641,
2025-11-15,297.17,297.44,297.89,296.8,197719640,
2025-11-16,297,297.1,297.2,296.66,156705379,
2025-11-17,294.68,296.02,296.55,293.64,6303614862,
2025-11-18,299.44,294.68,302.86,293.33,14157514528,
2025-11-19,304.75,300,309.9,298.66,18329390316,
2025-11-20,307.89,304.76,308.88,301.78,12934315611,
2025-11-21,306.7,308.5,309.23,304.22,9917805065,
2025-11-24,305.87,308.67,309.95,303.7,8129662622,
2025-11-25,306.6,306,307.97,303,9007594998,
2025-11-26,304.96,306.48,306.87,304,3946630169,
2025-11-27,299.53,305.47,306.25,297.33,10394336262,
2025-11-28,304.17,300.86,305.26,299.05,7515783116,
2025-11-29,303.88,304.32,304.97,303.76,294309754,
2025-11-30,305.23,303.86,305.43,303.6,603673487,
