;2008Q4;2009Q4;2010Q4;2011Q4;2012Q4;2013Q4;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;;;20.02.2025;20.02.2025;;;30.10.2020;31.10.2019;31.10.2019;;20.02.2025;;;20.02.2025;24.10.2019;30.05.2018;;01.11.2018;17.04.2018;30.05.2018;23.08.2018;01.11.2018;28.02.2019;30.04.2019;31.07.2019;31.10.2019;27.02.2020;30.04.2020;30.07.2020;29.10.2020;04.03.2021;29.04.2021;29.07.2021;28.10.2021;02.03.2022;09.03.2023;18.05.2023;03.08.2023;02.11.2023;28.02.2024;26.04.2024;08.08.2024;31.10.2024;27.02.2025;28.04.2025;29.07.2025;28.10.2025;28.10.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;;;;;;;;304.9;411.3;367.5;418.6;377.6;442.8;435.0;442.1;422.5;481.4;498.0;501.1;470.9;482.8;489.4;490.5;480.2;484.4;507.1;548.0;508.6;514.9;592.6;576.9;589.0;632.0;623.0;656.7;;773.7;829.0;857.0;968.3;801.9;855.7;965.1;"1 196";"1 068";"1 105";"1 141";"4 510"
"Чист. проц. доходы, млрд руб";;;;;;;;;;200.3;227.1;263.4;297.2;325.5;339.3;342.8;355.2;336.6;357.6;375.0;382.8;358.6;349.0;359.3;354.7;337.5;353.1;353.9;371.0;371.9;398.5;411.3;426.3;421.5;440.0;470.0;470.5;;562.8;597.0;667.9;736.9;699.8;713.2;762.1;824.5;832.4;841.8;893.6;"3 392"
"Чист. комисс. доход, млрд руб";;;;;;;64.5;69.3;87.8;69.5;77.3;81.9;95.6;77.2;85.9;88.6;97.4;80.4;94.9;100.9;118.0;101.5;113.7;114.6;122.6;104.5;116.7;130.0;148.3;126.4;120.0;147.7;158.9;134.3;157.0;164.0;161.5;;171.1;187.0;195.5;210.3;184.1;209.5;218.2;231.1;203.2;195.0;216.5;845.8
"Доходы по цб, млрд руб";;;;;;;;;;47.1;115.7;44.1;54.0;57.1;58.6;55.5;;17.5;5.50;;;;;;;;;;;;;;;;;;;;40.0;66.0;-6.40;-3.00;5.10;-25.0;-46.3;42.7;32.2;68.4;31.3;174.6
"Число клиентов, млн";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108.5;108.8;109.0;109.5;109.9;110.1;111.2;110.5;110.5
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;663.3;718.9;755.9;771.0;521.0;504.6;561.5;528.9;575.2;541.3;595.9;"2 241"
"Чистая прибыль, млрд руб";;;;;;;;;49.0;30.6;152.1;65.1;72.6;117.7;145.4;137.0;141.8;166.6;185.6;224.1;172.4;212.1;215.3;228.1;176.2;226.6;250.3;156.1;212.0;120.5;166.7;271.4;202.4;304.8;325.0;348.3;272.6;;357.2;380.3;411.4;359.7;397.6;418.7;411.1;352.9;436.0;422.6;449.8;"1 661"
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145.6;315.2;-283.1;486.2;384.6;56.3;314.9;41.7;;;;;;;;;;;;;
