;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;;;20.02.2025;20.02.2025;30.10.2020;20.02.2025;24.10.2019;17.04.2018;28.02.2019;27.02.2020;04.03.2021;02.03.2022;09.03.2023;28.02.2024;27.02.2025;28.10.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Чистый операц доход, млрд руб";;;;746.0;920.8;"1 104";"1 301";"1 430";"1 698";"1 903";"1 936";"2 013";"2 182";"2 501";"2 055";"3 428";"3 819";"4 510"
"Чист. проц. доходы, млрд руб";;;502.8;575.8;704.8;862.2;"1 020";988.0;"1 363";"1 349";"1 397";"1 416";"1 589";"1 802";"1 875";"2 565";"3 000";"3 392"
"Чист. комисс. доход, млрд руб";;;111.9;125.6;170.3;220.3;306.4;384.1;349.1;394.2;445.3;497.9;545.3;616.8;697.1;763.9;842.9;845.8
"Доходы по цб, млрд руб";;;16.6;7.39;118.0;132.1;149.9;168.8;200.9;;;;47.3;74.8;-517.2;99.6;-23.5;174.6
"Число клиентов, млн";;;;;;;;;;;;;;;;108.5;109.9;110.5
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;"2 241"
"Чистая прибыль, млрд руб";24.4;97.7;181.6;315.9;347.9;362.0;290.3;222.9;541.9;748.7;831.7;845.0;761.1;"1 251";270.5;"1 509";"1 580";"1 661"
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;663.9;797.5;;;;
"Див.выплата, млрд руб";;;;47.5;55.5;72.3;10.2;44.5;135.5;271.0;361.0;422.4;422.4;0.000;564.7;752.2;786.9;786.9
"Дивиденд, руб/акцию";0,48;0,08;0,92;2,08;2,57;3,2;0,45;1,97;6;12;16;18,7;18,7;0;25;33,3;34,84;34,84
"Див доход, ао, %";2.1%;0.1%;0.9%;2.6%;2.8%;3.2%;0.8%;1.9%;3.5%;5.3%;8.6%;7.3%;6.9%;0.0%;17.7%;12.3%;12.5%;11.0%
"Дивиденд ап, руб/акцию";0,63;0,45;1,15;2,59;3,2;3,2;0,45;1,97;6;12;16;18,7;18,7;0;25;33,3;34,84;34,84
"Див доход, ап, %";7.0%;0.7%;1.5%;4.4%;4.8%;4.0%;1.2%;2.6%;4.6%;6.3%;9.6%;8.2%;7.8%;0.0%;17.8%;12.2%;12.5%;11.0%
"Дивиденды/прибыль, %";0%;0%;0%;15%;16%;20%;4%;20%;25%;36%;43%;50%;55%;0%;209%;50%;50%;47%
"Опер. расходы, млрд руб";221.7;229.3;265.9;348.3;451.4;514.6;565.1;623.4;677.6;672.8;664.8;724.6;738.5;858.6;822.0;924.4;"1 063";"1 172"
"Расх на персонал, млрд руб";133.0;128.6;161.2;203.8;245.8;285.3;318.8;346.0;384.3;402.7;404.4;449.7;457.6;518.8;491.0;572.2;668.9;908.3
"Процентные расходы, млрд руб";;;;;452.5;616.4;818.2;"1 292";"1 036";782.6;791.8;980.5;787.5;929.1;"1 714";"1 836";"4 368";"5 979"
"Создание резервов, млрд руб";;;;;21.5;133.5;357.0;473.0;342.4;287.3;160.2;155.6;484.0;144.7;450.1;235.4;413.0;639.4
"Списание. плох.кредитов, млрд руб";;;;;89.5;118.6;135.4;146.1;175.6;177.4;;;;;;;;
