date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1349.2,1370,1370,1343,174066148,
2025-02-11,1370.6,1357.8,1402.6,1351.6,527912932,
2025-02-12,1415.8,1382,1447.2,1372,1279302670,
2025-02-13,1499.6,1440.4,1500,1411,921230343,
2025-02-14,1459,1508,1572.8,1417.2,1837650067,
2025-02-17,1575,1510,1580,1475.6,817728641,
2025-02-18,1519.4,1551,1573.4,1491.2,700529184,
2025-02-19,1593.8,1541,1620.2,1519.4,808106351,
2025-02-20,1637.4,1593.8,1691,1588.8,1934568742,
2025-02-21,1634.8,1637.6,1673,1612,618621905,
2025-02-24,1638,1635,1657,1620,371019348,
2025-02-25,1629.4,1639,1658,1622,501578251,
2025-02-26,1598,1636.2,1641.2,1580.4,446201020,
2025-02-27,1574.4,1600,1633.8,1567,607451169,
2025-02-28,1579.8,1574,1595.4,1552,508571081,
2025-03-03,1557.2,1579.8,1583.8,1525.2,390115852,
2025-03-04,1614,1577.8,1641.6,1563,642230088,
2025-03-05,1614.4,1618,1647.8,1575.4,602962734,
2025-03-06,1618,1610,1635,1610,213547483,
2025-03-07,1579.6,1618,1631,1540.2,807787191,
2025-03-10,1575.2,1586,1592.6,1556.2,158996544,
2025-03-11,1567.6,1581.2,1588.8,1560,195498730,
2025-03-12,1559.4,1577.8,1586,1550.2,133094476,
2025-03-13,1561.6,1555,1595,1507.2,446167935,
2025-03-14,1568.6,1562,1579.4,1535.4,467397293,
2025-03-17,1569.6,1583.2,1608.8,1494.4,1017259302,
2025-03-18,1552.4,1569.6,1581.6,1531.6,291242883,
2025-03-19,1556.8,1552.4,1566.8,1541,148440940,
2025-03-20,1559.6,1562,1568,1552,148559540,
2025-03-21,1560.2,1555.2,1576.4,1555.2,194263484,
2025-03-24,1568,1560.2,1597,1555.4,324034919,
2025-03-25,1579.4,1573.8,1618,1503.4,896186872,
2025-03-26,1549.2,1588.6,1605,1532.8,563041596,
2025-03-27,1503.6,1554,1570.8,1502.8,372849602,
2025-03-28,1446,1504.8,1508.2,1420.4,716201462,
2025-03-29,1435.6,1450,1450,1435.6,15880126,
2025-03-30,1435.6,1435.6,1435.6,1435.6,5172466,
2025-03-31,1465.2,1420,1530,1391.2,526919666,
2025-04-01,1432.2,1482,1515,1425.2,296861026,
2025-04-02,1454,1432.2,1470,1415.8,181375980,
2025-04-03,1435.4,1470,1474.8,1410,159244750,
2025-04-04,1351.8,1442,1454.8,1324.8,340474992,
2025-04-05,1340.2,1344.4,1353,1329,30286706,
2025-04-06,1386.6,1347.8,1399.6,1340.8,44730494,
2025-04-07,1316.2,1360,1364.4,1233,670281473,
2025-04-08,1290,1330,1359.2,1262,189111484,
2025-04-09,1334,1290,1334,1205.4,400196625,
2025-04-10,1327,1350,1350,1306,95520173,
2025-04-11,1378.6,1319.6,1394.6,1316.2,274677493,
2025-04-12,1404.4,1392,1410,1390,34204214,
2025-04-13,1405,1404.4,1408,1398.4,17050816,
2025-04-14,1382.2,1405.6,1415,1364,107646577,
2025-04-15,1406.2,1383,1429,1383,170722879,
2025-04-16,1404,1404.2,1415,1390,97638067,
2025-04-17,1406,1405.8,1413.6,1393.6,75845181,
2025-04-18,1375.6,1392,1402,1365,130446205,
2025-04-21,1371.2,1372,1400,1350.8,199002227,
