;2013Q4;2014Q4;2015Q4;2016Q2;2016Q4;2017Q2;2017Q3;2017Q4;2018Q2;2018Q4;2019Q2;2019Q4;2020Q2;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";09.07.2018;09.07.2018;30.06.2018;;24.04.2018;30.08.2018;;24.04.2018;30.08.2018;26.04.2019;29.08.2019;12.05.2020;31.08.2020;30.04.2021;;31.08.2021;13.01.2023;11.04.2022;30.05.2023;29.08.2022;13.01.2023;27.03.2023;30.05.2023;30.08.2023;29.11.2023;28.03.2024;27.05.2024;28.08.2024;25.11.2024;27.03.2025;29.08.2025;29.08.2025;28.11.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;2.04;;;;;;;;;;;;8.16;5.00;5.68;6.07;6.41;6.92;3.86;7.21;7.71;8.74;10.2;12.4;9.99;11.1;9.82;7.04;7.39;1.08;25.3
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;6.67;5.41;1.15;0.320;4.43;5.45;5.63;9.82;8.52;10.4;6.22;9.51;6.91;7.28;5.19;3.61;2.83;0.983;12.6
"Чистая прибыль, млрд руб";;;;1.15;;3.93;;;6.39;2.54;5.84;3.36;3.64;-7.34;;1.62;2.72;-0.950;-1.46;1.61;4.25;1.72;6.01;4.97;5.62;2.86;8.09;5.85;3.80;3.12;3.16;2.46;1.70;10.4
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;-29.2;;-31.9;-3.31;4.29;;-5.69;-4.18;-13.8;13.1;-49.4;-7.62;-14.0;1.49;9.22;;51.7;21.8;82.8
"CAPEX, млрд руб";;;;;;;;;;;;;0.070;0.160;;0.070;;0.380;0.086;0.044;;0.038;0.050;0.070;0.000;0.052;0.070;0.000;0.000;0.307;;0.083;0.017;0.407
"FCF, млрд руб";;;;;;;;;;;;;;;;-5.88;;-30.6;-3.23;4.33;;-5.84;-4.24;-13.9;9.70;-45.3;3.89;-12.7;1.43;-2.78;;52.3;21.8;71.3
"Див.выплата, млрд руб";;;;;;;1.45;1.93;;;;;;;;;;;;;;;;;4.40;2.30;;;10.9;4.00;;;43.9;47.9
"Дивиденд, руб/акцию";;;;;;;13;17,25;;;;;;;;;;;;;;;;;39,42;20,6;;;227,6;83,5;;;902;985,5
