;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";09.07.2018;09.07.2018;30.06.2018;24.04.2018;24.04.2018;26.04.2019;12.05.2020;30.04.2021;11.04.2022;27.03.2023;28.03.2024;27.03.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";7.32;9.17;5.29;7.00;9.29;10.8;12.8;17.3;13.2;15.6;34.9;43.3;25.3
"Операционная прибыль, млрд руб";;;;7.21;14.1;21.7;23.3;11.5;5.17;6.59;24.5;28.9;12.6
"Чистая прибыль, млрд руб";1.25;1.53;1.94;3.31;8.45;8.93;9.20;-3.70;3.39;6.18;19.5;20.9;10.4
"Операционный денежный поток, млрд руб";;;;11.5;-48.7;-8.40;-1.94;-16.2;-61.0;-4.71;-54.3;-10.9;82.8
"CAPEX, млрд руб";;;;0.120;0.100;0.250;0.710;0.230;0.450;0.168;0.172;0.377;0.407
"FCF, млрд руб";;;;38.3;-47.2;-19.9;-2.10;-14.9;-36.4;-4.74;-53.8;-10.2;71.3
"Див.выплата, млрд руб";;;;;3.38;1.60;;;;;6.70;14.9;47.9
"Дивиденд, руб/акцию";;;;;30,25;14,5;;;;;60,02;311,1;985,5
"Див доход, ао, %";;;0.0%;0.0%;3.9%;2.5%;0.0%;0.0%;0.0%;0.0%;11.2%;22.6%;102.9%
"Дивиденды/прибыль, %";0%;0%;0%;0%;40%;18%;0%;0%;0%;0%;34%;71%;459%
"Опер. расходы, млрд руб";;;;;;;;5.48;8.06;9.30;9.89;11.6;8.63
"Себестоимость, млрд руб";2.89;3.70;;2.58;2.91;3.78;5.00;6.79;9.40;15.3;19.1;30.9;27.2
"Расх на персонал, млрд руб";;;2.18;2.10;3.55;4.19;6.23;6.22;7.48;6.86;7.74;8.96;6.48
"Процентные расходы, млрд руб";;;;2.45;3.16;3.68;5.21;6.37;9.53;15.2;18.9;30.6;26.9
"Активы, млрд руб";;;;293.9;316.9;383.7;428.3;425.8;217.1;229.9;312.0;353.9;284.8
"Чистые активы, млрд руб";6.74;8.41;10.7;78.3;84.6;83.4;88.2;61.2;57.3;62.3;81.3;93.8;93.9
"Долг, млрд руб";22.6;25.7;23.5;21.4;31.5;44.2;70.0;93.7;147.1;153.9;213.0;226.7;0.000
"Наличность, млрд руб";0.405;1.44;9.00;54.8;14.1;2.80;4.13;3.60;8.80;10.3;13.5;17.3;0.867
"Чистый долг, млрд руб";22.2;24.3;14.5;-33.4;17.4;41.4;65.9;90.1;138.3;143.6;199.5;209.4;-0.87
"Цена акции ао, руб";;;575.0;724.0;773.5;580.2;514.0;493.2;525.8;505.8;535.6;"1 377";957.8
"Число акций ао, млн";111.6;111.6;23.0;111.6;111.6;111.6;111.6;111.6;111.6;111.6;111.6;50.2;50.2
"Free Float, %";;;;;29.0%;;;10.8%;;;24.5%;27.8%;22.0%
"Капитализация, млрд руб";0.00;0.00;13.2;80.8;86.4;64.8;57.4;55.1;58.7;56.5;59.8;69.2;48.1
"EV, млрд руб";22.2;24.3;27.7;47.4;103.7;106.2;123.3;145.1;197.0;200.1;259.3;278.6;47.2
"Баланс стоимость, млрд руб";6.74;8.41;10.7;54.1;60.4;56.0;63.1;61.1;57.0;62.3;81.3;93.8;93.9
"EPS, руб";11.2;13.7;84.5;29.6;75.7;80.0;82.4;-33.1;30.4;55.4;174.3;415.2;207.7
"FCF/акцию, руб";0.00;0.00;0.00;342.9;-422.8;-177.8;-18.8;-133.6;-326.4;-42.5;-481.6;-203.0;"1 419"
"BV/акцию, руб";60.4;75.3;465.7;484.6;540.7;501.4;565.1;546.9;510.8;557.7;727.9;"1 867";"1 869"
"Рентаб EBITDA, %";0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0.0%;0
"Чистая рентаб, %";17.0%;16.6%;36.7%;47.3%;90.9%;83.0%;71.7%;-21.4%;25.6%;39.5%;55.7%;48.2%;41.2%
"Доходность FCF, %";;;0.0%;47.4%;-54.7%;-30.6%;-3.7%;-27.1%;-62.1%;-8.4%;-89.9%;-14.7%;148.2%
"ROE, %";18.5%;18.1%;18.1%;4.2%;10.0%;10.7%;10.4%;-6.0%;5.9%;9.9%;23.9%;22.2%;11.1%
"ROA, %";;;;1.1%;2.7%;2.3%;2.1%;-0.9%;1.6%;2.7%;6.2%;5.9%;3.7%
P/E;0.00;0.00;6.80;24.4;10.2;7.25;6.24;-14.9;17.3;9.14;3.07;3.32;4.61
P/FCF;;;;2.11;-1.83;-3.26;-27.3;-3.69;-1.61;-11.9;-1.11;-6.78;0.67
P/S;0.00;0.00;2.50;11.5;9.29;6.02;4.47;3.18;4.44;3.61;1.71;1.60;1.90
P/BV;0.00;0.00;1.23;1.49;1.43;1.16;0.91;0.90;1.03;0.91;0.74;0.74;0.51
"Персонал, чел";;;;;;;"6 400";"6 300";;;"2 740";"3 137";"2 924"
"Производительность труда, млн руб/чел/год";;;;;;;2.01;2.75;;;12.7;13.8;8.66
"Расходы/чел/год, тыс.р";;;;;;;973.4;987.3;;;"2 825";"2 856";"2 215"
"R&D/CAPEX, %";;;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";0%;0%;0%;2%;1%;2%;6%;1%;3%;1%;0%;1%;2%
