date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1.331,1.365,1.382,1.275,304288026,
2025-02-11,1.364,1.34,1.397,1.315,667038526,
2025-02-12,1.438,1.365,1.48,1.346,1437773364,
2025-02-13,1.461,1.446,1.488,1.404,901841285,
2025-02-14,1.485,1.499,1.596,1.43,2031943627,
2025-02-17,1.944,1.559,1.953,1.533,6758360321,
2025-02-18,1.747,1.953,1.953,1.711,5242363800,
2025-02-19,1.936,1.76,2.005,1.76,6186831877,
2025-02-20,1.898,1.933,1.967,1.835,2829140585,
2025-02-21,1.883,1.898,1.92,1.81,1282185348,
2025-02-24,1.897,1.87,1.913,1.839,1202202969,
2025-02-25,2.062,1.897,2.133,1.864,5894948360,
2025-02-26,1.979,2.063,2.197,1.918,4914737725,
2025-02-27,1.896,1.981,1.99,1.84,2667199074,
2025-02-28,1.931,1.895,1.967,1.815,2607483026,
2025-03-01,1.937,1.937,1.937,1.925,31613168,
2025-03-02,1.931,1.937,1.937,1.92,27648914,
2025-03-03,1.9,1.936,1.936,1.85,1086137882,
2025-03-04,1.937,1.915,1.965,1.887,1092681275,
2025-03-05,1.876,1.933,1.936,1.812,843661136,
2025-03-06,1.86,1.88,1.902,1.835,473597302,
2025-03-07,1.865,1.86,1.915,1.837,632499947,
2025-03-10,1.867,1.865,1.892,1.845,317140743,
2025-03-11,1.818,1.867,1.879,1.777,531515885,
2025-03-12,1.771,1.818,1.84,1.738,816377149,
2025-03-13,1.777,1.771,1.83,1.687,1190526048,
2025-03-14,1.804,1.76,1.826,1.73,697847633,
2025-03-15,1.825,1.808,1.84,1.802,60180039,
2025-03-16,1.848,1.825,1.848,1.821,74918713,
2025-03-17,1.934,1.88,1.97,1.866,1418570568,
2025-03-18,1.869,1.94,1.946,1.8,1267893043,
2025-03-19,1.896,1.869,1.958,1.836,1219864610,
2025-03-20,1.9,1.897,1.917,1.874,300663217,
2025-03-21,1.87,1.894,1.922,1.846,547453143,
2025-03-24,1.805,1.87,1.873,1.783,410416966,
2025-03-25,1.845,1.805,1.86,1.754,461184287,
2025-03-26,1.79,1.845,1.89,1.78,377731483,
2025-03-27,1.705,1.778,1.792,1.696,426550280,
2025-03-28,1.607,1.7,1.715,1.58,1036788280,
2025-03-29,1.588,1.602,1.62,1.588,48144090,
2025-03-30,1.588,1.588,1.588,1.588,4471808,
2025-03-31,1.664,1.58,1.665,1.531,656885117,
2025-04-01,1.56,1.659,1.719,1.545,982492087,
2025-04-02,1.615,1.56,1.629,1.551,505868309,
2025-04-03,1.58,1.625,1.646,1.512,532517863,
2025-04-04,1.49,1.592,1.613,1.48,551884028,
2025-04-05,1.477,1.476,1.48,1.459,51945673,
2025-04-06,1.529,1.477,1.529,1.469,90089355,
2025-04-07,1.445,1.516,1.516,1.355,885245593,
2025-04-08,1.379,1.448,1.495,1.365,568750982,
2025-04-09,1.46,1.378,1.465,1.33,796977906,
2025-04-10,1.439,1.46,1.488,1.433,320471379,
2025-04-11,1.462,1.437,1.49,1.43,575598897,
2025-04-12,1.494,1.468,1.495,1.463,54399981,
2025-04-13,1.516,1.494,1.516,1.48,96116333,
2025-04-14,1.616,1.508,1.697,1.459,3076670203,
2025-04-15,1.575,1.627,1.629,1.541,1342518648,
2025-04-16,1.563,1.56,1.587,1.548,434043144,
2025-04-17,1.556,1.563,1.58,1.509,484580502,
2025-04-18,1.514,1.537,1.554,1.505,231769550,
2025-04-21,1.535,1.52,1.55,1.509,202643690,
2025-04-22,1.568,1.536,1.592,1.531,562183180,
2025-04-23,1.546,1.572,1.576,1.523,256528382,
2025-04-24,1.512,1.541,1.57,1.478,292861407,
2025-04-25,1.532,1.513,1.548,1.5,393853561,
2025-04-26,1.542,1.535,1.554,1.535,60180312,
2025-04-27,1.55,1.541,1.551,1.54,19851114,
2025-04-28,1.529,1.542,1.556,1.507,346491071,
2025-04-29,1.494,1.53,1.535,1.484,204912338,
2025-04-30,1.487,1.495,1.503,1.451,222988195,
2025-05-02,1.416,1.496,1.496,1.402,300336198,
2025-05-03,1.419,1.418,1.424,1.409,15163042,
2025-05-04,1.429,1.416,1.434,1.414,13126076,
2025-05-05,1.417,1.425,1.432,1.382,166302425,
2025-05-06,1.438,1.418,1.464,1.412,281603656,
2025-05-07,1.455,1.445,1.462,1.425,135826398,
2025-05-08,1.455,1.455,1.49,1.446,132881304,
2025-05-10,1.451,1.465,1.468,1.447,16072681,
2025-05-11,1.468,1.465,1.484,1.46,48409062,
2025-05-12,1.514,1.48,1.539,1.477,270433317,
2025-05-13,1.487,1.515,1.519,1.478,125567329,
2025-05-14,1.46,1.49,1.55,1.46,627580831,
2025-05-15,1.509,1.463,1.525,1.461,364879581,
2025-05-16,1.493,1.509,1.516,1.426,342407073,
2025-05-17,1.52,1.494,1.524,1.493,49437629,
2025-05-18,1.536,1.523,1.539,1.521,49381350,
2025-05-19,1.509,1.537,1.584,1.495,239080299,
2025-05-20,1.486,1.519,1.519,1.47,208057389,
2025-05-21,1.47,1.487,1.492,1.463,121172389,
2025-05-22,1.473,1.47,1.496,1.438,198056484,
2025-05-23,1.48,1.473,1.493,1.466,94965981,
2025-05-26,1.452,1.48,1.483,1.443,178696169,
2025-05-27,1.478,1.456,1.488,1.418,181664080,
2025-05-28,1.556,1.476,1.57,1.476,485958023,
2025-05-29,1.554,1.551,1.595,1.523,364489719,
2025-05-30,1.612,1.558,1.62,1.544,789562757,
2025-05-31,1.629,1.615,1.644,1.612,73599026,
2025-06-01,1.564,1.623,1.623,1.564,128271971,
2025-06-02,1.638,1.563,1.665,1.546,576275147,
2025-06-03,1.629,1.638,1.68,1.591,566470376,
2025-06-04,1.605,1.638,1.642,1.597,297832059,
2025-06-05,1.617,1.61,1.626,1.6,137285058,
2025-06-06,1.547,1.623,1.658,1.533,653235610,
2025-06-07,1.546,1.539,1.555,1.538,10752543,
2025-06-08,1.532,1.547,1.55,1.519,23744709,
2025-06-09,1.568,1.53,1.58,1.503,193829556,
2025-06-10,1.556,1.57,1.592,1.541,135157711,
2025-06-11,1.568,1.557,1.624,1.555,536392469,
2025-06-13,1.553,1.578,1.591,1.546,102085778,
2025-06-14,1.554,1.553,1.56,1.547,11356627,
2025-06-15,1.541,1.546,1.552,1.529,23287039,
2025-06-16,1.546,1.554,1.568,1.531,113355192,
2025-06-17,1.566,1.55,1.579,1.54,93369071,
2025-06-18,1.553,1.57,1.577,1.548,82781328,
2025-06-19,1.543,1.553,1.561,1.536,61842944,
2025-06-20,1.52,1.543,1.55,1.514,72739038,
2025-06-23,1.44,1.518,1.52,1.42,616006763,
2025-06-24,1.488,1.44,1.499,1.427,301210157,
2025-06-25,1.488,1.488,1.509,1.466,159194209,
2025-06-26,1.491,1.488,1.535,1.463,422835895,
2025-06-27,1.494,1.499,1.502,1.471,119028941,
2025-06-28,1.492,1.494,1.5,1.49,6484340,
2025-06-29,1.49,1.491,1.501,1.483,20988517,
2025-06-30,1.52,1.489,1.53,1.48,295361620,
2025-07-01,1.519,1.52,1.55,1.513,220605771,
2025-07-02,1.52,1.526,1.535,1.508,133189233,
2025-07-03,1.521,1.52,1.563,1.516,280477797,
2025-07-04,1.495,1.517,1.521,1.484,157900368,
2025-07-05,1.492,1.495,1.497,1.486,6213610,
2025-07-06,1.491,1.49,1.504,1.49,2928839,
2025-07-07,1.466,1.49,1.491,1.464,78471510,
2025-07-08,1.443,1.463,1.485,1.44,146124687,
2025-07-09,1.403,1.443,1.458,1.375,342370410,
2025-07-10,1.408,1.403,1.431,1.389,178565072,
2025-07-11,1.359,1.408,1.415,1.354,204667691,
2025-07-12,1.369,1.366,1.384,1.363,11231707,
2025-07-13,1.369,1.372,1.377,1.358,19181744,
2025-07-14,1.465,1.365,1.471,1.329,479579543,
2025-07-15,1.49,1.464,1.517,1.45,305326387,
2025-07-16,1.466,1.502,1.515,1.452,197590170,
2025-07-17,1.47,1.471,1.498,1.456,161131081,
2025-07-18,1.52,1.47,1.53,1.465,296003742,
2025-07-19,1.525,1.52,1.538,1.517,44417731,
2025-07-20,1.537,1.541,1.541,1.522,34149507,
2025-07-21,1.52,1.532,1.549,1.515,159661038,
2025-07-22,1.522,1.52,1.53,1.502,88714535,
2025-07-23,1.511,1.523,1.533,1.506,137230985,
2025-07-24,1.514,1.514,1.519,1.501,88519377,
2025-07-25,1.485,1.515,1.529,1.476,202688632,
2025-07-26,1.488,1.487,1.494,1.482,5725138,
2025-07-27,1.493,1.488,1.494,1.482,8674870,
2025-07-28,1.441,1.494,1.496,1.436,191280660,
2025-07-29,1.499,1.45,1.54,1.431,771351058,
2025-07-30,1.458,1.499,1.502,1.449,214698661,
2025-07-31,1.47,1.458,1.482,1.455,107473032,
2025-08-01,1.471,1.47,1.514,1.461,232351454,
2025-08-04,1.496,1.471,1.505,1.471,126911969,
2025-08-05,1.491,1.5,1.505,1.475,89387773,
2025-08-06,1.522,1.49,1.538,1.475,273636461,
2025-08-07,1.539,1.52,1.589,1.505,684924480,
2025-08-08,1.622,1.54,1.632,1.53,464286507,
2025-08-11,1.637,1.681,1.681,1.605,584331155,
2025-08-12,1.648,1.651,1.653,1.615,198663805,
2025-08-13,1.61,1.649,1.658,1.603,258128690,
2025-08-14,1.609,1.605,1.636,1.584,250192599,
2025-08-15,1.655,1.61,1.675,1.6,704587302,
2025-08-16,1.62,1.606,1.638,1.603,131134418,
2025-08-17,1.621,1.627,1.632,1.608,31103322,
2025-08-18,1.651,1.632,1.664,1.614,465793718,
2025-08-19,1.713,1.651,1.739,1.641,1617637800,
2025-08-20,1.734,1.716,1.749,1.697,1099009416,
2025-08-21,1.633,1.736,1.749,1.627,741284716,
2025-08-22,1.668,1.633,1.677,1.624,381719010,
2025-08-23,1.67,1.658,1.68,1.658,28139942,
2025-08-24,1.658,1.668,1.67,1.651,27222259,
2025-08-25,1.641,1.659,1.669,1.631,311773876,
2025-08-26,1.667,1.638,1.691,1.638,520426640,
2025-08-27,1.694,1.667,1.705,1.662,395620082,
2025-08-28,1.639,1.7,1.7,1.623,469774081,
2025-08-29,1.596,1.646,1.649,1.555,941177884,
2025-08-30,1.602,1.595,1.605,1.588,33496229,
2025-08-31,1.6,1.605,1.611,1.597,27401135,
2025-09-01,1.564,1.6,1.636,1.557,344730399,
2025-09-02,1.548,1.563,1.571,1.519,367221315,
2025-09-03,1.588,1.554,1.591,1.534,261074571,
2025-09-04,1.574,1.588,1.597,1.56,134659567,
2025-09-05,1.582,1.575,1.59,1.54,166387172,
2025-09-06,1.582,1.582,1.59,1.58,7424240,
2025-09-07,1.59,1.582,1.596,1.582,13037658,
2025-09-08,1.599,1.586,1.606,1.58,123732115,
2025-09-09,1.604,1.598,1.61,1.587,144208732,
2025-09-10,1.56,1.602,1.605,1.555,144979226,
2025-09-11,1.575,1.568,1.586,1.537,214195034,
