;2016Q4;2017Q4;2018Q4;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";26.04.2021;26.04.2021;26.04.2021;23.04.2021;23.04.2021;27.08.2021;01.12.2020;23.04.2021;23.04.2021;27.08.2021;02.11.2021;31.03.2022;20.05.2022;26.08.2022;09.12.2022;31.03.2023;24.05.2023;29.08.2023;13.11.2023;22.03.2024;24.05.2024;28.08.2024;21.11.2024;28.04.2025;26.06.2025;29.08.2025;27.11.2025;27.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Выручка, млрд руб";;;;;14.3;17.0;19.0;18.7;18.2;24.2;25.6;24.4;36.6;26.7;24.0;9.52;18.7;21.1;23.9;24.8;22.8;26.1;27.1;25.9;24.6;20.3;23.5;94.2
"Операционная прибыль, млрд руб";;;;;1.10;1.99;3.50;4.58;3.40;6.39;6.92;5.65;8.41;2.23;-1.01;-0.630;-2.24;-0.160;-0.455;-1.45;-0.830;-0.390;-0.830;-2.11;-1.49;-8.80;-3.08;-15.5
"EBITDA, млрд руб";;;;;2.60;3.60;5.10;6.14;5.00;8.20;10.5;5.55;11.8;5.94;2.57;2.96;1.10;2.90;2.97;2.31;2.81;4.54;3.54;-0.880;2.11;0.506;0.527;2.27
"Чистая прибыль, млрд руб";;;;;-5.30;3.20;-3.40;4.15;2.40;5.20;3.55;4.12;-7.90;19.9;-4.98;-1.46;-3.80;-3.90;-3.24;-5.76;-5.18;-4.31;-5.40;-7.36;-6.81;-14.9;-10.4;-39.5
"Операционный денежный поток, млрд руб";;;;;;1.74;5.63;7.36;-1.13;4.32;1.64;8.26;1.59;-1.74;3.12;-2.98;-6.06;-1.64;-1.20;-1.01;-8.52;-7.91;3.29;0.460;-3.93;-15.1;-2.63;-21.2
"CAPEX, млрд руб";;;;;2.60;7.11;2.20;0.000;3.89;8.55;4.33;6.35;3.94;2.44;2.62;1.18;1.69;1.60;2.15;2.32;1.03;2.82;3.35;2.79;1.28;1.58;1.32;6.98
"FCF, млрд руб";;;;;;-5.84;3.10;4.87;-7.51;-1.40;-3.05;-18.3;-20.7;-4.18;0.700;-4.38;-8.98;-2.70;-3.30;-4.97;-9.56;-10.7;-3.02;4.52;-5.08;-16.7;-3.06;-20.3
"Див.выплата, млрд руб";;;;;;;;;;;6.60;10.1;;;;;;;;;;;;;;;;
"Дивиденд, руб/акцию";;;;;;;;;;;0,42;0,64;;;;;;;;;;;;;;;;
