date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,607.95,615.1,615.4,606,1170458094,
2025-02-11,616.3,609.45,617.5,601.1,1227686116,
2025-02-12,658.2,618.1,662.1,614,3036944545,
2025-02-13,633.95,662.5,665.3,629,2328961195,
2025-02-14,624.3,640,648.45,612,3126838033,
2025-02-17,648.5,635,648.7,628.15,2085647112,
2025-02-18,637.95,645.9,655,632.55,1402370821,
2025-02-19,644,642.4,649,634,532530557,
2025-02-20,657.65,644.65,661.85,642.7,1008645012,
2025-02-21,659.2,658,673,645.6,1971090109,
2025-02-24,656,655.8,665,646.2,1095052462,
2025-02-25,668.55,657.5,676,650.05,2172116203,
2025-02-26,649,666.7,673.7,645,1525653099,
2025-02-27,637.65,649,656,631.9,1078389835,
2025-02-28,642.95,638,648,625,980223146,
2025-03-03,628,643.1,645,614.45,1135369678,
2025-03-04,627.2,631.35,642,619.2,1553677944,
2025-03-05,617.55,627.8,630.25,615.9,1099062609,
2025-03-06,612.8,616.1,625.95,610.45,716102016,
2025-03-07,610.65,612.8,618.9,607,627863674,
2025-03-10,604.65,612.65,616.85,603.05,705658314,
2025-03-11,607.45,605,614,595.05,791004134,
2025-03-12,606.1,609.55,611.9,600,475774026,
2025-03-13,605.7,607.45,611.45,596,693469201,
2025-03-14,605.95,603.9,608,600.25,512810408,
2025-03-17,624.5,610,627.95,609.9,917126325,
2025-03-18,619.2,625.9,637.6,618,1215763253,
2025-03-19,627.9,619.2,631.3,618,402277263,
2025-03-20,626.25,629,633.9,621.75,539732237,
2025-03-21,623.65,626.2,628.85,621,291349034,
2025-03-24,610.7,625,627,607.5,539297207,
2025-03-25,611.4,613.15,616.5,603.5,514379816,
2025-03-26,608.6,612,617.3,603.7,293189885,
2025-03-27,598.2,611.75,611.75,598.2,410441751,
2025-03-28,580.05,599,599.4,574.5,1200461322,
2025-03-29,575.6,580.05,582,574,87241868,
2025-03-30,565.8,580,580,565.8,116813683,
2025-03-31,578.65,565.05,595.15,562.65,796832483,
2025-04-01,583.45,579,593.1,571.2,774075573,
2025-04-02,577.8,577,586.25,568.8,653124153,
2025-04-03,569.25,577.9,582.9,562.8,591175070,
2025-04-04,543.45,572.5,573.35,540,1095035799,
2025-04-05,532,541.8,547.6,528.1,220751363,
2025-04-06,545.6,535.9,545.75,531.4,138163444,
2025-04-07,537,538.75,553.2,509.05,1689247629,
2025-04-08,524.35,537,550.75,521.85,525527718,
2025-04-09,548.5,524.35,549.45,510,1024080883,
2025-04-10,543.8,548.5,557.45,534.3,630753921,
2025-04-11,544.45,544.05,556.9,538.05,763180367,
2025-04-12,554.9,547,555.15,547,61156553,
2025-04-13,555.1,554.1,556.45,553.2,33021634,
2025-04-14,545.5,555.45,556.15,541,392493763,
2025-04-15,540.25,548.3,550.7,538,294097478,
2025-04-16,552.65,539.65,554,535,547984892,
2025-04-17,558.75,553.2,562.05,542.5,685254690,
2025-04-18,549.5,553.9,560,545,329252813,
2025-04-21,557.95,551.6,561,551.3,256380292,
2025-04-22,564.7,558.25,567.95,552.3,478261740,
2025-04-23,572.95,564.95,586.25,554,1035058377,
2025-04-24,567.1,572.9,580.6,564.3,586096340,
2025-04-25,578,567.8,580.9,567.8,473916202,
2025-04-26,579,580,583.05,575.65,75640256,
2025-04-27,582.45,579,582.75,579,26020032,
2025-04-28,580.6,583.2,593.95,576,715132151,
2025-04-29,561.75,582.75,583.55,561.75,391308837,
2025-04-30,561.05,564.4,564.5,545.1,644071795,
2025-05-02,539.85,561.75,562.65,539,197444765,
2025-05-03,546.95,542.6,547.6,540.25,46600406,
2025-05-04,549.1,546,552.5,545.15,41295182,
2025-05-05,528.25,545,548.5,521.05,955651283,
2025-05-06,529.95,528.3,536.35,520.15,529783948,
2025-05-07,537.65,532.75,541.4,528.15,287321815,
2025-05-08,543.75,537.7,548.8,537.7,165045021,
2025-05-10,542.55,545.15,547.25,540.1,24163119,
2025-05-11,549.25,546.25,552.35,546.25,48610886,
2025-05-12,556.85,549.5,562.45,549.5,250959090,
2025-05-13,554.05,558.7,559.25,551.9,123537329,
2025-05-14,544.25,554.05,558.25,542.15,374733162,
2025-05-15,541.65,542.05,552.2,538.4,250610529,
2025-05-16,544.5,541.75,544.65,532.7,308833807,
2025-05-17,551.9,544.3,551.95,544.2,25750142,
2025-05-18,554.5,552,555.85,551.15,26771604,
2025-05-19,539.3,554.5,554.85,537.9,315421760,
2025-05-20,536.95,541.45,542.25,533.4,293156623,
2025-05-21,535.35,538.55,545.5,533.5,390229656,
2025-05-22,522.2,535.65,536,522,438490463,
2025-05-23,514.15,523.5,524.2,512,443550909,
2025-05-26,510.7,514.55,516.95,500.3,1311606071,
2025-05-27,522.1,511,523.1,503,429037519,
2025-05-28,529.25,525.6,535.4,520.15,493031308,
2025-05-29,520.85,530,531.65,520.3,405098517,
2025-05-30,526.55,520.85,529.85,518.05,121642389,
2025-05-31,527.45,529.15,529.4,527.4,19641522,
2025-06-01,516,527.5,528.1,512.05,97132909,
2025-06-02,533.4,515.7,539.45,515.2,274323000,
2025-06-03,541,533.35,544.45,533.35,293086412,
2025-06-04,541.2,542,547.6,536.25,321971289,
2025-06-05,546.25,541.25,552,540.55,305003833,
2025-06-06,537.3,547.55,552.95,536.3,305591466,
2025-06-07,540.05,541.35,541.35,539.35,9740848,
2025-06-08,542,540,542.5,537.4,34329477,
2025-06-09,526.2,541.65,545,522.3,470385438,
2025-06-10,515.15,528.65,528.8,508.2,404328232,
2025-06-11,520.55,516.95,521.3,512.65,160677972,
2025-06-13,541.05,531.05,543.7,529.8,585107577,
2025-06-14,556.35,545.4,556.35,544.7,255302006,
2025-06-15,547.15,556.5,556.5,542.2,402837509,
2025-06-16,532.5,548.5,548.5,527.8,593625868,
2025-06-17,543.2,533.85,543.55,530.7,531936989,
2025-06-18,540.6,545.5,545.85,534.75,313620185,
2025-06-19,538.65,541,542.5,535.25,192336840,
2025-06-20,532.35,538.4,538.95,530.55,160164597,
2025-06-23,527.65,544,546.9,525.85,627203891,
2025-06-24,529.45,527.65,532.55,523,247517793,
2025-06-25,531.65,530.05,535.4,529.7,160416953,
2025-06-26,538.4,532.85,543,531.5,337142554,
2025-06-27,540.15,538.7,542.8,535.65,355735336,
2025-06-28,542.4,541.55,543.45,540.75,22872991,
2025-06-29,539.95,542.4,542.75,539.5,24347583,
2025-06-30,542.45,540,546,537.7,198647511,
2025-07-01,539.65,542.8,548.55,538.15,440317529,
2025-07-02,536.2,539.2,542.5,532,201800877,
2025-07-03,535.05,536,542.35,534.9,275954070,
2025-07-04,529.5,535.05,535.95,528.7,190207086,
2025-07-05,530.3,531.05,531.05,529.4,18434088,
2025-07-06,527.3,530.35,531,527.1,21367309,
2025-07-07,525.45,528,529.8,521.3,389728655,
2025-07-08,507.5,501.75,513.2,501.75,760237193,
2025-07-09,501.55,507.5,510.55,500,479137963,
2025-07-10,499.8,501.55,504.95,495,355339917,
2025-07-11,494.6,500,500.75,492.05,387477096,
2025-07-12,497.15,494.55,499.2,494.05,33323817,
2025-07-13,497.95,499.05,499.05,494.6,16815249,
2025-07-14,503.7,492.35,507,485,595763224,
2025-07-15,502.5,503.7,506.8,501.4,145997437,
2025-07-16,508.9,502.5,510,497.9,332197524,
2025-07-17,505,509.3,514.85,504.1,245753269,
2025-07-18,508.95,505,510.8,499.4,509750479,
2025-07-19,518.3,508.4,519.3,508.4,125606717,
2025-07-20,521.1,520.7,521.85,518.6,64251611,
2025-07-21,517.4,522,523.1,514.6,451532398,
2025-07-22,521.4,517.95,523,515.25,306018747,
2025-07-23,519.85,521.65,528.5,517,484448290,
2025-07-24,519.15,520.2,523.55,517,295215419,
2025-07-25,512.3,519.85,521.85,510.3,241041244,
2025-07-26,514.35,512.8,514.95,512.55,7817668,
2025-07-27,514.1,515.25,515.55,512.9,12167724,
2025-07-28,505.9,515,515.15,503.4,349610009,
2025-07-29,506.75,505.85,510,504.4,237609596,
2025-07-30,504.25,506.85,511.45,502.05,213001197,
2025-07-31,505.35,504.3,507.55,502.1,101324994,
2025-08-01,506.05,505.35,510,503.8,109418884,
2025-08-04,513.95,507.1,514.15,504.15,405840705,
2025-08-05,518.55,513.95,519.75,509.05,620701654,
2025-08-06,527.1,518.4,533.4,510.25,706741956,
2025-08-07,529.3,525.9,536.9,522,534540339,
2025-08-08,533.55,530,537.45,523,546209290,
2025-08-11,542.3,538.4,548.9,534.45,858568197,
2025-08-12,546.45,542.35,550,536.4,368018213,
2025-08-13,542.5,547,547.85,538.85,377667694,
2025-08-14,548.55,542.8,548.7,540,423712741,
2025-08-15,548.1,549.9,553.3,545,546154816,
2025-08-16,538.35,537.65,539.4,531.4,140798973,
2025-08-17,537.65,539.15,539.15,535.65,29591161,
2025-08-18,551.25,537.5,555,533.75,454461129,
2025-08-19,541.85,551.25,553,540.85,244104764,
2025-08-20,542.9,541.05,548.7,541.05,327527637,
2025-08-21,534.75,543.5,544.45,529.95,406908690,
2025-08-22,537.7,534.8,540,532.5,161007100,
2025-08-23,540.75,539,540.9,538,11231408,
2025-08-24,540,541.25,541.25,538,13220824,
2025-08-25,529.95,538.25,541.2,524.65,375781218,
2025-08-26,529.85,529.95,535,526.05,160277931,
2025-08-27,531.85,530.85,533.7,522,686692415,
2025-08-28,527.85,532.95,533,525,248073068,
2025-08-29,529.25,528,532.3,525,184951649,
2025-08-30,529.05,528,532.7,527.7,15893666,
2025-08-31,530.1,528.45,530.1,527.85,12549560,
2025-09-01,522.05,530,532.35,520,431380357,
2025-09-02,517.7,522.2,524.1,511,351050659,
2025-09-03,517.7,517.8,519.65,513.4,267559027,
2025-09-04,520.15,518.1,522.65,517.25,133684591,
2025-09-05,522.5,521.5,526.3,520,227384220,
2025-09-06,523,523.15,523.2,522,7210130,
2025-09-07,524.9,522.95,526,522.15,24253304,
2025-09-08,534.95,524.5,539.1,523.85,487424937,
2025-09-09,531.1,534.95,536.85,527.8,359946033,
2025-09-10,527,531.5,532.3,526.2,317979047,
2025-09-11,529.6,527,531.4,525,162464093,
2025-09-12,517.65,530.8,532.5,515.4,259279568,
2025-09-13,517.05,519.5,520.1,517,16283150,
2025-09-14,520.35,517.45,522,516.75,21867954,
2025-09-15,515.4,520.35,521.7,513.85,121611932,
2025-09-16,513.55,515.4,523.8,511.4,232994698,
2025-09-17,514.4,513.55,517,509,291997534,
2025-09-18,512.5,515.55,519.4,511.2,147869263,
2025-09-19,503,512.5,515,502.55,300782942,
2025-09-22,495.6,503.05,504.9,487.15,711335796,
2025-09-23,493,497.8,506,490.45,335031803,
2025-09-24,499.85,494,502.6,487.25,233907851,
2025-09-25,497.8,499.7,502.9,494.4,185882589,
2025-09-26,504.75,499.15,505,493.1,260090032,
2025-09-27,507.45,504.05,508.6,504.05,16047045,
2025-09-28,502.6,507.5,507.55,502.55,19594098,
2025-09-29,500.1,505,506.8,496.6,340715863,
2025-09-30,499.1,500.1,509,495.05,323442959,
2025-10-01,497.9,498,506.8,495,467498550,
2025-10-02,491,497.05,498.9,488,623147541,
2025-10-03,490,490.1,497.2,486.3,362469106,
2025-10-04,489.2,491.8,491.8,486.8,42229942,
2025-10-05,492.85,489.2,493,486.55,37635729,
2025-10-06,504.5,493.05,505,491.35,703317123,
2025-10-07,505.35,504.4,506.4,501.3,252635511,
2025-10-08,500.05,505.35,508.8,493,418077576,
2025-10-09,501.5,500.05,505,486.25,793094320,
2025-10-10,501,501,507.5,498.5,916398147,
2025-10-13,477.45,489,492.7,475.15,844479802,
2025-10-14,466,476.5,478.5,460.45,531028536,
2025-10-15,469.3,467,475.8,459,502314673,
2025-10-16,495.3,469.05,497.2,465.1,662722247,
2025-10-17,487.95,497,498,486.3,270657231,
2025-10-18,494.6,490,496.7,487.85,52743792,
2025-10-19,492.05,495,496.7,490.9,23435741,
2025-10-20,498.95,489.6,501.5,489.6,381510687,
2025-10-21,492.3,499.25,500.55,485,487668036,
2025-10-22,482.35,492.3,496,478.25,333697992,
2025-10-23,485.55,478,487.15,469.3,415042873,
2025-10-24,475.55,486.5,489.8,473.55,294707488,
2025-10-27,459.9,475,476.35,452,606334494,
2025-10-28,460.5,459.9,465.7,455,258481938,
2025-10-29,457.65,461,468.55,456.55,305272946,
2025-10-30,471.55,458.4,476.2,455.45,418653331,
2025-10-31,473.65,471.7,473.9,467.65,218663167,
2025-11-01,470.75,473.65,476,469.1,79612051,
2025-11-03,473.4,471.8,477.75,471.65,82861480,
2025-11-05,474.5,472.45,476.45,470.4,130929625,
2025-11-06,470.55,475,476.9,467.5,203717308,
2025-11-07,480.05,468.1,498.65,468.1,344067839,
2025-11-08,480,481.05,482.15,479.05,8949091,
2025-11-09,481.45,480.85,482.75,480.25,7740396,
2025-11-10,472.65,481.6,484.85,472.05,275129208,
2025-11-11,472.85,473.25,474.55,470.4,177870082,
2025-11-12,468.1,473.1,473.8,465.9,160342710,
2025-11-13,467.75,469,471.1,461.8,218370033,
2025-11-14,470.8,467.05,471.1,465.1,277425284,
2025-11-15,471.45,472,472,470.25,12436052,
2025-11-16,471,471.45,471.75,470.3,7566035,
2025-11-17,466.2,471.6,481,466,292582622,
2025-11-18,475.1,466.05,479.5,463.8,218769476,
2025-11-19,481.95,474.6,489.6,467.15,627868932,
2025-11-20,502.5,481.95,502.6,478.6,888316507,
2025-11-21,495.15,502.5,505,489.5,432662713,
2025-11-24,493.1,496.15,504.5,487.95,260250574,
2025-11-25,501.55,493.5,504.3,486.7,267796752,
2025-11-26,495.95,501.15,502.25,495.25,130747627,
2025-11-27,485.7,496.85,499.35,480.5,543463834,
2025-11-28,491,486.6,493.65,483.55,202117216,
2025-11-29,491.6,492,493.75,490.8,6709095,
2025-11-30,493.25,491.6,494,491.6,15688942,
2025-12-01,495.45,493.9,498,487.2,255142113,
2025-12-02,491.4,495.6,496.5,486.2,139658590,
2025-12-03,488,487.5,489.95,482,115307741,
2025-12-04,484,488,491.65,483.65,167152385,
2025-12-05,488.95,484.95,494,483.95,209847026,
2025-12-08,483.5,488.5,494.35,480,312464238,
2025-12-09,489,484.45,491.95,481.05,235696649,
2025-12-10,489.55,490,491.8,487.25,94869875,
2025-12-11,498.05,490.55,503,489.6,486000394,
2025-12-12,488.45,499.75,501.45,488.45,278279365,
2025-12-13,492,490.1,492.15,489.85,16555333,
2025-12-14,490.05,491.75,492.25,486.9,19478563,
2025-12-15,497.9,490.05,498.65,490.05,223001919,
2025-12-16,499.05,498,503,492,496325218,
2025-12-17,499.9,499.4,502.6,496.5,271005898,
2025-12-18,497.9,499.95,502,496,231765893,
2025-12-19,506,497.9,512.5,494.15,1125894368,
2025-12-20,505.9,505.65,506.65,504.8,24273622,
2025-12-21,506.2,505.95,515,504.95,41968232,
