;2010Q4;2011Q4;2012Q4;2013Q4;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q1;2025Q2;2025Q3;LTM
"Дата отчета";;;17.02.2022;04.06.2018;04.06.2018;;25.08.2021;25.08.2021;04.06.2018;25.08.2021;11.09.2020;11.09.2020;04.06.2018;29.05.2018;16.08.2018;11.09.2020;20.04.2018;29.05.2018;16.08.2018;16.11.2018;21.02.2019;21.05.2019;08.08.2019;18.11.2019;25.02.2020;28.05.2020;20.08.2020;19.11.2020;18.02.2021;18.05.2021;19.08.2021;18.11.2021;17.02.2022;24.08.2023;24.08.2023;;14.03.2024;24.08.2023;24.08.2023;;14.03.2024;29.07.2024;25.07.2024;28.11.2025;14.02.2025;21.05.2025;27.08.2025;28.11.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;;;;13.4;13.8;14.3;14.2;14.4;14.4;15.2;15.9;15.3;15.5;16.2;15.4;15.0;15.6;16.4;15.9;15.3;16.0;16.4;15.6;15.9;15.1;14.7;14.9;15.1;15.3;15.5;16.0;;;;;;;;;;;;;;;;
"Переработка нефти, млн т";;;;;;;10.9;11.6;10.2;10.2;10.4;10.6;10.7;8.78;9.95;11.1;10.3;10.1;10.4;11.2;11.1;9.96;10.0;11.1;10.4;10.3;9.22;10.7;10.2;9.98;10.7;11.8;11.1;;;;;;;;;;;;;;;;
"Добыча газа, млрд м3";;;;;;;;;;;;;;;;;;8.86;8.85;9.48;10.0;9.88;10.2;10.1;10.7;10.7;10.6;10.7;11.0;10.9;11.0;12.2;13.8;;10.5;;;8.60;;;;;;;;;;;
"Выручка, млрд руб";;;;;;;423.2;435.0;417.5;366.0;405.1;450.2;474.4;468.6;475.7;513.3;542.5;541.2;639.6;714.8;686.4;586.4;628.3;656.8;613.6;514.6;398.3;536.7;550.0;611.0;727.0;824.0;906.9;982.0;835.8;;"1 594";730.8;821.6;;"1 968";977.0;"1 042";"1 019";"1 062";890.9;884.0;928.4;"3 765"
"Операционная прибыль, млрд руб";;;;;;;;;;;;;;;;;;85.2;125.2;149.9;96.5;114.7;122.8;119.1;90.0;14.1;8.45;56.6;66.0;96.7;135.9;156.2;172.5;338.2;248.6;;283.6;212.5;177.4;;331.2;200.2;193.2;144.8;140.6;112.7;92.0;114.7;460.0
"EBITDA, млрд руб";;;;;;;106.4;112.5;92.6;96.4;107.2;121.3;114.4;117.8;128.0;136.9;168.3;155.8;212.4;246.3;165.5;179.1;189.9;186.3;156.6;81.4;66.6;128.5;138.5;173.7;241.0;266.0;211.1;;;;;;;;;292.2;411.8;261.0;431.0;221.4;204.1;231.2;"1 088"
"Чистая прибыль, млрд руб";;;;;;;73.2;18.5;-21.2;41.5;48.9;57.1;52.7;62.0;49.3;77.7;64.0;69.7;96.8;132.2;79.0;107.9;107.1;104.9;80.0;-13.8;22.0;28.0;81.8;84.2;133.0;140.0;146.5;264.5;243.8;;243.2;164.3;140.1;;336.7;159.5;169.0;47.0;104.0;92.6;57.8;69.1;323.6
"Операционный денежный поток, млрд руб";;;;;;;;;;;;;;;;;;83.1;127.2;181.3;145.9;168.6;134.5;157.2;148.8;133.7;38.7;136.9;207.8;129.5;257.9;275.5;278.9;;;;;;346.9;;576.1;172.0;251.0;219.2;181.6;104.8;154.3;200.7;641.4
