;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";;;17.02.2022;04.06.2018;04.06.2018;04.06.2018;04.06.2018;20.04.2018;21.02.2019;25.02.2020;18.02.2021;17.02.2022;14.03.2024;14.03.2024;14.02.2025;28.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Добыча нефти, млн т";;;50.8;50.6;52.1;55.7;59.8;62.4;65.4;63.3;60.5;62.0;;120.5;126.9;
"Переработка нефти, млн т";;;43.3;42.6;43.5;43.1;41.9;40.1;42.9;41.5;40.4;43.5;;42.4;42.9;
"Добыча газа, млрд м3";;;11.1;14.6;17.7;29.9;32.8;34.0;37.2;40.9;43.1;47.8;;;;
"Выручка, млрд руб";;"1 292";"1 519";"1 504";"1 691";"1 656";"1 696";"2 004";"2 489";"2 485";"2 000";"3 068";"3 412";"3 520";"4 100";"3 765"
"Операционная прибыль, млрд руб";;;217.9;222.1;212.6;207.6;238.3;302.5;456.7;446.6;145.2;561.3;870.4;721.1;678.8;460.0
"EBITDA, млрд руб";;300.0;323.0;337.0;352.6;404.8;456.2;551.0;799.5;795.0;415.4;891.8;"1 416";"1 320";"1 396";"1 088"
"Чистая прибыль, млрд руб";;160.4;176.3;177.9;122.1;109.7;200.2;253.0;377.0;400.0;117.7;503.4;751.5;641.1;479.5;323.6
"Операционный денежный поток, млрд руб";;;247.7;276.7;284.0;285.2;321.0;422.0;537.5;609.1;517.1;941.9;793.2;923.0;823.8;641.4
"CAPEX, млрд руб";;;169.2;208.6;271.3;349.0;384.8;357.0;370.0;435.0;413.5;441.8;549.7;572.2;505.5;555.0
"FCF, млрд руб";;;;;;;-64.0;65.0;162.0;156.0;103.5;500.1;233.3;400.5;318.6;84.8
"Див.выплата, млрд руб";;34.6;44.1;44.5;30.7;30.7;50.6;71.3;142.2;180.0;71.1;265.5;388.5;485.6;375.4;211.1
"Дивиденд, руб/акцию";4,44;7,3;9,3;9,38;6,47;6,47;10,68;15;30;37,96;15;56;81,94;102,43;79,17;44,51
"Див доход, ао, %";;4.9%;6.5%;6.4%;4.5%;4.5%;5.0%;6.1%;8.7%;9.0%;4.7%;10.3%;17.9%;12.1%;12.0%;9.1%
"Дивиденды/прибыль, %";;22%;25%;25%;25%;28%;25%;28%;38%;45%;60%;53%;52%;76%;78%;65%
"Опер. расходы, млрд руб";;;"1 009";"1 039";"1 187";"1 246";"1 307";"1 555";"2 032";"2 039";"1 854";"2 507";"2 545";"2 799";"3 421";"3 305"
"Амортизация, млрд руб";;;;;;;;;;;;;310.4;364.6;470.7;499.9
"Расх на персонал, млрд руб";;45.3;42.3;48.2;60.6;76.8;82.6;86.5;97.2;110.6;138.3;159.5;;;;
"Процентные расходы, млрд руб";;;11.3;9.98;19.2;40.4;36.5;39.4;46.5;59.1;55.4;53.6;;;;
"Активы, млрд руб";;;"1 328";"1 564";"2 098";"2 485";"2 549";"2 930";"3 521";"3 825";"4 259";"4 960";"5 129";"6 054";"6 141";"6 377"
"Чистые активы, млрд руб";;;829.0;953.0;"1 066";"1 157";"1 360";"1 553";"1 840";"2 057";"2 085";"2 348";"2 622";"2 994";"3 088";"3 065"
"Долг, млрд руб";;;243.6;313.0;563.4;818.1;676.4;680.4;775.5;715.2;785.0;734.0;638.5;897.9;960.3;"1 124"
"Наличность, млрд руб";;;79.0;91.0;53.0;114.2;33.6;90.6;247.6;202.4;238.0;573.4;452.2;587.1;238.5;216.6
"Чистый долг, млрд руб";0.00;0.00;164.6;222.0;510.4;703.9;642.8;589.8;527.9;512.8;547.0;160.6;186.3;310.8;721.8;907.4
"Цена акции ао, руб";;147.9;142.5;147.6;143.0;143.0;214.0;244.1;346.7;420.2;317.3;543.0;457.6;847.1;657.5;487.8
"Число акций ао, млн";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741";"4 741"
"Капитализация, млрд руб";0.00;701.1;675.6;699.9;678.0;678.0;"1 015";"1 157";"1 644";"1 992";"1 504";"2 575";"2 169";"4 016";"3 117";"2 313"
"EV, млрд руб";0.00;701.1;840.3;921.9;"1 188";"1 382";"1 657";"1 747";"2 172";"2 505";"2 051";"2 735";"2 356";"4 327";"3 839";"3 220"
"Баланс стоимость, млрд руб";0.00;0.00;779.1;897.7;995.0;"1 082";"1 290";"1 479";"1 760";"1 968";"1 972";"2 226";"2 500";"2 994";"2 918";"2 892"
"EPS, руб";0.00;33.8;37.2;37.5;25.8;23.1;42.2;53.4;79.5;84.4;24.8;106.2;158.5;135.2;101.1;68.2
"FCF/акцию, руб";0.00;0.00;0.00;0.00;0.00;0.00;-13.5;13.7;34.2;32.9;21.8;105.5;49.2;84.5;67.2;17.9
"BV/акцию, руб";0.00;0.00;164.3;189.3;209.9;228.2;272.0;311.9;371.2;415.2;415.8;469.5;527.4;631.4;615.5;610.0
"Рентаб EBITDA, %";;23.2%;21.3%;22.4%;20.9%;24.4%;26.9%;27.5%;32.1%;32.0%;20.8%;29.1%;41.5%;37.5%;34.1%;28.9%
"Чистая рентаб, %";;12.4%;11.6%;11.8%;7.2%;6.6%;11.8%;12.6%;15.1%;16.1%;5.9%;16.4%;22.0%;18.2%;11.7%;8.6%
"Доходность FCF, %";;0.0%;0.0%;0.0%;0.0%;0.0%;-6.3%;5.6%;9.9%;7.8%;6.9%;19.4%;10.8%;10.0%;10.2%;3.7%
"ROE, %";;;21.3%;18.7%;11.5%;9.5%;14.7%;16.3%;20.5%;19.4%;5.6%;21.4%;28.7%;21.4%;15.5%;10.6%
"ROA, %";;;13.3%;11.4%;5.8%;4.4%;7.9%;8.6%;10.7%;10.5%;2.8%;10.1%;14.7%;10.6%;7.8%;5.1%
P/E;;4.37;3.83;3.93;5.55;6.18;5.07;4.57;4.36;4.98;12.8;5.11;2.89;6.26;6.50;7.15
P/FCF;;;;;;;-15.9;17.8;10.1;12.8;14.5;5.15;9.30;10.0;9.78;27.3
P/S;;0.54;0.44;0.47;0.40;0.41;0.60;0.58;0.66;0.80;0.75;0.84;0.64;1.14;0.76;0.61
P/BV;;;0.87;0.78;0.68;0.63;0.79;0.78;0.93;1.01;0.76;1.16;0.87;1.34;1.07;0.80
EV/EBITDA;;2.34;2.60;2.74;3.37;3.41;3.63;3.17;2.72;3.15;4.94;3.07;1.66;3.28;2.75;2.96
Долг/EBITDA;;0.00;0.51;0.66;1.45;1.74;1.41;1.07;0.66;0.65;1.32;0.18;0.13;0.24;0.52;0.83
"Персонал, чел";;;;;;"66 497";"66 561";"67 882";"70 648";"78 847";"80 420";"86 000";"79 000";"82 000";"86 000";
"Производительность труда, млн руб/чел/год";;;;;;24.9;25.5;29.5;35.2;31.5;24.9;35.7;43.2;42.9;47.7;
"Расходы/чел/год, тыс.р";;;;;;"1 155";"1 241";"1 274";"1 375";"1 403";"1 720";"1 854";0.00;0.00;0.00;
"R&D/CAPEX, %";;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;0
"CAPEX/Выручка, %";;0%;11%;14%;16%;21%;23%;18%;15%;18%;21%;14%;16%;16%;12%;15%
