date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,1242.5,1282,1296,1230,3776910409,
2025-02-11,1275.5,1236,1283,1235,2656013096,
2025-02-12,1325,1279.5,1345,1240,8353300755,
2025-02-13,1318,1336.5,1378.5,1299.5,5822926108,
2025-02-14,1306,1311.5,1419.5,1276,14148400620,
2025-02-17,1372,1329.5,1376.5,1326,3814886689,
2025-02-18,1323,1380,1391.5,1306.5,4150330403,
2025-02-19,1330.5,1326.5,1340,1308.5,2269077433,
2025-02-20,1324,1335,1336.5,1315,1207652644,
2025-02-21,1339.5,1324,1349,1310,2021576000,
2025-02-24,1363.5,1339.5,1378,1335.5,2829325520,
2025-02-25,1474.5,1366,1505,1360,10912083718,
2025-02-26,1448,1480,1550,1431,12910979545,
2025-02-27,1419,1450.5,1476.5,1411,5598559350,
2025-02-28,1418.5,1422,1442,1376.5,5678323825,
2025-03-01,1420,1428.5,1428.5,1418.5,94273863,
2025-03-02,1407,1417,1417.5,1401.5,96829917,
2025-03-03,1354.5,1407,1412,1328,4305084512,
2025-03-04,1427.5,1366.5,1441,1361.5,4001361172,
2025-03-05,1421,1427.5,1477.5,1401,4872172200,
2025-03-06,1442,1425,1470,1415,4151718048,
2025-03-07,1450.5,1443,1482,1396.5,4430629525,
2025-03-10,1452,1464,1469.5,1439.5,1378350670,
2025-03-11,1433,1452,1458,1417.5,1802454727,
2025-03-12,1413.5,1438.5,1438.5,1400,1497842431,
2025-03-13,1411,1418,1444.5,1366,2771592265,
2025-03-14,1419.5,1410,1427,1385,1567610380,
2025-03-15,1418.5,1421.5,1421.5,1414,42634985,
2025-03-16,1438,1419,1438.5,1416.5,272585610,
2025-03-17,1459,1439,1461,1427,1690913207,
2025-03-18,1431.5,1465,1488,1431.5,3065160965,
2025-03-19,1490,1430.5,1514,1421,3238475905,
2025-03-20,1535,1490,1543.5,1486,4881341629,
2025-03-21,1463.5,1538.5,1538.5,1447.5,6062522876,
2025-03-24,1405.5,1461,1467.5,1390.5,4477636851,
2025-03-25,1419.5,1405.5,1434.5,1378,3153627335,
2025-03-26,1382,1424,1432,1371,1855276736,
2025-03-27,1324,1382,1383,1313.5,2664542249,
2025-03-28,1224.5,1318.5,1323,1221,3233241228,
2025-03-29,1232.5,1232.5,1232.5,1232.5,24318457,
2025-03-30,1232.5,1232.5,1232.5,1232.5,13069430,
2025-03-31,1264.5,1200.5,1274.5,1180,4242726310,
2025-04-01,1206,1267,1316,1188,5153573613,
2025-04-02,1230.5,1207,1239,1178,5290762575,
2025-04-03,1225,1232.5,1247,1168,3763794506,
2025-04-04,1116,1235.5,1238,1111,3354441990,
2025-04-05,1129.5,1129.5,1129.5,1129.5,38000898,
2025-04-06,1148,1129.5,1153,1129.5,304362378,
2025-04-07,1067,1116.5,1122,1012,4869049939,
2025-04-08,1000.5,1074,1099,989,2509095805,
2025-04-09,1075.5,1003.5,1075.5,945.5,5242596494,
2025-04-10,1062,1075.5,1200,1052.5,2723842709,
2025-04-11,1136,1068,1138.5,1065,3889598416,
2025-04-12,1151.5,1140.5,1152,1140.5,310486061,
2025-04-13,1152,1150,1152,1149.5,111086657,
2025-04-14,1105,1161,1176.5,1092.5,2737908796,
2025-04-15,1116.5,1109,1124.5,1074,2406316726,
2025-04-16,1118,1107.5,1152,1092.5,2655141970,
2025-04-17,1175,1125.5,1188,1122,2397618473,
2025-04-18,1157,1148,1171,1124.5,2301417712,
2025-04-21,1182.5,1179,1188,1163,1260742188,
2025-04-22,1254.5,1185,1280,1182.5,4411075425,
2025-04-23,1255,1264,1266,1204,3490478784,
2025-04-24,1283.5,1254,1304,1251,4188843188,
2025-04-25,1283,1286,1316,1240,6266464816,
2025-04-26,1273.5,1288.5,1308.5,1263.5,643433532,
2025-04-27,1282.5,1275,1283,1274.5,162148642,
2025-04-28,1259,1282.5,1300,1247.5,2793831371,
2025-04-29,1210,1257,1264,1201,1948109248,
2025-04-30,1194.5,1210.5,1214,1165.5,2463602929,
2025-05-02,1107.5,1192,1192,1102,1497594047,
2025-05-03,1114.5,1108,1131.5,1105,229119432,
2025-05-04,1125,1113.5,1127,1110,142624214,
2025-05-05,1083,1124.5,1126.5,1064.5,1638336656,
2025-05-06,1130,1084,1148.5,1058.5,2372165145,
2025-05-07,1170.5,1131,1182,1112.5,3387509724,
2025-05-08,1180.5,1177,1214,1175,2713325019,
2025-05-10,1187.5,1185,1190.5,1179.5,159499998,
2025-05-11,1214,1206.5,1216.5,1196.5,724419243,
2025-05-12,1211.5,1229.5,1246.5,1203,2972192897,
2025-05-13,1186.5,1215,1218.5,1177.5,2154098633,
2025-05-14,1147,1185,1205,1143,2336325601,
2025-05-15,1143,1148,1164,1129.5,1985769904,
2025-05-16,1134,1149,1154.5,1103,2439106944,
2025-05-17,1163,1133,1166,1132,337484178,
2025-05-18,1166.5,1166.5,1166.5,1160,220542618,
2025-05-19,1139.5,1168.5,1170.5,1130.5,1381690508,
2025-05-20,1123,1139.5,1145.5,1110.5,840436323,
2025-05-21,1108.5,1124,1133,1103.5,768335464,
2025-05-22,1104,1110,1131,1077,1751570179,
2025-05-23,1127.5,1109,1133,1085,2112846664,
2025-05-26,1099,1120,1124.5,1087,1595772992,
2025-05-27,1160.5,1098.5,1165,1084,2509658459,
2025-05-28,1216.5,1161,1220.5,1160.5,3718781042,
2025-05-29,1179,1223,1223,1173,2574400421,
2025-05-30,1197,1174,1210,1166,1631561563,
2025-05-31,1201.5,1201,1209,1200.5,97018491,
2025-06-01,1162.5,1199,1199.5,1162.5,845680851,
2025-06-02,1227.5,1158,1237,1136,3552854249,
2025-06-03,1270,1231,1278,1230,3751442076,
2025-06-04,1252,1272.5,1295,1243.5,4465981231,
2025-06-05,1278,1253,1283,1253,1939718967,
2025-06-06,1203.5,1285,1391,1203,11432583373,
2025-06-07,1211.5,1203.5,1217.5,1203.5,163691739,
2025-06-08,1189,1211.5,1215,1175.5,503772061,
2025-06-09,1189,1190.5,1203,1165,2969586401,
2025-06-10,1176,1192,1211.5,1165,2175843179,
2025-06-11,1196.5,1178,1206.5,1164,1838716317,
2025-06-13,1186,1207,1207.5,1185,489991032,
2025-06-14,1184.5,1188.5,1188.5,1178,106416749,
2025-06-15,1188,1184.5,1190.5,1177.5,79757127,
2025-06-16,1147.5,1188,1196.5,1142,1720082434,
2025-06-17,1184.5,1148.5,1194,1136.5,2209607596,
2025-06-18,1171,1189.5,1193.5,1165,1143934106,
2025-06-19,1161,1168,1181,1159,888105334,
2025-06-20,1122.5,1161,1175,1110.5,2403896207,
2025-06-23,1089.5,1119.5,1119.5,1083,1692823989,
2025-06-24,1130,1095,1131.5,1075,2539295443,
2025-06-25,1126.5,1134,1139.5,1117.5,1432022337,
2025-06-26,1126,1128.5,1138.5,1118.5,667873936,
2025-06-27,1164,1129,1164.5,1121,1591434337,
2025-06-28,1169,1167,1175,1166,238408958,
2025-06-29,1163,1169,1172.5,1161,199314370,
2025-06-30,1224.5,1165.5,1235.5,1155.5,4173888615,
2025-07-01,1218.5,1224.5,1270,1209,4095691319,
2025-07-02,1230.5,1220.5,1250.5,1216,2695458881,
2025-07-03,1253,1230.5,1275,1230.5,3078720087,
2025-07-04,1232,1250,1261,1220,2455537334,
2025-07-05,1229,1235,1236,1227,60497353,
2025-07-06,1229,1229,1234,1224.5,89543942,
2025-07-07,1190,1226,1232.5,1184.5,1515301842,
2025-07-08,1183,1189,1230,1177.5,3383361551,
2025-07-09,1220.5,1188.5,1225,1170.5,3320455045,
2025-07-10,1219.5,1220.5,1238.5,1210,2348779607,
2025-07-11,1169,1216,1221.5,1161.5,2053645405,
2025-07-12,1174,1174.5,1181.5,1171,116079534,
2025-07-13,1161.5,1174,1177,1148,191647237,
2025-07-14,1246.5,1154.5,1249,1135,3652662194,
2025-07-15,1255,1249,1266,1245,2339703182,
2025-07-16,1291,1256.5,1303,1249,4223830028,
2025-07-17,1320.5,1291,1343,1291,4744802392,
2025-07-18,1357,1319,1357,1312.5,3212860167,
2025-07-19,1364,1362.5,1377,1352.5,600415045,
2025-07-20,1367,1375,1379,1363.5,234818448,
2025-07-21,1341,1369,1375,1322.5,3422357934,
2025-07-22,1334.5,1340,1345.5,1308,2928199328,
2025-07-23,1345,1338,1366.5,1323,6375071263,
2025-07-24,1329,1348.5,1357.5,1318,3904581786,
2025-07-25,1263.5,1330,1359.5,1256.5,9588287013,
2025-07-26,1256,1269.5,1272,1242.5,546039160,
2025-07-27,1250.5,1257,1257,1246,140689630,
2025-07-28,1210,1250,1277.5,1202,5713566995,
2025-07-29,1210,1212,1232.5,1191.5,3700962640,
2025-07-30,1183,1211,1224,1175,2717120856,
2025-07-31,1198,1183.5,1200,1180.5,1847130550,
2025-08-01,1191,1206,1215,1186.5,1564168678,
2025-08-04,1212.5,1196,1212.5,1179,1808031557,
2025-08-05,1208.5,1213.5,1217.5,1203,1170538891,
2025-08-06,1248,1211,1272.5,1204.5,5812505739,
2025-08-07,1261.5,1253,1280.5,1235.5,3620999708,
2025-08-08,1273.5,1266,1279,1250,1386870938,
2025-08-11,1242,1250,1270,1216.5,7516704420,
2025-08-12,1246,1244,1252,1230.5,1358235441,
2025-08-13,1219.5,1247,1257.5,1207.5,2168431177,
2025-08-14,1227.5,1221,1233,1203,1808616952,
2025-08-15,1234.5,1232,1243,1220,1426034387,
2025-08-16,1230,1223,1234.5,1200,528255766,
2025-08-17,1223.5,1230.5,1233.5,1222.5,139355350,
2025-08-18,1265,1225,1272,1222.5,3389584210,
2025-08-19,1268.5,1269,1287.5,1256,2639303987,
2025-08-20,1260,1269,1279.5,1255,1548287634,
2025-08-21,1167.5,1260,1262.5,1106,14292731096,
2025-08-22,1206.5,1170,1224,1129,11284907739,
2025-08-23,1202,1207,1214.5,1191,349642692,
2025-08-24,1200,1202,1203.5,1195.5,119479143,
2025-08-25,1194.5,1200,1218,1181,1995975640,
2025-08-26,1186.5,1197.5,1205.5,1185.5,960913215,
2025-08-27,1191,1185.5,1201,1178.5,1318959961,
2025-08-28,1169,1193,1199.5,1161.5,1896971301,
2025-08-29,1196.5,1171.5,1212.5,1162,2714279505,
2025-08-30,1200.5,1197,1205.5,1197,93075443,
2025-08-31,1204,1200.5,1205.5,1200,108681240,
2025-09-01,1211,1207,1231,1196.5,1921212106,
2025-09-02,1197,1214,1215,1176.5,2195561327,
2025-09-03,1205.5,1200,1208.5,1186.5,1862972590,
2025-09-04,1199.5,1205.5,1216.5,1192,1465071141,
2025-09-05,1192,1200,1206,1187,1004981512,
2025-09-06,1193,1194,1197.5,1191,56599083,
2025-09-07,1195,1193,1196.5,1192,64484651,
2025-09-08,1204.5,1195,1208.5,1193.5,866798471,
2025-09-09,1199.5,1205,1207.5,1188,1367691629,
2025-09-10,1172.5,1199.5,1201.5,1167,1844032452,
2025-09-11,1156.5,1171,1177.5,1152,1533989231,
2025-09-12,1093.5,1157,1166.5,1089.5,4623431315,
2025-09-13,1078,1094,1100,1075.5,357320406,
2025-09-14,1090.5,1078.5,1095.5,1064,449051085,
2025-09-15,1079,1094,1094.5,1061.5,1689419959,
2025-09-16,1113.5,1079.5,1120.5,1078.5,2086899800,
2025-09-17,1120,1116,1123.5,1095,1735415561,
2025-09-18,1096.5,1120,1120,1092,1077102134,
2025-09-19,1091.5,1096.5,1122,1085,1458535064,
2025-09-22,1041,1095.5,1097,1023.5,2821361783,
2025-09-23,1004.5,1041.5,1067,994,2607945464,
2025-09-24,1052,1005.5,1057,999.5,2394699766,
2025-09-25,1030,1053,1059.5,1023,1018423539,
2025-09-26,1027.5,1030.5,1042,1010,1281381819,
2025-09-27,1029,1030,1032,1027.5,25357781,
2025-09-28,1031,1027.5,1036,1027,38763183,
2025-09-29,1003.5,1033.5,1045,996,1259550791,
2025-09-30,997,1008,1012,970.5,1785516807,
2025-10-01,983,997.5,1007,970.5,1207395524,
2025-10-02,970.5,983,985,965,973138086,
2025-10-03,920.5,974,982,908.5,1710800127,
2025-10-04,903.5,920,920.5,891,540600300,
2025-10-05,929,903.5,933,902,382521044,
2025-10-06,965.5,931,974,918.5,2603734791,
2025-10-07,976,960,993,953.5,2309060821,
2025-10-08,904,980,984.5,894,3451484872,
2025-10-09,947,908.5,964,866,5484356174,
2025-10-10,905,949.5,949.5,901,2035574436,
2025-10-11,915,905,917,890,144150090,
2025-10-12,919.5,915,927,914.5,172587495,
2025-10-13,915.5,925,934.5,910.5,1439531081,
2025-10-14,895,916,922,886,1194233371,
2025-10-15,883,898.5,903.5,870,1747051237,
2025-10-16,961,884.5,967.5,876.5,3110550841,
2025-10-17,949.5,965,990.5,936,2391889258,
2025-10-18,972.5,960,974.5,954.5,431774084,
2025-10-19,964.5,974,977.5,950,274960449,
2025-10-20,975,967,982.5,952,1407956957,
2025-10-21,930,971,974,905.5,3065339475,
2025-10-22,899,935,937.5,881,2615266892,
2025-10-23,924.5,885,924.5,875.5,1782559841,
2025-10-24,888,926.5,954.5,883,3752946345,
2025-10-27,857.5,885,889.5,854,2539697510,
2025-10-28,872.5,857,878,850.5,1015115678,
2025-10-29,877.5,873,894,867,788010742,
2025-10-30,879,878.5,886.5,870.5,857803238,
2025-10-31,859,879,882,850.5,1076318238,
2025-11-01,854,858.5,864.5,851,472740113,
2025-11-03,868,858,870,855,489729075,
2025-11-05,864,866,877,850.5,1190028815,
2025-11-06,861,865,870,851.5,800954784,
2025-11-07,871,859,882.5,858.5,1102540442,
2025-11-08,871.5,871,874,871,33852006,
2025-11-09,875.5,872.5,876,871,26376251,
2025-11-10,866,880,884.5,861.5,680103823,
2025-11-11,868.5,870,874,860,427778832,
2025-11-12,859.5,865.5,873,854,501208482,
2025-11-13,859.5,859,870.5,856,392911369,
2025-11-14,858,861.5,862.5,852,392121632,
2025-11-15,858.5,858,861,857.5,16368891,
2025-11-16,859,858.5,860.5,856.5,24486647,
2025-11-17,855,857.5,881,851,1297781415,
2025-11-18,860.5,855.5,870.5,839.5,1107321955,
2025-11-19,889.5,862,907.5,860,2745075943,
2025-11-20,911,889.5,918.5,885,1895741797,
2025-11-21,900,915,917,890.5,1042122029,
