;2016Q4;2017Q4;2018Q4;2019Q1;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2;2024Q3;2024Q4;2025Q2;2025Q3;2025Q4;LTM
"Дата отчета";06.10.2020;06.10.2020;06.10.2020;;06.10.2020;;31.08.2021;;30.04.2021;;31.08.2021;;24.05.2022;;29.08.2022;;28.04.2023;28.07.2023;29.08.2023;;26.04.2024;;29.08.2024;;25.04.2025;29.08.2025;;;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Контракты на продажу м, тыс.м2";;;;;;127;101;123;138;137;167;212;299;257;226;281;299;242;308;423;602;349;432;234;287;553;355;312;"1 220"
"Контракты на продажу руб, млрд руб";;;;;12.7;13.9;11.4;15.8;18.5;19.7;26.6;30.8;48.3;44.9;36.9;48.7;49.9;42.9;54.5;79.3;110.7;75.2;95.0;50.2;61.6;121.0;77.1;73.0;271.1
"Продажи недвижимости, тыс.м2";;;;;127;;;;;;;;;;;;;;;;;;;;;;;;
"Доля ипотечных сделок, %";;;;;65.0%;69.0%;72.0%;;69.0%;76.4%;82.1%;69.0%;71.0%;75.9%;73.2%;92.0%;88.0%;87.0%;90.0%;87.0%;89.0%;70.0%;84.0%;74.0%;55.0%;54.0%;56.0%;;
"Средняя цена квадратного метра, тыс.руб/м2";;;;;100;;113;;134;;152;154;;;168;;174;172;177;202;197;216;218;212;212;217;213;;
"Выручка, млрд руб";;;;;;;22.7;;37.5;;33.3;;59.7;;66.3;;106.0;;101.4;;154.7;;170.8;;168.3;171.0;;;339.3
"Операционная прибыль, млрд руб";;;;;;;2.70;;5.95;;6.40;;11.4;;15.5;;24.6;;26.2;;45.1;;42.5;;38.8;50.3;;;89.1
"EBITDA, млрд руб";;;;;;;3.95;;7.70;;8.14;;15.0;;18.3;;29.9;;33.1;;58.4;;53.6;;55.7;57.5;;;113.2
"Чистая прибыль, млрд руб";;;;;;;0.520;;2.71;;2.63;;3.87;;3.72;;7.67;;6.80;;9.56;;1.86;;3.55;0.497;;;4.04
"Операционный денежный поток, млрд руб";;;;;;;2.90;;6.20;;-31.8;;-101.4;;-44.1;;-61.1;;-57.0;;-79.0;;-158.5;;-113.2;-116.2;;;-229.4
"CAPEX, млрд руб";;;;;;;0.048;;0.282;;0.035;;2.35;;1.24;;6.51;;0.380;;8.22;;2.64;;7.95;3.28;;;11.2
