;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;LTM
"Дата отчета";06.10.2020;06.10.2020;06.10.2020;06.10.2020;30.04.2021;24.05.2022;28.04.2023;26.04.2024;25.04.2025;;29.08.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Контракты на продажу м, тыс.м2";;;;475;489;805;"1 067";"1 575";"1 302";"1 218";"1 220"
"Контракты на продажу руб, млрд руб";;;;45.7;59.7;126.4;178.9;287.4;282.0;272.0;271.1
"Продажи недвижимости, тыс.м2";;;;;;805;"1 067";"1 575";"1 302";"1 218";
"Доля ипотечных сделок, %";;;;65.0%;73.0%;73.0%;82.0%;89.0%;71.0%;;
"Средняя цена квадратного метра, тыс.руб/м2";;;;96;122;157;166;187;214;219;
"Выручка, млрд руб";28.5;42.4;38.7;51.1;60.2;93.0;172.2;256.1;339.1;;339.3
"Операционная прибыль, млрд руб";;3.54;2.55;5.05;8.65;17.8;40.1;71.3;81.3;;89.1
"EBITDA, млрд руб";6.21;8.68;5.22;7.52;11.7;23.1;48.2;91.5;109.2;;113.2
"Чистая прибыль, млрд руб";2.09;3.55;3.14;0.864;3.23;6.50;11.4;16.4;5.41;;4.04
"Операционный денежный поток, млрд руб";;-0.635;0.215;-4.95;-15.1;-97.3;-105.3;-136.0;-271.7;;-229.4
"CAPEX, млрд руб";;0.238;0.000;0.270;0.330;2.38;7.75;8.60;10.6;;11.2
"FCF, млрд руб";;0.226;-0.358;1.09;0.778;-0.891;-125.8;-145.5;-291.1;;-248.2
"Див.выплата, млрд руб";;;;;2.50;2.50;5.00;;;;
"Дивиденд, руб/акцию";;;;;41;41;82;;;;
"Див доход, ао, %";;;;0.0%;4.3%;0.8%;3.4%;0.0%;0.0%;0.0%;0.0%
"Дивиденды/прибыль, %";0%;0%;0%;0%;77%;38%;44%;0%;0%;;0
"Опер. расходы, млрд руб";;3.22;4.77;4.81;6.75;8.76;15.3;26.5;35.5;;32.4
"Себестоимость, млрд руб";;35.7;31.4;41.3;44.8;68.4;120.2;167.2;228.8;;225.6
"Амортизация, млрд руб";;;;;;;0.8;0.8;2.3;;3.5
"Расх на персонал, млрд руб";;2.48;3.28;4.23;4.32;6.98;15.0;28.3;34.3;;29.1
"Процентные расходы, млрд руб";;0.720;0.530;1.14;1.80;3.83;20.8;14.9;41.1;;45.6
"Активы, млрд руб";;53.2;63.5;78.4;96.0;207.1;409.8;745.8;961.1;;"1 009"
"Чистые активы, млрд руб";;1.87;5.25;4.58;9.02;10.6;17.7;17.2;29.1;;29.1
"Долг, млрд руб";3.21;4.35;5.21;16.2;33.2;133.2;282.6;512.5;641.1;;703.9
"Наличность, млрд руб";0.000;0.000;2.98;4.84;29.9;141.4;262.4;312.5;349.9;;353.0
"Чистый долг, млрд руб";3.21;4.35;2.23;11.3;3.23;-8.14;20.3;200.0;291.2;0.00;350.9
"Цена акции ао, руб";;;;956.0;956.0;"4 881";"2 418";"3 897";"1 030";987.0;843.2
"Число акций ао, млн";;60.3;60.3;60.0;60.3;61.6;61.6;61.6;61.6;61.6;61.6
"Free Float, %";0.000%;0.000%;0.000%;0.000%;5.00%;;9.00%;;21.0%;;21.0%
"Капитализация, млрд руб";0.00;0.00;0.00;57.4;57.6;300.6;148.9;240.0;63.4;60.8;51.9
"EV, млрд руб";3.21;4.35;2.23;68.7;60.8;292.4;169.1;440.0;354.6;60.8;402.8
"Баланс стоимость, млрд руб";0.00;1.87;5.25;4.50;8.84;9.58;-4.90;-10.2;-4.94;0.00;-5.74
"EPS, руб";;58.8;52.1;14.4;53.6;105.6;185.0;265.7;87.9;0.00;65.7
"FCF/акцию, руб";;3.75;-5.94;18.2;12.9;-14.5;"-2 043";"-2 363";"-4 727";0.00;"-4 031"
"BV/акцию, руб";;31.0;87.1;75.0;146.7;155.6;-79.6;-165.2;-80.2;0.00;-93.2
"Рентаб EBITDA, %";21.8%;20.5%;13.5%;14.7%;19.4%;24.9%;28.0%;35.7%;32.2%;;33.4%
"Чистая рентаб, %";7.3%;8.4%;8.1%;1.7%;5.4%;7.0%;6.6%;6.4%;1.6%;;1.2%
"Доходность FCF, %";;;;1.9%;1.4%;-0.3%;-84.5%;-60.6%;-459.2%;0.0%;-478.0%
"ROE, %";;189.6%;59.8%;18.9%;35.8%;61.3%;64.4%;95.0%;18.6%;;13.9%
"ROA, %";;6.7%;4.9%;1.1%;3.4%;3.1%;2.8%;2.2%;0.6%;;0.4%
P/E;0.00;0.00;0.00;66.4;17.8;46.2;13.1;14.7;11.7;;12.8
P/FCF;;0.00;0.00;52.5;74.1;-337.3;-1.18;-1.65;-0.22;;-0.21
P/S;0.00;0.00;0.00;1.12;0.96;3.23;0.86;0.94;0.19;;0.15
P/BV;;0.00;0.00;12.7;6.52;31.4;-30.4;-23.6;-12.8;;-9.05
EV/EBITDA;0.52;0.50;0.43;9.13;5.22;12.6;3.51;4.81;3.25;;3.56
Долг/EBITDA;0.52;0.50;0.43;1.50;0.28;-0.35;0.42;2.19;2.67;;3.10
"Персонал, чел";;"1 484";"1 380";"1 858";"1 611";"2 193";"3 722";"9 547";"7 631";;
"Производительность труда, млн руб/чел/год";;28.6;28.1;27.5;37.4;42.4;46.3;26.8;44.4;;
"Расходы/чел/год, тыс.р";;"1 671";"2 377";"2 277";"2 682";"3 183";"4 033";"2 963";"4 490";;
"R&D/CAPEX, %";;0.00%;;0.00%;0.00%;0.00%;0.00%;0.00%;0.00%;;0
"CAPEX/Выручка, %";0%;1%;0%;1%;1%;3%;5%;3%;3%;;3%
"IR рейтинг";;;;;;3.4;;4.1;4.3;4.3;4.3
"Качество фин.отчетности";;;;;;3;;4;4;4;4
"Презентации для инвесторов";;;;;;1;;5;2;2;2
"Присутствие на смартлабе";;;;;;3;;1;5;5;5
"Годовой отчет";;;;;;5;;5;5;5;5
"Сайт для инвесторов";;;;;;3;;4;4;4;4
"Календарь инвесторов";;;;;;4;;5;5;5;5
"Обратная связь";;;;;;5;;5;5;5;5
