date,close,open,high,low,volume_rub,market_cap_bln
2025-02-10,28,28.1,28.46,27.93,1251562226,
2025-02-11,28.015,28.005,28.34,27.815,1078748947,
2025-02-12,28.8,28.015,29.285,27.82,3259529506,
2025-02-13,28.495,29.18,30.37,28.16,4415101636,
2025-02-14,28.14,28.695,29.19,27.07,2478719365,
2025-02-17,29.44,28.38,29.44,28.3,2016023118,
2025-02-18,28.52,29.5,29.58,28.3,1904061108,
2025-02-19,29.14,28.55,29.3,28.205,1311765071,
2025-02-20,29.13,29.19,29.42,28.765,1661615804,
2025-02-21,28.91,29.13,29.265,28.575,1087082541,
2025-02-24,29.085,28.995,29.095,28.64,1096783132,
2025-02-25,28.745,29.11,29.615,28.61,2411314078,
2025-02-26,28.175,28.745,28.945,27.68,2198658357,
2025-02-27,27.505,28.17,28.195,27.48,1136839838,
2025-02-28,27.8,27.495,28.2,27.08,1411125745,
2025-03-01,28.175,27.96,28.175,27.8,42820281,
2025-03-02,27.7,27.795,27.995,27.645,65827634,
2025-03-03,27.095,27.8,27.8,26.715,1428752013,
2025-03-04,27.79,27.29,28.015,27.02,1826097470,
2025-03-05,27.39,27.8,28.48,27.3,2155503859,
2025-03-06,27.26,27.4,27.865,27.16,1415822102,
2025-03-07,26.96,27.26,27.495,26.305,1634938576,
2025-03-10,26.8,27.03,27.235,26.725,703835957,
2025-03-11,26.63,26.8,27.06,26.335,1279250059,
2025-03-12,25.965,26.76,26.76,25.74,1710487268,
2025-03-13,25.79,25.96,26.06,25.025,2915635889,
2025-03-14,25.78,25.61,26.06,25.4,1145434965,
2025-03-15,26.04,25.865,26.11,25.79,59291441,
2025-03-16,26.36,26.12,26.5,26.09,215288122,
2025-03-17,26.185,26.36,26.5,26,1432574754,
2025-03-18,25.905,26.22,26.45,25.8,1544139713,
2025-03-19,26.355,25.98,26.62,25.705,1416044588,
2025-03-20,26.105,26.53,26.59,25.75,1262932719,
2025-03-21,26.19,26.12,26.415,25.87,845886062,
2025-03-24,27.13,26.175,27.375,25.82,2984049794,
2025-03-25,27.185,27.135,27.49,26.805,2524813344,
2025-03-26,26.4,27.375,27.43,26.295,1059921756,
2025-03-27,26.15,26.3,26.61,25.92,1443824131,
2025-03-28,25.475,26.165,26.285,25.4,1459340856,
2025-03-29,24.97,25.57,25.57,24.855,228782279,
2025-03-30,24.855,24.95,25.105,24.855,97417793,
2025-03-31,25.535,24.75,25.75,24.35,1214190002,
2025-04-01,24.56,25.535,25.845,24.41,1255565352,
2025-04-02,25.325,24.56,25.46,24.45,1590704020,
2025-04-03,24.695,25.265,25.595,24.36,1624427665,
2025-04-04,23.09,24.845,25,23.01,3211517113,
2025-04-05,23.33,23,23.415,22.85,240367478,
2025-04-06,23.475,23.305,23.555,23.17,227988768,
2025-04-07,22.525,23,23.095,21.31,3895035471,
2025-04-08,21.805,22.7,23.195,21.65,1773592479,
2025-04-09,23.06,21.6,23.16,21.35,2076828628,
2025-04-10,22.995,23.245,23.395,22.61,1118396311,
2025-04-11,23.405,22.7,23.485,22.7,1268574467,
2025-04-12,23.875,23.6,23.935,23.5,243595427,
2025-04-13,23.895,23.81,23.93,23.775,86709207,
2025-04-14,23.01,23.895,23.91,22.82,730143612,
2025-04-15,23.31,23.045,23.62,22.875,871026727,
2025-04-16,23.405,23.265,23.74,22.9,660028335,
2025-04-17,23.75,23.45,23.865,23.27,943088639,
2025-04-18,23.62,23.55,23.85,23.3,1038272815,
2025-04-21,24.13,23.7,24.235,23.65,1159783477,
2025-04-22,24.355,24.15,24.635,23.805,1461972580,
2025-04-23,24.025,24.4,24.45,23.82,946951829,
2025-04-24,23.915,24,24.2,23.835,540246334,
2025-04-25,24.13,23.975,24.27,23.945,871008834,
2025-04-26,24.135,24.195,24.425,24.085,272818855,
2025-04-27,24.22,24.155,24.335,24.14,56155861,
2025-04-28,24.05,24.28,24.49,23.645,1583343679,
2025-04-29,23.745,24.115,24.4,23.68,1326624670,
2025-04-30,23.455,23.825,23.825,23.12,722834660,
2025-05-02,22.65,23.455,23.46,22.605,625503359,
2025-05-03,22.655,22.65,22.83,22.565,59501258,
2025-05-04,22.68,22.745,22.865,22.575,83073529,
2025-05-05,22.27,22.615,22.69,22.085,729791799,
2025-05-06,22.695,22.28,22.995,22.105,471013708,
2025-05-07,22.89,22.795,23.425,22.55,1266702775,
2025-05-08,22.95,22.995,23.17,22.745,267049667,
2025-05-10,23.18,23.075,23.25,23.025,75833128,
2025-05-11,23.375,23.37,23.545,23.27,107076883,
2025-05-12,23.385,23.4,23.735,23.165,808261842,
2025-05-13,23.505,23.42,23.595,23.215,472801260,
